,crime,barangay,city,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal,php-usd-rate,PSE-index-Close,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,Weather_Clear,Weather_Cloudy,Weather_Rainy,day_night_daylight,day_night_nighttime,placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population,crime_label
5,Theft,Mambago-A,Samal City,37.0,51.0,13.0,28.0,63.0,0.1,1008.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,50.582,8018.049805,99.0,106.0,383.0,493.0,13.0,67.5,1.0,21.0,476.5,7.0,75.5,7.0,324.5,26.0,37.0,1.0,750.5,791.0,502.5,124.5,40.5,123.5,79.5,419.5,7.5,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,416.0,374.0,936.5,180.0,202.0,177.0,451.5,93.5,214.0,196.5,487.0,87.0,6
38,Drug Related Incident (RA 9165),Licup,Samal City,32.0,31.0,10.0,15.0,78.0,1.2,1011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.688,7928.430176000003,48.5,51.5,185.5,239.0,6.0,32.5,1.0,10.0,231.0,3.0,36.5,3.0,157.5,12.5,18.0,0.0,364.5,384.0,244.0,60.5,19.5,60.0,38.5,203.5,3.5,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,201.5,181.0,454.5,87.0,98.5,86.0,218.5,45.5,104.0,95.5,235.5,42.5,1
49,Murder/Homicide,Licup,Samal City,35.0,39.0,4.0,0.0,62.0,0.0,1011.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.00899999999999,7962.120117,48.5,51.5,185.5,239.0,6.0,32.5,1.0,10.0,231.0,3.0,36.5,3.0,157.5,12.5,18.0,0.0,364.5,384.0,244.0,60.5,19.5,60.0,38.5,203.5,3.5,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,201.5,181.0,454.5,87.0,98.5,86.0,218.5,45.5,104.0,95.5,235.5,42.5,2
51,Theft,San Remigio,Samal City,34.0,31.0,4.0,0.0,77.0,0.0,1011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.00899999999999,7962.120117,118.0,127.0,457.0,588.5,15.0,80.5,2.0,25.0,568.5,8.0,90.0,8.0,387.0,31.0,44.5,1.0,895.5,944.0,600.0,148.5,48.5,148.0,94.5,500.5,8.5,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,497.0,445.5,1118.0,215.5,241.0,211.5,537.5,111.0,255.0,235.0,581.0,104.5,6
68,Physical Injuries,Del Monte,Samal City,33.0,35.0,5.0,27.0,70.0,0.0,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.301,8016.72998,104.0,111.0,400.0,515.0,13.0,70.5,1.5,22.0,498.0,7.0,78.5,7.0,339.0,27.0,38.5,1.0,784.0,826.5,525.0,130.0,42.5,129.5,82.5,438.5,7.5,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,435.0,390.5,978.5,188.0,211.5,185.5,470.0,96.5,223.5,205.0,508.0,90.5,3
70,Rape (Art. 266-A RC & R.A.8353),Guilon,Samal City,34.0,32.0,3.0,17.0,71.0,0.0,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.301,8016.72998,84.0,90.0,324.5,418.0,11.0,57.5,1.0,17.5,404.0,6.0,63.5,6.0,275.0,22.0,31.5,1.0,636.0,670.0,425.5,105.5,34.0,105.0,67.5,355.5,6.0,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,352.5,316.5,794.5,153.0,171.5,150.5,383.0,78.5,181.5,166.5,412.0,73.0,4
92,Physical Injuries,Tagbitan-Ag,Samal City,31.0,28.0,4.0,29.0,76.0,0.2,1011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.05,8015.140137,118.0,127.0,456.0,587.5,15.0,80.5,2.0,25.0,567.5,8.0,89.5,8.0,386.0,31.0,44.5,1.0,894.0,942.0,598.0,148.5,48.5,148.0,94.5,500.0,8.5,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,495.5,445.5,1116.0,214.0,241.0,211.5,536.0,111.0,255.0,234.0,579.5,104.5,3
99,Physical Injuries,Libertad,Samal City,32.0,33.0,5.0,24.0,75.0,0.7,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.05,8015.140137,129.0,138.0,498.0,641.0,16.5,87.5,2.0,27.0,619.5,9.0,98.0,8.5,421.5,33.5,48.5,1.0,976.0,1028.0,653.0,162.0,52.5,161.0,103.0,545.0,9.5,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,540.5,485.5,1217.5,233.0,262.5,231.0,586.0,121.0,278.0,256.0,632.5,112.5,3
126,Theft,Pangubatan (Talicod I),Samal City,29.0,29.0,3.0,53.0,80.0,0.0,1012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.17100000000001,8035.200195,75.0,80.5,289.5,373.0,10.0,51.0,1.0,16.0,360.0,5.0,56.5,5.0,245.0,19.5,28.0,1.0,567.5,597.5,379.5,94.5,30.5,94.0,59.5,316.5,5.5,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,314.5,282.5,708.5,136.0,153.0,134.0,341.5,70.0,161.5,149.0,368.5,65.5,6
155,Theft,Catagman,Samal City,30.0,33.0,4.0,13.0,76.0,1.8,1010.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.76300000000001,8049.310059,70.5,75.5,271.0,349.0,9.0,47.5,1.0,15.0,337.5,5.0,53.5,5.0,229.5,18.5,26.0,0.0,531.0,560.0,355.5,88.0,28.5,87.5,56.0,297.0,5.0,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,294.5,264.5,663.5,127.0,143.0,126.0,319.0,65.5,151.0,139.0,344.0,62.0,6
157,Rape (Art. 266-A RC & R.A.8353),Limao,Samal City,31.0,34.0,15.0,9.0,73.0,0.0,1008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.76300000000001,8049.310059,135.0,145.0,522.0,672.0,17.0,92.0,2.0,28.5,649.5,9.0,102.5,9.0,441.5,35.5,50.5,1.0,1023.0,1078.0,684.5,169.5,55.0,168.5,108.0,571.5,10.0,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,567.0,510.0,1277.5,245.0,275.5,241.0,614.0,127.5,291.5,268.0,662.5,118.0,4
166,Murder/Homicide,Moncado (Pob.),Samal City,29.0,31.0,2.0,0.0,76.0,0.0,1011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.143,8180.850098000001,202.5,217.0,782.0,1008.0,26.0,138.0,3.0,42.5,973.5,14.0,154.0,13.5,662.5,53.0,75.5,1.0,1533.5,1616.0,1026.5,255.0,82.5,253.0,161.5,857.0,14.5,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,849.5,764.0,1914.0,367.5,412.5,362.5,920.0,189.5,437.0,401.0,993.5,177.0,2
167,Physical Injuries,Tagbay,Samal City,32.0,36.0,14.0,0.0,58.0,0.0,1009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.143,8180.850098000001,76.5,81.5,294.0,379.0,10.0,51.5,1.0,16.0,366.0,5.0,57.5,5.0,249.0,20.0,28.5,1.0,576.0,607.0,385.5,95.5,31.0,95.0,60.5,322.0,5.5,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,319.5,287.5,720.0,138.5,155.0,136.0,347.5,70.5,164.0,151.0,374.0,67.0,3
176,Murder/Homicide,San Antonio,Samal City,30.0,31.0,3.0,34.0,78.0,0.0,1011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,51.242,8294.139648,113.5,122.0,438.5,564.5,14.5,77.5,2.0,24.0,545.5,8.0,86.5,7.5,371.0,29.5,42.5,1.0,859.5,905.5,575.0,143.0,46.5,142.0,90.5,480.0,8.5,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,477.0,428.0,1072.5,206.5,231.0,203.0,515.5,106.5,245.0,225.5,557.0,98.5,2
178,Physical Injuries,Peñaplata (Pob.),Samal City,31.0,32.0,3.0,34.0,74.0,0.0,1011.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.177,8162.700195,330.5,353.5,1274.0,1641.0,42.5,224.0,5.0,69.5,1585.5,22.5,251.0,22.0,1078.5,86.5,123.0,2.0,2497.0,2632.0,1671.5,415.0,134.5,412.0,263.0,1395.0,24.5,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1384.0,1243.5,3117.5,599.5,672.5,590.0,1499.0,310.0,711.0,654.5,1618.0,289.0,3
187,Robbery,Del Monte,Samal City,30.0,33.0,10.0,66.0,70.0,0.0,1011.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,51.08600000000001,8281.269531,104.0,111.0,400.0,515.0,13.0,70.5,1.5,22.0,498.0,7.0,78.5,7.0,339.0,27.0,38.5,1.0,784.0,826.5,525.0,130.0,42.5,129.5,82.5,438.5,7.5,160.1,184.0,141.5,145.2,137.6,3.0,0.674,5.609,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,435.0,390.5,978.5,188.0,211.5,185.5,470.0,96.5,223.5,205.0,508.0,90.5,5
232,Robbery,Miranda (Pob.),Samal City,31.0,31.0,3.0,0.0,75.0,0.0,1008.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,51.018,8310.879883,385.0,412.5,1486.0,1914.0,49.5,261.5,6.0,80.5,1850.0,26.0,292.5,25.5,1259.0,101.0,144.0,3.0,2913.5,3070.0,1950.0,484.0,157.0,481.0,307.5,1628.0,28.0,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1614.0,1450.5,3636.5,698.0,784.5,687.5,1749.0,360.0,830.0,762.5,1887.0,337.0,5
233,Robbery,Tagbitan-Ag,Samal City,30.0,33.0,3.0,7.0,78.0,1.0,1008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.018,8310.879883,118.0,127.0,456.0,587.5,15.0,80.5,2.0,25.0,567.5,8.0,89.5,8.0,386.0,31.0,44.5,1.0,894.0,942.0,598.0,148.5,48.5,148.0,94.5,500.0,8.5,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,495.5,445.5,1116.0,214.0,241.0,211.5,536.0,111.0,255.0,234.0,579.5,104.5,5
255,Theft,Anonang,Samal City,30.0,30.0,7.0,0.0,74.0,0.0,1006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.482,8497.740234,135.0,144.5,521.0,671.0,17.0,91.5,2.0,28.0,648.5,9.0,102.5,9.0,441.5,35.5,50.5,1.0,1021.0,1076.0,683.5,169.5,55.0,168.5,107.5,570.5,10.0,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,566.5,508.0,1274.0,244.5,275.0,241.0,613.5,127.5,291.0,267.0,661.5,118.0,6
258,Robbery,Cogon,Samal City,34.0,37.0,20.0,0.0,52.0,0.0,1009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.463,8420.950195,159.0,170.0,613.0,789.5,20.0,108.0,2.0,33.5,763.0,11.0,120.5,10.5,519.0,41.5,59.5,1.0,1201.5,1266.0,804.0,199.5,65.0,198.0,127.0,671.5,11.5,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,666.0,598.0,1499.0,287.5,323.5,284.0,720.5,148.5,342.0,315.0,778.5,139.5,5
260,Theft,Miranda (Pob.),Samal City,29.0,31.0,6.0,9.0,72.0,0.0,1011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.463,8420.950195,385.0,412.5,1486.0,1914.0,49.5,261.5,6.0,80.5,1850.0,26.0,292.5,25.5,1259.0,101.0,144.0,3.0,2913.5,3070.0,1950.0,484.0,157.0,481.0,307.5,1628.0,28.0,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1614.0,1450.5,3636.5,698.0,784.5,687.5,1749.0,360.0,830.0,762.5,1887.0,337.0,6
267,Theft,San Isidro (Babak),Samal City,33.0,38.0,5.0,28.0,56.0,0.1,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.718,8267.919922,122.0,130.0,470.0,605.5,15.5,82.5,2.0,25.5,585.5,8.0,92.5,8.0,398.0,32.0,45.5,1.0,921.5,971.0,617.0,153.0,49.5,152.0,97.0,515.0,9.0,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,511.0,459.0,1151.0,220.5,248.0,218.0,553.0,114.5,262.0,241.0,598.0,106.5,6
276,Theft,Santo Niño,Samal City,31.0,33.0,5.0,28.0,73.0,0.3,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.74100000000001,8295.950195,84.5,90.5,325.5,419.5,11.0,57.5,1.0,18.0,405.0,6.0,64.5,6.0,276.0,22.0,31.5,1.0,638.0,672.0,427.0,106.0,34.0,105.0,67.5,356.5,6.0,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,354.0,317.5,797.5,153.0,171.5,151.0,384.0,78.5,182.0,167.0,413.0,73.5,6
278,Theft,Pangubatan (Talicod I),Samal City,29.0,29.0,12.0,0.0,85.0,0.0,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.799,8365.259766,75.0,80.5,289.5,373.0,10.0,51.0,1.0,16.0,360.0,5.0,56.5,5.0,245.0,19.5,28.0,1.0,567.5,597.5,379.5,94.5,30.5,94.0,59.5,316.5,5.5,160.9,185.7,140.7,144.8,137.9,2.8,0.7040000000000001,5.73,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,314.5,282.5,708.5,136.0,153.0,134.0,341.5,70.0,161.5,149.0,368.5,65.5,6
299,Physical Injuries,San Remigio,Samal City,29.0,30.0,6.0,21.0,80.0,0.0,1009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.27,8523.070313,118.0,127.0,457.0,588.5,15.0,80.5,2.0,25.0,568.5,8.0,90.0,8.0,387.0,31.0,44.5,1.0,895.5,944.0,600.0,148.5,48.5,148.0,94.5,500.5,8.5,161.4,188.3,141.5,145.0,137.9,2.5,0.6509999999999999,5.566,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,497.0,445.5,1118.0,215.5,241.0,211.5,537.5,111.0,255.0,235.0,581.0,104.5,3
320,Physical Injuries,Libertad,Samal City,32.0,36.0,8.0,11.0,60.0,0.0,1007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.239,8330.019531,129.0,138.0,498.0,641.0,16.5,87.5,2.0,27.0,619.5,9.0,98.0,8.5,421.5,33.5,48.5,1.0,976.0,1028.0,653.0,162.0,52.5,161.0,103.0,545.0,9.5,161.4,188.3,141.5,145.0,137.9,2.5,0.6509999999999999,5.566,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,540.5,485.5,1217.5,233.0,262.5,231.0,586.0,121.0,278.0,256.0,632.5,112.5,3
322,Rape (Art. 266-A RC & R.A.8353),Limao,Samal City,32.0,36.0,8.0,11.0,60.0,0.0,1007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.239,8330.019531,135.0,145.0,522.0,672.0,17.0,92.0,2.0,28.5,649.5,9.0,102.5,9.0,441.5,35.5,50.5,1.0,1023.0,1078.0,684.5,169.5,55.0,168.5,108.0,571.5,10.0,161.4,188.3,141.5,145.0,137.9,2.5,0.6509999999999999,5.566,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,567.0,510.0,1277.5,245.0,275.5,241.0,614.0,127.5,291.5,268.0,662.5,118.0,4
338,Theft,Moncado (Pob.),Samal City,28.0,29.0,13.0,43.0,83.0,0.0,1010.0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.94,8289.19043,202.5,217.0,782.0,1008.0,26.0,138.0,3.0,42.5,973.5,14.0,154.0,13.5,662.5,53.0,75.5,1.0,1533.5,1616.0,1026.5,255.0,82.5,253.0,161.5,857.0,14.5,161.4,188.3,141.5,145.0,137.9,2.5,0.6509999999999999,5.566,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,849.5,764.0,1914.0,367.5,412.5,362.5,920.0,189.5,437.0,401.0,993.5,177.0,6
378,Murder/Homicide,San Antonio,Samal City,32.0,35.0,10.0,78.0,71.0,0.2,1008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.74100000000001,8304.700195,113.5,122.0,438.5,564.5,14.5,77.5,2.0,24.0,545.5,8.0,86.5,7.5,371.0,29.5,42.5,1.0,859.5,905.5,575.0,143.0,46.5,142.0,90.5,480.0,8.5,162.2,190.9,143.4,145.1,137.9,2.9,0.7090000000000001,5.778,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,477.0,428.0,1072.5,206.5,231.0,203.0,515.5,106.5,245.0,225.5,557.0,98.5,2
380,Theft,Peñaplata (Pob.),Samal City,30.0,30.0,6.0,57.0,82.0,0.1,1009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.74100000000001,8304.700195,330.5,353.5,1274.0,1641.0,42.5,224.0,5.0,69.5,1585.5,22.5,251.0,22.0,1078.5,86.5,123.0,2.0,2497.0,2632.0,1671.5,415.0,134.5,412.0,263.0,1395.0,24.5,162.2,190.9,143.4,145.1,137.9,2.9,0.7090000000000001,5.778,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1384.0,1243.5,3117.5,599.5,672.5,590.0,1499.0,310.0,711.0,654.5,1618.0,289.0,6
