,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal,php-usd-rate,PSE-index-Close,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,Weather_Clear,Weather_Cloudy,Weather_Rainy,day_night_daylight,day_night_nighttime,placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population,crime_label
Temp (deg celsius),1.0,0.8546107185607078,0.13193764961916224,-0.2832988741384216,-0.7843165063838199,-0.1437118094645919,-0.19261433077569984,-0.023350256426471438,-0.03570980220439541,-0.053166208401575564,-0.015871023201953514,,-0.012532019368441304,0.03792858655139171,-0.057539453657996766,0.06927735095052859,-0.033331005880608396,0.07082761949556761,-0.05102462995961489,0.0410537632637606,0.070799048161699,-0.06178492607354708,-0.06753237821066799,-0.10543602074786429,0.01782563628843655,-0.04386206778954459,0.03699627214009622,-0.012764832198481908,0.0032164353833002597,-0.046610576919178554,0.11495229036182554,0.015885378759990115,0.05467940151610473,-0.07138793976329347,-0.035854435450074856,0.008745062159937717,-0.007310344631590795,0.07431052519954211,0.009740608537697476,-0.06524943758375179,-0.02938076644574246,-0.008855308848088616,0.04680438472776698,0.04536210476351882,-0.016585441465956193,-0.03200485662386326,0.0017275029145260425,-0.2584545520157143,-0.02832271173576148,0.003927911578386407,0.00399319200493668,0.003932205264862289,0.003929916673294232,0.005392854466568035,0.004057823469617539,0.0005451507952692386,0.0037990081500225282,0.003936986985483868,0.0044968496753622356,0.003921791387445413,0.004773479127856912,0.003954666714499231,0.0041125952828148455,0.004009732261934419,0.026880705148879965,0.003942033123102767,0.003949410713354358,0.003944646810268478,0.003962567296714126,0.004049425646519714,0.00393486337246429,0.004020016070160944,0.003939372712246923,0.0048340768102685195,0.2920866971089042,0.2788982967541136,0.2938630145730927,0.27541729348861904,0.2864317599133932,-0.3349683337469606,-0.2521088657537435,-0.19183581588364026,-0.40976862692279603,0.324923362248815,0.3925716553863288,-0.2655849158963021,-0.38422503717946416,0.2200885871686569,0.11008234500629177,0.06496331890239457,-0.09753091258564621,-0.07698247040302501,-0.014832553595074256,-0.01086122885159893,0.047571720861972644,0.32395966938740695,-0.3139733576890205,-0.003399425703013952,0.5975533325141265,-0.5975533325141261,-0.017288936322458728,0.017288936322458728,0.003943627378529512,0.003935417327997812,0.00393205453830111,0.003988845242366195,0.003921447814067539,0.003960844012967105,0.0039025058722306307,0.004078634711329474,0.003928104138959957,0.003961396319726535,0.003928829684202311,0.0041432927907763826,0.1169663916495077
Feels Like (deg celsius),0.8546107185607078,1.0,0.2033392207080911,-0.17172623323993036,-0.8555717175273566,-0.06180560985877883,-0.27777382471601764,-0.03538679532883646,-0.037127353746783644,-0.06046140173692175,-0.024686088822817323,,0.013512069672421186,-0.05079055472412893,-0.10488698445916382,0.018123299993907556,-0.09520007182920973,0.03814528851455148,-0.03747859705924738,-0.005076591976955336,0.0748487348452826,-0.062003515575090686,-0.0866883128056362,-0.1259463896406411,0.011110372303501426,-0.06835314836839597,-0.0566406101122046,-0.020785073678365944,-0.0016985987933624959,-0.0435891245769851,0.11385486984596956,-0.015149988924158302,-0.02590363159877796,-0.07450229149034486,-0.09546254260896743,0.019916269256902056,-0.012684800100640315,0.03352936405427922,0.021953913266409154,-0.030150936486222215,-0.04416085496387339,-0.029840438214388965,0.011235174961278889,-0.0004454575511314471,-0.029365333318882803,-0.04785769377321828,-0.026855651555087786,-0.10212628745158916,-0.16119879254835642,-0.049101831155603695,-0.04903662873862716,-0.04910539633101617,-0.04910030367001926,-0.04789942802404094,-0.04898002026216301,-0.05137523987333961,-0.04916307754633798,-0.04908990728341628,-0.048575435078353414,-0.04914282768668204,-0.04877565446458627,-0.04907938368859682,-0.04887043049792438,-0.04905733321377855,-0.020320235869945948,-0.04909233058244049,-0.04908419417788039,-0.04909151163109581,-0.0490448789831605,-0.04890787886174405,-0.04909892503061354,-0.048976502036183686,-0.04909033858266981,-0.047835106970776066,0.20106029514992468,0.20575834013109953,0.20283735653140408,0.1979851511112064,0.21626888052521825,-0.1656161072791643,-0.061213210115876084,-0.026988584611843208,-0.3600597580771605,0.4134833624311179,0.43326543349921337,-0.371259398484862,-0.35121711000563394,0.07054401923292614,0.1721566415114353,0.04733721968307155,-0.14451316788166027,-0.03360431791938887,-0.04892607817353005,0.006183922833054511,0.03328746481209313,0.22448186535731932,-0.2391358910793308,0.07472669598278565,0.5892815462498037,-0.5892815462498038,-0.008684903659411746,0.008684903659411746,-0.04909283514778881,-0.049100824044674495,-0.049106080070096036,-0.049024621419579244,-0.0491147882781812,-0.04907259990588143,-0.04914336463538633,-0.048972950047659405,-0.04904949746359078,-0.049052807432206205,-0.04911338342716101,-0.048908136050106736,0.04766564265238838
Wind (km/h),0.13193764961916224,0.2033392207080911,1.0,-0.016177346620116318,-0.200725117716277,0.049910580394975736,-0.10255813253829457,-0.05357553925588678,0.07509791636807182,-0.13085874781303686,0.08297242194750543,,0.06278925866820227,-0.05637060758641083,-0.021341559189063313,0.04170247781664698,-0.008296887264832138,-0.03623324712886737,-0.0157015325962957,-0.010557493241828121,0.08357366365894142,-0.06401468431039008,0.025425148458020644,0.026382197031511213,-0.03569762536151436,-0.036696154649032774,-0.004577834552800226,-0.03182230519604473,0.06302784001638756,-0.0006491543533589672,0.025253890296648564,0.01247087538804606,-0.06464049263940815,0.06988040394433992,-0.11989985050175084,-0.08215884760107985,-0.015970026874608793,-0.007744966539707501,0.0913374715768438,0.07057890796397588,0.0005665728627253778,-0.061365269050917055,-0.07573353080176015,-0.04083509857599684,0.0875116779581837,0.02505821148925504,0.09404765141217959,-0.014109075173937696,0.10309169536431169,-0.06805116706253768,-0.06799760936004565,-0.06805285222656604,-0.06805978967517658,-0.06851184019600182,-0.06806917602966481,-0.0686050946301609,-0.06819938842812416,-0.06806707520540722,-0.06714694608598024,-0.06803434727546578,-0.06799326154264447,-0.06803004617662323,-0.06790867204000253,-0.06820526351107661,-0.043147848706247195,-0.0680612420339442,-0.06804627615812077,-0.06804904399070281,-0.06799009608974552,-0.06809335503154516,-0.06799831678284923,-0.06793294995146272,-0.06806189668500537,-0.06796015829401515,0.0009946147929564557,-0.014127052864551284,-0.00337899994479628,0.0031728909897853932,6.422522836542377e-05,-0.009156167845195875,-0.036260926704969665,-0.06167921871459488,-0.1019938934005783,0.2114583122666003,0.229095617208675,-0.2628385284974955,-0.08063210183596237,-0.10090302065976964,0.06356966679004818,0.017016381396411765,-0.08741150398924631,0.1461898466675832,-0.05937762856558604,0.07918795837112219,-0.12959289979791527,0.03304144745328616,-0.04412518980849286,0.042894069087785834,0.17941198318326293,-0.17941198318326293,0.03571271902561266,-0.03571271902561266,-0.0680197053009374,-0.06806881729157296,-0.06807290044212536,-0.06794301597704533,-0.06803617342150056,-0.06799691752226714,-0.06811250752002813,-0.0679930984309031,-0.0680946041109904,-0.06801398388245555,-0.0680242288941469,-0.06802838810473225,0.026852137578156823
Cloud,-0.2832988741384216,-0.17172623323993036,-0.016177346620116318,1.0,0.16175307497502142,0.33532987402313685,-0.1821012431269185,0.029197175834375463,0.02439621060981073,-0.003045748953642766,0.05185640027725171,,0.09618128819111964,-0.02103927739442324,0.00023532921636759945,0.09011552808220993,0.03680253165981156,0.011188079450972369,0.08719467608155688,0.08171635002597535,0.002089159456563649,0.09939818825514272,0.09899483825157251,-0.04320408756185642,0.0744951349649061,-0.0498176771931223,0.027174994919210778,0.11766710031832413,0.06760139229575801,0.12360067831342095,0.024015558336702877,0.08874999221298767,-0.006303214740921595,-0.08566257160999963,0.017577983152399283,0.016181978115242888,0.0014987908379726625,0.01825747938494005,0.12786198364204276,-0.1435375214973949,0.018819192777897228,0.0061777663772673245,0.010477207562590516,0.09386630341977381,-0.029265893112715678,0.12015762246167716,-0.00435441562433798,0.1476415113031157,-0.045893008218359996,0.02332939080522997,0.023349801379880863,0.023299700129364064,0.02328118733428171,0.02305907473543842,0.023280999858519114,0.031864046405155444,0.023063747121845387,0.023298238592682152,0.023812922578222113,0.023324102762490636,0.022463709886643316,0.02328797284609197,0.023483084046700766,0.023167827980473562,0.03205739941913693,0.02328586382225011,0.023285705104165406,0.0232883546773209,0.023331345691332755,0.02315715195016177,0.023256558735298763,0.023362282350458907,0.02329116198241872,0.022828517451535302,-0.18806585993881564,-0.16823600380487802,-0.18633044177566843,-0.1813735051328135,-0.18402145477331655,0.18287891946131546,0.12033608340715826,0.07853683837891261,-0.03310115545845806,0.02238485936581183,-0.07609631089456065,-0.0037766435040910993,0.20029700265172645,-0.17710492191688312,0.21367389148698548,-0.0573104140560657,0.05274872266494345,-0.00639023763518062,-0.13573923144246086,-0.06388028436741591,0.009773113945947142,-0.48753032701595506,0.43074479870275834,0.15431150150387626,-0.11227285213195895,0.11227285213195892,-0.04110011753429127,0.04110011753429127,0.023286042070648147,0.023299046770018195,0.023284746879150803,0.023242960238885193,0.02329616223413919,0.02331904941291387,0.02326036179822784,0.023447192902187605,0.02324305954579628,0.023302167071413204,0.023304220406713132,0.023443113095724093,-0.05063787549566875
Humidity,-0.7843165063838199,-0.8555717175273566,-0.200725117716277,0.16175307497502142,1.0,0.14006671564943635,0.3263537890759662,-0.01706106618801559,0.03506119161385239,0.048920701396856434,0.027867210613169942,,-0.05619361652843651,0.0031023487636879957,0.1520858279165459,-0.07949429478952194,0.05395498407498971,-0.05325761206033517,-0.00186520845815305,-0.012161214970103876,-0.06271146986292617,0.08123593775674966,0.06207175727364155,0.10576938124544859,-0.04688554607272225,0.03974346347518418,-0.03381979542844124,-0.01597075172346421,-0.028688136324494663,0.0006918958966643577,-0.15577924993100364,-0.023903226828924796,-0.02402273327029721,0.11864265268217923,0.025868056577814675,-0.06645910911816771,-0.003175756526435648,-0.04751378484595962,-0.002319363575881679,0.05476289703821577,0.024893155409263134,0.002967010179063729,-0.005684504850724562,-0.05820816723808927,0.06567438992253381,0.02795629836883319,0.017737884000284955,-0.12669166434682178,0.22599520754122238,0.038766844106312454,0.0387111324979229,0.03878037568723159,0.03877332195444212,0.038071522351120546,0.03868581770127223,0.041695533747299354,0.038891093739776644,0.038770875535566365,0.03816442996679165,0.03879907983228528,0.03783131690875472,0.03875628592777758,0.03870484779633124,0.038704900849042066,0.012527081410720503,0.038766638422190094,0.03875765416249633,0.03876903605623718,0.03873381156487806,0.03870360692634238,0.038786157658419605,0.03866241475726859,0.038762611673775746,0.0373250350853297,0.01291885316454387,-0.015230638161032572,0.010739534107373905,0.008517606697037048,-0.0077189149638511876,-0.07129741477078358,-0.08732160130477054,-0.11342472276083773,0.37448221758309347,-0.4226749318330487,-0.4888817513236517,0.3238534277774922,0.4374975407327931,-0.08552025359676282,-0.20820848504881456,-0.052868451788334436,0.1299727401001845,0.023080165724019774,0.05152144799717,0.03375382729434181,-0.017129503866167732,-0.08372122061404193,0.06658111043386755,0.05289827350722027,-0.6447538172424118,0.6447538172424118,0.059034381555584055,-0.059034381555584055,0.038761945281739575,0.03876385438298228,0.038773214374597895,0.038682419005198754,0.038783795431336414,0.03872890086100031,0.03879003936952552,0.038690876817948416,0.03874762454775945,0.03872452225689654,0.03878844280030494,0.038575634636267266,-0.08608541389598853
Precip (mm),-0.1437118094645919,-0.06180560985877883,0.049910580394975736,0.33532987402313685,0.14006671564943635,1.0,0.0117501259210089,-0.09793728536385947,0.009956626745257597,-0.05487689652302684,0.009956626745257593,,0.012802463071501277,-0.06151983428745124,0.030646769109123485,-0.0012666196196583692,-0.07717080088274743,-0.024446387285441257,0.022722763344435022,-0.007231121601427266,0.08219702184401594,0.026159260021159148,0.020171497257254995,0.06413459341747574,-0.10218469346202637,-0.0933119120513453,-0.09594029010345148,0.012952781260737319,0.021170556294997995,0.008948056459919312,-0.009000059962679077,0.022837549887893455,-0.06933357186611842,-0.03859687044941439,-0.10554160708985776,-0.09394604649329692,-0.04433604661003144,-0.032383473401782804,-0.0038925519646397966,-0.05487689652302696,0.03458598627602863,-0.11060383426084403,-0.026955788029101597,-0.051880155653352876,-0.028460944191341882,0.061364936854321435,-0.01094402221499401,0.017830550506071075,0.031318413343528376,-0.06184164754629594,-0.06180490154350836,-0.0618048721982785,-0.061795925128941914,-0.06074540311093704,-0.06185812024171272,-0.060709226981571204,-0.06186219092615765,-0.06179338388493102,-0.06278735593115178,-0.06189232181403199,-0.062011245972448,-0.06177986416670334,-0.06166104105886749,-0.06185951440643817,-0.06565504292459644,-0.06180361105584158,-0.061799797107300936,-0.061800667784378746,-0.06179674514942517,-0.06189023388309515,-0.061843334516974345,-0.061850504580723185,-0.061810396230251245,-0.06346511374696953,-0.04619771168987523,-0.06032923939292124,-0.051258807236865635,-0.038226589497291893,-0.04290661140325225,0.07806587211384175,0.12180170311927091,0.07918162190613814,0.1404051416956712,-0.07537841522515364,-0.04137624090883866,-0.11730524424816886,0.21329184575746996,-0.14453515903447708,0.04401622162227026,-0.10371067933450451,0.0002260379640134882,0.0001784148267794005,0.09244129385395837,-0.0332123823709289,-0.020743984703037247,-0.10967496712327754,0.08767269006566719,0.06768436701998694,-0.19208124010450017,0.19208124010449965,0.0475998935401124,-0.0475998935401124,-0.0618317916352847,-0.06180194233478453,-0.06181216802683491,-0.06184433257501906,-0.0618188162789058,-0.06177614060448295,-0.061827092629676075,-0.061989600185817076,-0.061803700379833036,-0.0618800409358673,-0.06179934011776646,-0.06171733481333713,-0.10243094078776568
Pressure (mb),-0.19261433077569984,-0.27777382471601764,-0.10255813253829457,-0.1821012431269185,0.3263537890759662,0.0117501259210089,1.0,-0.039230665253254325,-0.09775970557446159,-0.01756995415407484,-0.0026042544517787163,,-0.16577440447895594,-0.019696825740560003,-0.06849916455158452,-0.046636412710614764,0.010144460798425825,0.024595917337284463,-0.06771654232904999,-0.006656172976694039,-0.10730900232898105,-0.010444891104584268,-0.043139223611277595,-0.07285198948636763,-0.11017615036381852,0.07466175468899545,-0.03398137014740647,-0.004726195299505536,0.0019487279080540288,-0.08785700090665825,-0.10727676895251677,-0.07184534867431004,0.05131650157875832,0.15069373508124106,0.0426413914453044,0.011605872936115298,0.04460723479300149,0.05161885834417904,-0.06856981777559328,0.14470809463008896,-0.05773848884045239,0.0018735367566471838,-0.07819704950090901,-0.11636886902076093,0.006699033515987859,-0.06856981777559322,0.04116763469219241,-0.04794668875772943,0.05496294195777971,0.09042993267458938,0.09037592562892749,0.0904006954530753,0.09043332524385535,0.08957291087220481,0.09044730932167509,0.08880940857354731,0.09030071925668379,0.09042320611330726,0.0895313369611163,0.09038323296395835,0.09163344682520633,0.09041290927876978,0.09041376914856981,0.09053710349235868,0.08465124567966613,0.09041368976288561,0.09040927012194755,0.09042262128532363,0.09030938648762715,0.09036720002705888,0.09043727864384124,0.09034554004280493,0.09041541358320875,0.08978615120189747,-0.020530390327446583,-0.07452489597361235,-0.02100770520475613,-0.024817750640246616,-0.031379544118737016,-0.06918504098427386,-0.11423162914727573,-0.1854795286869945,0.2512923792254537,-0.35483962819362064,-0.145091061766357,0.04406274366211506,0.08912759086245507,0.2562535014240708,-0.10568115339057392,0.04755884887951625,-0.0022193665963338364,0.08145758943047904,-0.009454584349218278,-0.0038385935773640133,0.002882207444899997,0.1191887827610555,-0.11240609035111028,-0.012357572808484528,-0.08700115737318585,0.08700115737318585,-0.0385778250345982,0.0385778250345982,0.09037794741457617,0.09040090267545656,0.09043138430666105,0.09031551568100553,0.09040000230678813,0.09043667431600486,0.09044288267103347,0.09018588353972425,0.09038543744899974,0.0903916352704652,0.0904280907474106,0.09011023634969365,-0.06180426899816248
Bank,-0.023350256426471438,-0.03538679532883646,-0.05357553925588678,0.029197175834375463,-0.01706106618801559,-0.09793728536385947,-0.039230665253254325,1.0,0.443688971444684,-0.05968450597361806,0.3574917275034876,,0.2082481422280237,0.3097657995261548,0.16205141585194477,0.5104716180662858,0.7177633571954266,0.28996106629509805,0.40338712186905834,0.16581239827024924,0.1792369800869919,0.3340127919765826,0.47538153121543253,0.1771746518483955,0.22012209639913555,0.5258743224611334,0.32506854332449336,0.566293633984116,-0.0073552877985323195,-0.09592942190866208,0.42101738285355234,0.6186960249854745,0.4398462103522224,-0.04197823293331459,0.6929782501773477,0.7450703607620982,0.5712494910658631,0.3350088010712215,-0.05154990911870389,-0.059684505973618025,-0.26978333005521854,0.7758705825431864,0.15957415115703538,0.34583469472297956,0.3830656845774166,-0.05154990911870393,0.13984498292706396,0.14105653403330493,-0.08090918101175201,-0.0898007350465382,-0.08959949926291506,-0.08969569814038714,-0.08979144496185339,-0.08837108513152092,-0.08970512195917722,-0.07775205514883946,-0.09009146771278065,-0.08973351596122803,-0.08719728229776208,-0.08968538995334552,-0.09111730646936293,-0.08974401602932078,-0.08947197402453122,-0.08980458584138662,-0.0763332968824241,-0.08974330353540008,-0.08975636052107032,-0.08976106198950387,-0.089718939351976,-0.08987340231035348,-0.08974835926961955,-0.08956599902932796,-0.08976221489473678,-0.0888877602408201,-0.15892425439122823,-0.1384246067841161,-0.15855348884508505,-0.162290965225385,-0.15514181836042598,0.1583900921093087,0.0821467186221778,0.04963014156077733,-0.01485569737715837,0.06751645458879432,-0.02464345742388976,0.08366490053090232,-0.03318698576936179,-0.0793001590547604,-0.01240430220096591,-0.06913613010139118,0.012355761914759478,0.041159152383827974,-0.06232583613239876,0.00662327117064687,0.07179887458222936,-0.16920359585634118,0.1762336012472908,-0.04197823293331458,0.006355695064593541,-0.006355695064593464,-0.17685143529507913,0.17685143529507913,-0.08969783394282153,-0.08973382578160374,-0.08974534106727249,-0.08967212532338475,-0.0897957514934846,-0.089716870596966,-0.08980207951097205,-0.08928054585453594,-0.08993736821519852,-0.08979899833991253,-0.08980088996536385,-0.08897898405258303,0.1696411229615521
Bar,-0.03570980220439541,-0.037127353746783644,0.07509791636807182,0.02439621060981073,0.03506119161385239,0.009956626745257597,-0.09775970557446159,0.443688971444684,1.0,-0.026481357066618735,0.6557971014492731,,0.3843181013971647,-0.02968696849978806,0.07190042602050442,0.37488103807702294,0.4089633869839809,-0.037859599303693196,0.3194986621021534,-0.06019292654288442,0.16913674607000173,0.17496355305594072,0.12601668436719146,0.5582062368861088,0.09766574654357967,-0.06866229106847596,0.14422932763666588,-0.09325048082403156,-0.05286805326376812,-0.0425628265379374,-0.08126680004967371,0.33897910304049145,-0.05286805326376811,-0.018625278993247736,-0.05093008460415667,-0.05475856781933926,-0.06866229106847596,-0.04026694495033041,-0.022872126154944692,-0.026481357066618756,-0.11969988822512209,0.3442452207427748,-0.019427183505006485,0.2690768628904431,0.558206236886109,-0.022872126154944696,-0.03785959930369321,0.06588067366318319,-0.01554976668412212,0.008885055686320035,0.008887013097326386,0.008933128840725255,0.008924974877412907,0.008755908690539658,0.008800624325425561,0.008347871859531807,0.009093920365377609,0.008916885982294086,0.009126245759883186,0.009048266078895653,0.007333162824618051,0.008952199633807915,0.00875654950941926,0.008854000087496858,-0.002930905556025932,0.008917491237371466,0.008932243539736144,0.008925257600063628,0.008925748385305682,0.008620306849221689,0.008961503186033786,0.00882750146796814,0.008941761474885464,0.006174322535876852,-0.07675370643434394,-0.07737437496780789,-0.0784754545354007,-0.07720268533624176,-0.0757985066608543,0.06673865378703711,0.04651407996079599,0.01228669141635762,0.05361776432310282,0.015286981045965379,0.018744051903850832,-0.05660673717981145,0.031139118786805208,-0.07349449220249374,0.11751915922752429,-0.05475856781933934,-0.0033450195022627217,-0.06534666277174163,0.07957374171530547,-0.08430316370914717,0.0043440502928555474,-0.0750737694102411,0.07819290527140363,-0.01862527899324773,-0.0507591325084587,0.050759132508458725,-0.02156345901744432,0.02156345901744432,0.008930280916132101,0.008950679227448787,0.008907241893876193,0.008878034272835832,0.008901302122573593,0.008964803815148841,0.0088644293519477,0.009032741422294087,0.008923865272941991,0.008884746121616464,0.008970288078500905,0.008977594214817511,0.1226868415588845
Beach,-0.053166208401575564,-0.06046140173692175,-0.13085874781303686,-0.003045748953642766,0.048920701396856434,-0.05487689652302684,-0.01756995415407484,-0.05968450597361806,-0.026481357066618735,1.0,-0.02648135706661872,,-0.05576029983509034,-0.02410863720076267,-0.048284016033061074,-0.05708231210422864,-0.06475239082381769,-0.030745589405179945,-0.08288409376234529,0.1955294866951377,0.18773631066391108,-0.004633272322118661,0.12819406548138537,-0.047440095285108376,-0.09591443481700856,-0.055760299835090364,0.11712790862183052,-0.07572824456627529,-0.04293387907410921,0.1296189618413026,-0.06599635792649258,-0.07812091314506626,-0.042933879074109206,-0.015125495013558105,-0.041360064512297165,-0.044469156397671405,-0.05576029983509039,-0.032700582647821795,-0.018574338147176524,-0.021505376344086065,0.06201179251186591,-0.07692585247655785,0.014199045856176677,-0.09841558572578143,-0.04744009528510834,-0.01857433814717654,-0.030745589405179945,0.1301966566987708,-0.14560786818055668,0.03927418810364015,0.03925302368236862,0.039192878922859435,0.039266339013527767,0.037702871269358555,0.03937284796879836,0.04813899803198411,0.039389794860348784,0.03925155645605653,0.03751285638213897,0.039096161853172974,0.04131436995289928,0.039222299545208325,0.038700679147960805,0.03918454787255116,0.02588438791197988,0.03924171009967317,0.03924697857094704,0.03922987642248961,0.039163001740313064,0.039326101324962275,0.03923125758532787,0.03906976017467124,0.03924584588310737,0.037477874798152386,-0.11117747586145514,-0.09054513853957531,-0.107476234485156,-0.10655386294521213,-0.1029773632031318,0.1257924006922109,0.15997147791881608,0.17645611073968712,-0.044469156397671475,-0.0948014844674382,-0.05708231210422861,0.08247566969206535,0.08115658404526262,0.04531601379478424,0.0579718893143367,-0.044469156397671496,-0.06723271777817519,-0.05306769483909277,-0.0659963579264926,0.02718351007445308,0.13758347091687306,-0.06096702901874775,0.06350006350009568,-0.015125495013558117,0.007728981596002755,-0.00772898159600276,-0.07692585247655782,0.07692585247655782,0.03925496071495266,0.03923522080389792,0.03928057046192105,0.03920925595353523,0.039179047928651026,0.039263400239455105,0.0393582235082918,0.03902007703592903,0.03924848989694131,0.03933087472272882,0.039210022614757714,0.03893029789347574,-0.06170475412994051
