,Temp (deg celsius),Feels Like (deg celsius),Cloud,Humidity,Gas Station,Highway,Highway Primary,Residential Building,php-usd-rate,"Education,Postsecondary","Labor,Not in the Labor Force","Poverty,poverty incidence by household",Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,time_epoch_Early Morning,time_epoch_Evening,day_Thursday,day_night_nighttime,Adult Population
Temp (deg celsius),1.0,0.8546107185607078,-0.2832988741384216,-0.7843165063838199,-0.05102462995961489,-0.06178492607354708,-0.10543602074786429,-0.02938076644574246,-0.2584545520157143,0.0037990081500225282,0.003944646810268478,0.004020016070160944,0.2920866971089042,0.2788982967541136,0.2938630145730927,-0.2655849158963021,-0.38422503717946416,-0.014832553595074256,-0.5975533325141261,0.00393205453830111
Feels Like (deg celsius),0.8546107185607078,1.0,-0.17172623323993036,-0.8555717175273566,-0.03747859705924738,-0.062003515575090686,-0.1259463896406411,-0.04416085496387339,-0.10212628745158916,-0.04916307754633798,-0.04909151163109581,-0.048976502036183686,0.20106029514992468,0.20575834013109953,0.20283735653140408,-0.371259398484862,-0.35121711000563394,-0.04892607817353005,-0.5892815462498038,-0.049106080070096036
Cloud,-0.2832988741384216,-0.17172623323993036,1.0,0.16175307497502142,0.08719467608155688,0.09939818825514272,-0.04320408756185642,0.018819192777897228,0.1476415113031157,0.023063747121845387,0.0232883546773209,0.023362282350458907,-0.18806585993881564,-0.16823600380487802,-0.18633044177566843,-0.0037766435040910993,0.20029700265172645,-0.13573923144246086,0.11227285213195892,0.023284746879150803
Humidity,-0.7843165063838199,-0.8555717175273566,0.16175307497502142,1.0,-0.00186520845815305,0.08123593775674966,0.10576938124544859,0.024893155409263134,-0.12669166434682178,0.038891093739776644,0.03876903605623718,0.03866241475726859,0.01291885316454387,-0.015230638161032572,0.010739534107373905,0.3238534277774922,0.4374975407327931,0.05152144799717,0.6447538172424118,0.038773214374597895
Gas Station,-0.05102462995961489,-0.03747859705924738,0.08719467608155688,-0.00186520845815305,1.0,0.1788302277432708,0.11085188415831415,-0.13452542872897544,0.03950808093791372,0.07530172016411336,0.07575660104821053,0.07601206403318722,-0.029449447912853574,-0.005922799810409799,-0.031081761733795808,0.038062876653356906,-0.024242426626132105,-0.057368618164897495,0.04403494927801495,0.07577737596537493
Highway,-0.06178492607354708,-0.062003515575090686,0.09939818825514272,0.08123593775674966,0.1788302277432708,1.0,0.16959013353303767,0.07053256895482805,-0.01122416101212434,0.014779523576279976,0.014576739621513539,0.014604494163154517,-0.05097134656718073,-0.046221543508573666,-0.05422659255875145,0.04544241396370136,0.01748495578957952,-0.0986424260701074,0.09325048082403134,0.014545183322685886
Highway Primary,-0.10543602074786429,-0.1259463896406411,-0.04320408756185642,0.10576938124544859,0.11085188415831415,0.16959013353303767,1.0,0.13679580856869353,0.009366160049177896,-0.01700528958801303,-0.017531852062613706,-0.017696640740600917,0.05227699807772054,0.06682005702243891,0.05340606351861286,0.024523572198591404,0.014702826769738126,0.14255258443402397,0.09093257859606316,-0.017547163860222936
Residential Building,-0.02938076644574246,-0.04416085496387339,0.018819192777897228,0.024893155409263134,-0.13452542872897544,0.07053256895482805,0.13679580856869353,1.0,-0.0434634504575849,0.4271674245389304,0.427004167193389,0.42697903021816247,0.022092027631664957,0.007319376523600506,0.024090948781602874,0.07249531945332745,0.027224294338420996,0.1597650903624274,-0.0578254498826208,0.4270206220035078
php-usd-rate,-0.2584545520157143,-0.10212628745158916,0.1476415113031157,-0.12669166434682178,0.03950808093791372,-0.01122416101212434,0.009366160049177896,-0.0434634504575849,1.0,0.007641592846219525,0.007454943406808357,0.00744928019008138,-0.7406513131194656,-0.6415962525546578,-0.7353128901178614,0.12592729396556804,-0.0037068891629646857,0.06865156837303818,-0.05293989317918081,0.0074477146101432625
"Education,Postsecondary",0.0037990081500225282,-0.04916307754633798,0.023063747121845387,0.038891093739776644,0.07530172016411336,0.014779523576279976,-0.01700528958801303,0.4271674245389304,0.007641592846219525,1.0,0.9999974728440172,0.9999968254189388,0.03854717236586508,0.04380126010552104,0.03973750960824099,-0.01549422550280026,0.059589732016181916,0.07552498585887023,0.043419916429698516,0.9999974774282545
"Labor,Not in the Labor Force",0.003944646810268478,-0.04909151163109581,0.0232883546773209,0.03876903605623718,0.07575660104821053,0.014576739621513539,-0.017531852062613706,0.427004167193389,0.007454943406808357,0.9999974728440172,1.0,0.9999994881268637,0.038517134213977684,0.0437495273165135,0.03970277904486293,-0.015649249115942405,0.059530170820694284,0.0754112722328427,0.04324900714670987,0.999999976775615
"Poverty,poverty incidence by household",0.004020016070160944,-0.048976502036183686,0.023362282350458907,0.03866241475726859,0.07601206403318722,0.014604494163154517,-0.017696640740600917,0.42697903021816247,0.00744928019008138,0.9999968254189388,0.9999994881268637,1.0,0.03857790138537052,0.043814693817881875,0.03976278260148749,-0.015651558352444483,0.05962901370286076,0.07531958756287031,0.043200282649136786,0.9999994609141188
Consumer Price Index  - all items,0.2920866971089042,0.20106029514992468,-0.18806585993881564,0.01291885316454387,-0.029449447912853574,-0.05097134656718073,0.05227699807772054,0.022092027631664957,-0.7406513131194656,0.03854717236586508,0.038517134213977684,0.03857790138537052,1.0,0.9797853777040544,0.9995715161868904,-0.09303370641292524,-0.03670182004238189,-0.05580218133498454,0.024935070039592545,0.0385256724161919
Consumer Price Index -Alcoholic beverages and tobacco,0.2788982967541136,0.20575834013109953,-0.16823600380487802,-0.015230638161032572,-0.005922799810409799,-0.046221543508573666,0.06682005702243891,0.007319376523600506,-0.6415962525546578,0.04380126010552104,0.0437495273165135,0.043814693817881875,0.9797853777040544,1.0,0.9818315388077467,-0.09583588327277817,-0.04435660713615856,-0.03698649496636202,0.011894871606173208,0.04375424045838809
Consumer Price Index -transport,0.2938630145730927,0.20283735653140408,-0.18633044177566843,0.010739534107373905,-0.031081761733795808,-0.05422659255875145,0.05340606351861286,0.024090948781602874,-0.7353128901178614,0.03973750960824099,0.03970277904486293,0.03976278260148749,0.9995715161868904,0.9818315388077467,1.0,-0.08959819693327012,-0.038216586832482725,-0.05454970194426776,0.023570793078523482,0.03971167805673976
time_epoch_Early Morning,-0.2655849158963021,-0.371259398484862,-0.0037766435040910993,0.3238534277774922,0.038062876653356906,0.04544241396370136,0.024523572198591404,0.07249531945332745,0.12592729396556804,-0.01549422550280026,-0.015649249115942405,-0.015651558352444483,-0.09303370641292524,-0.09583588327277817,-0.08959819693327012,1.0,-0.18479486233943385,-0.04252974738745467,0.0019437089437580413,-0.015627591965946264
time_epoch_Evening,-0.38422503717946416,-0.35121711000563394,0.20029700265172645,0.4374975407327931,-0.024242426626132105,0.01748495578957952,0.014702826769738126,0.027224294338420996,-0.0037068891629646857,0.059589732016181916,0.059530170820694284,0.05962901370286076,-0.03670182004238189,-0.04435660713615856,-0.038216586832482725,-0.18479486233943385,1.0,-0.008121385175430417,0.5592548233558726,0.05951334537540355
day_Thursday,-0.014832553595074256,-0.04892607817353005,-0.13573923144246086,0.05152144799717,-0.057368618164897495,-0.0986424260701074,0.14255258443402397,0.1597650903624274,0.06865156837303818,0.07552498585887023,0.0754112722328427,0.07531958756287031,-0.05580218133498454,-0.03698649496636202,-0.05454970194426776,-0.04252974738745467,-0.008121385175430417,1.0,-0.023718935565493964,0.07538632268524373
day_night_nighttime,-0.5975533325141261,-0.5892815462498038,0.11227285213195892,0.6447538172424118,0.04403494927801495,0.09325048082403134,0.09093257859606316,-0.0578254498826208,-0.05293989317918081,0.043419916429698516,0.04324900714670987,0.043200282649136786,0.024935070039592545,0.011894871606173208,0.023570793078523482,0.0019437089437580413,0.5592548233558726,-0.023718935565493964,1.0,0.04325772431694499
Adult Population,0.00393205453830111,-0.049106080070096036,0.023284746879150803,0.038773214374597895,0.07577737596537493,0.014545183322685886,-0.017547163860222936,0.4270206220035078,0.0074477146101432625,0.9999974774282545,0.999999976775615,0.9999994609141188,0.0385256724161919,0.04375424045838809,0.03971167805673976,-0.015627591965946264,0.05951334537540355,0.07538632268524373,0.04325772431694499,1.0
