,Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal
Bank,1.0,0.443688971444684,-0.05968450597361806,0.3574917275034876,,0.2082481422280237,0.3097657995261548,0.16205141585194477,0.5104716180662858,0.7177633571954266,0.28996106629509805,0.40338712186905834,0.16581239827024924,0.1792369800869919,0.3340127919765826,0.47538153121543253,0.1771746518483955,0.22012209639913555,0.5258743224611334,0.32506854332449336,0.566293633984116,-0.0073552877985323195,-0.09592942190866208,0.42101738285355234,0.6186960249854745,0.4398462103522224,-0.04197823293331459,0.6929782501773477,0.7450703607620982,0.5712494910658631,0.3350088010712215,-0.05154990911870389,-0.059684505973618025,-0.26978333005521854,0.7758705825431864,0.15957415115703538,0.34583469472297956,0.3830656845774166,-0.05154990911870393,0.13984498292706396
Bar,0.443688971444684,1.0,-0.026481357066618735,0.6557971014492731,,0.3843181013971647,-0.02968696849978806,0.07190042602050442,0.37488103807702294,0.4089633869839809,-0.037859599303693196,0.3194986621021534,-0.06019292654288442,0.16913674607000173,0.17496355305594072,0.12601668436719146,0.5582062368861088,0.09766574654357967,-0.06866229106847596,0.14422932763666588,-0.09325048082403156,-0.05286805326376812,-0.0425628265379374,-0.08126680004967371,0.33897910304049145,-0.05286805326376811,-0.018625278993247736,-0.05093008460415667,-0.05475856781933926,-0.06866229106847596,-0.04026694495033041,-0.022872126154944692,-0.026481357066618756,-0.11969988822512209,0.3442452207427748,-0.019427183505006485,0.2690768628904431,0.558206236886109,-0.022872126154944696,-0.03785959930369321
Beach,-0.05968450597361806,-0.026481357066618735,1.0,-0.02648135706661872,,-0.05576029983509034,-0.02410863720076267,-0.048284016033061074,-0.05708231210422864,-0.06475239082381769,-0.030745589405179945,-0.08288409376234529,0.1955294866951377,0.18773631066391108,-0.004633272322118661,0.12819406548138537,-0.047440095285108376,-0.09591443481700856,-0.055760299835090364,0.11712790862183052,-0.07572824456627529,-0.04293387907410921,0.1296189618413026,-0.06599635792649258,-0.07812091314506626,-0.042933879074109206,-0.015125495013558105,-0.041360064512297165,-0.044469156397671405,-0.05576029983509039,-0.032700582647821795,-0.018574338147176524,-0.021505376344086065,0.06201179251186591,-0.07692585247655785,0.014199045856176677,-0.09841558572578143,-0.04744009528510834,-0.01857433814717654,-0.030745589405179945
Bridge,0.3574917275034876,0.6557971014492731,-0.02648135706661872,1.0,,0.2031259444109084,-0.029686968499788028,-0.015670605671135467,0.3748810380770227,0.32751365582364833,-0.03785959930369319,0.24923853964913362,-0.06019292654288443,0.1691367460700019,0.11474059095335258,0.1896953280633785,0.3526651806683549,0.09766574654357972,0.021933787424652032,0.14422932763666596,-0.01942718350500651,-0.05286805326376809,-0.04256282653793741,-0.08126680004967375,0.26644979045299894,-0.05286805326376808,-0.018625278993247743,-0.050930084604156704,-0.05475856781933928,-0.06866229106847595,-0.04026694495033039,-0.022872126154944696,-0.026481357066618756,-0.05434650097577368,0.27108348479073113,-0.09325048082403159,0.20403283750980172,0.3526651806683548,-0.0228721261549447,-0.037859599303693224
Cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church,0.2082481422280237,0.3843181013971647,-0.05576029983509034,0.2031259444109084,,1.0,-0.06251017501024267,0.15139667136726417,0.41441707433520203,0.4323708741031598,0.156946432187735,0.2659076749098563,0.3485483377884619,0.12753723243361917,0.3367088608877358,0.2988673560432038,0.1474923919625351,0.2056492534422555,0.18925702811244918,0.23871565385109433,0.07567744027471338,0.35870189454333395,0.19418130981089576,0.08288572533916365,0.25560652938612144,0.29994899802330494,-0.039218199375622494,0.014043412733140873,0.055849419559592176,0.18925702811244985,0.21353973167320467,0.20602011297863312,-0.05576029983509036,0.12638478540365053,0.37823952717556636,0.15340021677306676,0.15570136643551136,0.5261890740285008,-0.048160545891108734,0.47250010536942616
Clinic,0.3097657995261548,-0.02968696849978806,-0.02410863720076267,-0.029686968499788028,,-0.06251017501024267,1.0,0.06545817426002282,0.3250804726176476,0.2833381795329946,0.6204130760327228,-0.09291734839971282,0.49319696191606943,0.14268616749089844,0.09349447478728858,0.16110408422670716,-0.053182796138920733,0.010338945526572593,0.036464268755974576,0.13130643285972227,0.23770676158768433,-0.04813109511118901,-0.03874921291460651,-0.07398532461669913,0.2293698445382447,0.43959733534885875,-0.01695646083701747,0.4570438533544513,-0.04985222025701763,0.33338760005462664,0.5824714367521279,-0.020822792053007407,-0.024108637200762673,-0.1089748222091318,0.2334732098727156,-0.0042447635997800845,0.24496767481460988,0.17136678755874465,-0.020822792053007418,0.12925272417348263
Commercial Building,0.16205141585194477,0.07190042602050442,-0.048284016033061074,-0.015670605671135467,,0.15139667136726417,0.06545817426002282,1.0,0.15498611148229396,0.17581140099302084,0.08347838711296833,0.22504139938312295,0.1327221765635321,0.2478865557661345,0.22708429789639495,0.28377194990151877,0.07651308656374851,0.5532009820418765,0.10529832591889857,0.27867891936575057,0.20561231180118544,0.11657122361121569,0.02526697143974567,0.17918893804343786,0.2121087269852012,0.11657122361121575,0.041067741827201604,0.1122981065958424,0.12073970687081777,0.15139667136726428,0.0887864552251709,0.05043181217908104,0.05838997287719022,0.19742381469687975,0.20886397744423474,0.20561231180118553,0.1679216845153979,0.1288062032799794,0.050431812179081076,0.0834783871129682
Community Center,0.5104716180662858,0.37488103807702294,-0.05708231210422864,0.3748810380770227,,0.41441707433520203,0.3250804726176476,0.15498611148229396,1.0,0.6287263726432758,0.5386185014552443,0.1434792589896213,0.5449492609130691,0.30574498804933253,0.3148344882972258,0.38144809018088544,0.13991283347481012,0.21052495958074194,0.3206798789498595,0.3108958303771106,0.3718639916459093,0.23247957597766228,0.04770842982214253,0.07444977815158423,0.46803773251664016,0.6366597538211758,-0.04014801755991181,0.4265859821389095,0.16229909478670054,0.5081542697205459,0.5728671709743081,-0.04930237677696743,-0.057082312104228726,0.04626583547691592,0.47709896974937865,0.10452393278695875,0.41176490356426715,0.5120809705178033,0.20049633222633428,0.3060332394632047
Convenience Store,0.7177633571954266,0.4089633869839809,-0.06475239082381769,0.32751365582364833,,0.4323708741031598,0.2833381795329946,0.17581140099302084,0.6287263726432758,1.0,0.47481782547357,0.3822196962884388,0.3276034200241571,0.21294260205235485,0.34231764008250154,0.4085932521552629,0.19762296699658524,0.23881293448747226,0.5609989525158959,0.3234606626538224,0.47074414930148206,0.1876548139237733,-0.10407490717403708,0.2580078509198147,0.6915713879721571,0.6102256541669407,-0.045542656350255374,0.6387418902389638,0.4303029193406239,0.5609989525158959,0.5050096565051309,-0.05592707533948699,-0.06475239082381792,-0.10711382353233664,0.6686259687102414,0.15630176832275813,0.3501174076226164,0.5380874049570253,-0.055927075339486994,0.403893779215725
Fire Station,0.28996106629509805,-0.037859599303693196,-0.030745589405179945,-0.03785959930369319,,0.156946432187735,0.6204130760327228,0.08347838711296833,0.5386185014552443,0.47481782547357,1.0,-0.05731643273794963,0.6289709020331521,0.26840095387138896,0.20313753368441836,0.29417420270727673,-0.06782367663050247,0.11339263824830358,0.3147232687785808,0.16745424626640223,0.40599897147057284,0.23017978094124633,-0.049416621110740015,0.0457022377276513,0.3935641324121092,0.7161148740394321,-0.021624465054518396,0.442428381998972,0.030794728998502108,0.5513885236648495,0.9402153391669754,-0.026555172297791824,-0.030745589405180008,0.03174857340329383,0.39967824099900934,0.14886628953921077,0.1424903835457149,0.46911376336097566,-0.026555172297791817,0.47802197802197494
Gas Station,0.40338712186905834,0.3194986621021534,-0.08288409376234529,0.24923853964913362,,0.2659076749098563,-0.09291734839971282,0.22504139938312295,0.1434792589896213,0.3822196962884388,-0.05731643273794963,1.0,0.01638243957276622,0.24234075977169156,0.1788302277432708,0.40308563485770593,0.11085188415831415,0.305684367818583,0.3028933690774058,0.3758329298149143,0.46159086124879606,0.016787005172844628,-0.023168268228563917,0.5664287058570315,0.7056522869792613,0.10791646182542917,0.06209719618531538,0.26386190346468413,0.3152999391923962,0.1549505924072076,-0.010350425720332377,0.22410015364871935,0.0882895781381511,-0.13452542872897544,0.4800912693967369,0.03965557227223338,0.3642106121367906,0.2786754538003824,-0.07158754908222995,0.12622495299593445
