,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population
"Education,Baccalauate graduate",1.0,0.9999997484584918,0.9999998297566918,0.9999998746018816,0.9999296959065673,0.9999995308333786,0.9984086835577738,0.9999966941757351,0.999999857301339,0.9999286441826132,0.9999995897920659,0.9999257052830703,0.999999858533755,0.9999967883538694,0.9999991378008204,0.9796909852496312,0.9999998707903025,0.9999998889289371,0.9999998758066928,0.9999997291510548,0.9999983075823959,0.9999996832615005,0.9999993126273201,0.9999998955148582,0.9999328453662489,-0.517264385538252,0.517264385538252,0.9999997750777722,0.9999998807528101,0.9999998544815926,0.9999993655396099,0.9999998719514188,0.9999998042650396,0.9999998290547836,0.9999985630917775,0.9999996890523574,0.999999905770904,0.9999998764976624,0.9999971590910957
"Education,College undergraduate",0.9999997484584918,1.0,0.9999998193564019,0.9999998199820017,0.9999339489143858,0.9999995555155395,0.9984302326513063,0.9999969724383881,0.9999998503855076,0.9999285937359038,0.9999993550047812,0.9999249082511182,0.9999998425200972,0.9999969848945242,0.9999990029087922,0.9796495853868749,0.9999998327071722,0.9999998466318687,0.9999998462924977,0.9999998244696194,0.9999984489091278,0.999999722440374,0.9999995986830139,0.9999998182672348,0.9999319196142897,-0.5175814649257288,0.5175814649257288,0.9999998417058483,0.9999998520928879,0.9999998480154809,0.9999993877012583,0.9999997268242742,0.9999998026955146,0.9999996484462511,0.9999986231524545,0.9999995763151471,0.9999997972087837,0.9999997312893684,0.9999976521221151
"Education,Elementary",0.9999998297566918,0.9999998193564019,1.0,0.99999992089945,0.9999336158931541,0.9999995974370732,0.9984117527552168,0.9999972058294809,0.9999999420775224,0.9999296896639189,0.999999661522634,0.9999230386351576,0.9999999382352244,0.9999972082946459,0.9999991402148043,0.979662604040204,0.9999999441642522,0.9999999537297576,0.9999999172048267,0.9999997968019207,0.9999984023153243,0.9999997851202019,0.9999993662355875,0.999999931724078,0.9999324931373543,-0.5173920047777458,0.5173920047777458,0.9999999188708361,0.9999999451932963,0.9999998996689559,0.9999995012277447,0.9999998797115707,0.9999998828988859,0.9999997890908269,0.9999986262378854,0.9999997457212542,0.9999998216542907,0.9999998381570991,0.9999976326026797
"Education,High school",0.9999998746018816,0.9999998199820017,0.99999992089945,1.0,0.9999321697148987,0.9999995476207794,0.9984081830274455,0.999997484417665,0.9999999788486451,0.9999265771495816,0.9999996251994181,0.9999255565794225,0.9999999755026239,0.9999969397034078,0.9999992694810983,0.9796327799637211,0.9999999852152357,0.9999999874636147,0.9999999845374388,0.9999997599204136,0.9999985243075312,0.9999998639290996,0.9999993886207362,0.9999999766742258,0.9999309062626133,-0.5173887576180197,0.5173887576180197,0.9999999283060829,0.9999999681404547,0.9999999798399261,0.9999994858532147,0.9999999249309204,0.9999999017485616,0.9999998971250161,0.999998314776049,0.9999998305069374,0.9999998987531199,0.9999999321092315,0.9999973450326884
"Education,No grade completed",0.9999296959065673,0.9999339489143858,0.9999336158931541,0.9999321697148987,1.0,0.9999303442810956,0.9984508553519035,0.9999374855873386,0.9999326973967976,0.9998355170474432,0.999932581824922,0.9998326341203216,0.9999325091129774,0.9999349990595945,0.999932805818863,0.9791720449645305,0.9999326994615465,0.999932430973121,0.9999321515210414,0.9999343681227538,0.9999338369473787,0.9999322976523983,0.9999325316336525,0.9999315839995436,0.9998682418302625,-0.5197674655321199,0.5197674655321199,0.9999330045048265,0.9999327988429045,0.9999319641353392,0.9999318939632088,0.9999319772556758,0.9999324177798022,0.9999304413225023,0.9999302521755443,0.999931784724441,0.9999303790695859,0.9999309921624192,0.9999375217240472
"Education,Out of school youth",0.9999995308333786,0.9999995555155395,0.9999995974370732,0.9999995476207794,0.9999303442810956,1.0,0.9984249979419536,0.9999963311800689,0.9999995709736716,0.9999317178047119,0.9999990231500785,0.9999269388763056,0.9999995343206962,0.9999965514872271,0.9999989978968873,0.9796860570421925,0.999999563401043,0.9999995973897047,0.9999995450624457,0.9999992367451239,0.9999981711850723,0.9999993445759682,0.9999988547616017,0.9999995880796835,0.999932632505333,-0.5173638040682338,0.5173638040682338,0.9999995357622253,0.9999995472293856,0.9999995890416536,0.9999989812806139,0.9999993640531856,0.9999995202200499,0.999999548182735,0.9999986239322729,0.9999993751623139,0.9999996111470342,0.9999993203287765,0.9999971943666285
"Education,Post baccalaureate",0.9984086835577738,0.9984302326513063,0.9984117527552168,0.9984081830274455,0.9984508553519035,0.9984249979419536,1.0,0.998400112051351,0.9984114377835233,0.9983681361402797,0.9983903733624045,0.9982718519414933,0.9984107306747516,0.9984099142584841,0.9983956715740624,0.9779077550310777,0.998408172687993,0.9984094758945253,0.9984082477120401,0.9984200212995629,0.9984180500202601,0.9984078318133095,0.9984199014860868,0.9984074883290442,0.9982756346098697,-0.5360889570681321,0.5360889570681321,0.9984123374260073,0.9984087958161636,0.9984107972434784,0.9983983107606723,0.998400308519141,0.9984138534818623,0.9984054302709789,0.9984304532182504,0.9983972214097179,0.9984122694223738,0.9984027399778301,0.9984201687348656
"Education,Postsecondary",0.9999966941757351,0.9999969724383881,0.9999972058294809,0.999997484417665,0.9999374855873386,0.9999963311800689,0.998400112051351,1.0,0.9999974400174023,0.9999102228169698,0.9999968643761934,0.9999229174203137,0.9999974137056389,0.9999940187738574,0.9999963350985495,0.9793252541626167,0.9999974861532284,0.9999974106676213,0.9999974728440172,0.9999970883747318,0.9999973534694366,0.999997833710593,0.9999968254189388,0.9999973655089298,0.9999176242781596,-0.5169871210907028,0.5169871210907028,0.9999976350602966,0.9999972968247771,0.9999974774282545,0.9999970511494429,0.9999971548853392,0.9999970959469846,0.9999972244325647,0.9999950119101982,0.9999975155162624,0.9999971575402137,0.9999973190753696,0.9999939553597833
"Household,number of households",0.999999857301339,0.9999998503855076,0.9999999420775224,0.9999999788486451,0.9999326973967976,0.9999995709736716,0.9984114377835233,0.9999974400174023,1.0,0.999927388254171,0.9999996295427693,0.99992472473487,0.9999999623127216,0.9999971986438083,0.999999174832325,0.9796403756829407,0.9999999915527725,0.9999999798658625,0.9999999696280975,0.999999781865556,0.9999986368852484,0.9999998465905561,0.9999994846469425,0.9999999790153512,0.9999318733273421,-0.5174335299413512,0.5174335299413512,0.9999999507777341,0.9999999700375819,0.9999999804793038,0.9999995768277676,0.999999916746918,0.9999998892464625,0.9999998691168364,0.9999984599492374,0.9999998025822934,0.9999998830617617,0.9999999098480498,0.9999975091552097
"Housing,dwelling tenure status,Own house rent lot",0.9999286441826132,0.9999285937359038,0.9999296896639189,0.9999265771495816,0.9998355170474432,0.9999317178047119,0.9983681361402797,0.9999102228169698,0.999927388254171,1.0,0.9999303358630881,0.9997919048043059,0.9999274571568267,0.9999261762110535,0.9999265812302914,0.9805263731214102,0.9999273559049893,0.9999277665778535,0.9999269603930906,0.9999288454926856,0.9999181511912886,0.9999257725340894,0.9999272975123938,0.9999278425521475,0.9999128433950939,-0.5182032340200425,0.5182032340200425,0.99992801064955,0.9999280757175931,0.9999266357184613,0.9999282824335204,0.999928030679038,0.9999289596588539,0.9999263840281593,0.9999366038498035,0.9999274834224896,0.9999277673007697,0.9999270983087636,0.9999319316118661
