,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,day_night_daylight,day_night_nighttime
time_epoch_After Midnight,1.0,-0.19603200483739763,-0.11803570529941927,-0.09505758494469486,-0.1787614426518881,-0.1234165628256239,-0.11253588991683991,-0.023706896551724286,-0.0389690935395472,0.06796039538288552,0.0661018375823393,0.056210490883641856,-0.02735550684577559,-0.2876779808912309,0.287677980891231
time_epoch_After Work-Hours,-0.19603200483739763,1.0,-0.251634188480624,-0.20264832734984395,-0.3810922333985918,-0.26310535911921995,0.04321349761030888,-0.07132414461717834,0.00833969436497071,-0.05354719358779912,-0.04415897241109277,0.14994879014276993,-0.058317783997235854,0.08031122829462853,-0.08031122829462853
time_epoch_Afternoon,-0.11803570529941927,-0.251634188480624,1.0,-0.122019556277695,-0.22946503348085998,-0.15842222629643404,0.0942100290482103,0.10623213476947639,-0.1373583143962548,0.05378254348272379,-0.05036308522018926,-0.05986104542868698,0.04494665749754925,0.410304969931111,-0.41030496993111093
time_epoch_Early Morning,-0.09505758494469486,-0.20264832734984395,-0.122019556277695,1.0,-0.18479486233943385,-0.12758202439762162,-0.05980347105028699,-0.02865706604950362,0.05097987520489885,-0.11343788186299786,-0.04252974738745467,0.09418758680877079,0.06653832710755352,-0.0019437089437581042,0.0019437089437580413
time_epoch_Evening,-0.1787614426518881,-0.3810922333985918,-0.22946503348085998,-0.18479486233943385,1.0,-0.2399255856440741,0.002523559810757978,0.03784999933700715,0.01554420646312834,0.12506722121847988,-0.008121385175430417,-0.08689131906029558,-0.05730410380274437,-0.5592548233558726,0.5592548233558726
time_epoch_Morning,-0.1234165628256239,-0.26310535911921995,-0.15842222629643404,-0.12758202439762162,-0.2399255856440741,1.0,-0.01240430220096593,-0.014855697377158389,0.09193524543354889,-0.10017046724738893,0.09878857019625154,-0.1506794191322189,0.07179887458222947,0.4290094168600532,-0.42900941686005317
day_Friday,-0.11253588991683991,0.04321349761030888,0.0942100290482103,-0.05980347105028699,0.002523559810757978,-0.01240430220096593,1.0,-0.11253588991683991,-0.17014250639328268,-0.13429578495141664,-0.16701371179861285,-0.17325382910148465,-0.1606964632262116,0.13266342164218495,-0.13266342164218486
day_Monday,-0.023706896551724286,-0.07132414461717834,0.10623213476947639,-0.02865706604950362,0.03784999933700715,-0.014855697377158389,-0.11253588991683991,1.0,-0.1390248742491952,-0.10973421639805396,-0.1364683098474108,-0.1415671622254677,-0.13130643285972407,0.05393962141710596,-0.053939621417105905
day_Saturday,-0.0389690935395472,0.00833969436497071,-0.1373583143962548,0.05097987520489885,0.01554420646312834,0.09193524543354889,-0.17014250639328268,-0.1390248742491952,1.0,-0.16590666878686047,-0.2063258245689581,-0.21403475657254376,-0.1985216059412128,-0.10104644524046576,0.10104644524046567
day_Sunday,0.06796039538288552,-0.05354719358779912,0.05378254348272379,-0.11343788186299786,0.12506722121847988,-0.10017046724738893,-0.13429578495141664,-0.10973421639805396,-0.16590666878686047,1.0,-0.16285576810646138,-0.16894053255777233,-0.15669579263200253,-0.07975732794691247,0.07975732794691248
day_Thursday,0.0661018375823393,-0.04415897241109277,-0.05036308522018926,-0.04252974738745467,-0.008121385175430417,0.09878857019625154,-0.16701371179861285,-0.1364683098474108,-0.2063258245689581,-0.16285576810646138,1.0,-0.21009881602698935,-0.19487094073848932,0.023718935565493985,-0.023718935565493964
day_Tuesday,0.056210490883641856,0.14994879014276993,-0.05986104542868698,0.09418758680877079,-0.08689131906029558,-0.1506794191322189,-0.17325382910148465,-0.1415671622254677,-0.21403475657254376,-0.16894053255777233,-0.21009881602698935,1.0,-0.20215188501566062,-0.00289472280954947,0.0028947228095493856
day_Wednesday,-0.02735550684577559,-0.058317783997235854,0.04494665749754925,0.06653832710755352,-0.05730410380274437,0.07179887458222947,-0.1606964632262116,-0.13130643285972407,-0.1985216059412128,-0.15669579263200253,-0.19487094073848932,-0.20215188501566062,1.0,-0.006085806194501957,0.006085806194502002
day_night_daylight,-0.2876779808912309,0.08031122829462853,0.410304969931111,-0.0019437089437581042,-0.5592548233558726,0.4290094168600532,0.13266342164218495,0.05393962141710596,-0.10104644524046576,-0.07975732794691247,0.023718935565493985,-0.00289472280954947,-0.006085806194501957,1.0,-1.0
day_night_nighttime,0.287677980891231,-0.08031122829462853,-0.41030496993111093,0.0019437089437580413,0.5592548233558726,-0.42900941686005317,-0.13266342164218486,-0.053939621417105905,0.10104644524046567,0.07975732794691248,-0.023718935565493964,0.0028947228095493856,0.006085806194502002,-1.0,1.0
