,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Weather_Clear,Weather_Cloudy,Weather_Rainy
Temp (deg celsius),1.0,0.8546107185607078,0.13193764961916224,-0.2832988741384216,-0.7843165063838199,-0.1437118094645919,-0.19261433077569984,0.32395966938740695,-0.3139733576890205,-0.003399425703013952
Feels Like (deg celsius),0.8546107185607078,1.0,0.2033392207080911,-0.17172623323993036,-0.8555717175273566,-0.06180560985877883,-0.27777382471601764,0.22448186535731932,-0.2391358910793308,0.07472669598278565
Wind (km/h),0.13193764961916224,0.2033392207080911,1.0,-0.016177346620116318,-0.200725117716277,0.049910580394975736,-0.10255813253829457,0.03304144745328616,-0.04412518980849286,0.042894069087785834
Cloud,-0.2832988741384216,-0.17172623323993036,-0.016177346620116318,1.0,0.16175307497502142,0.33532987402313685,-0.1821012431269185,-0.48753032701595506,0.43074479870275834,0.15431150150387626
Humidity,-0.7843165063838199,-0.8555717175273566,-0.200725117716277,0.16175307497502142,1.0,0.14006671564943635,0.3263537890759662,-0.08372122061404193,0.06658111043386755,0.05289827350722027
Precip (mm),-0.1437118094645919,-0.06180560985877883,0.049910580394975736,0.33532987402313685,0.14006671564943635,1.0,0.0117501259210089,-0.10967496712327754,0.08767269006566719,0.06768436701998694
Pressure (mb),-0.19261433077569984,-0.27777382471601764,-0.10255813253829457,-0.1821012431269185,0.3263537890759662,0.0117501259210089,1.0,0.1191887827610555,-0.11240609035111028,-0.012357572808484528
Weather_Clear,0.32395966938740695,0.22448186535731932,0.03304144745328616,-0.48753032701595506,-0.08372122061404193,-0.10967496712327754,0.1191887827610555,1.0,-0.9601097330974648,-0.042880276943775164
Weather_Cloudy,-0.3139733576890205,-0.2391358910793308,-0.04412518980849286,0.43074479870275834,0.06658111043386755,0.08767269006566719,-0.11240609035111028,-0.9601097330974648,1.0,-0.2381965336701668
Weather_Rainy,-0.003399425703013952,0.07472669598278565,0.042894069087785834,0.15431150150387626,0.05289827350722027,0.06768436701998694,-0.012357572808484528,-0.042880276943775164,-0.2381965336701668,1.0
