,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal,php-usd-rate,PSE-index-Close,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,Weather_Clear,Weather_Cloudy,Weather_Rainy,day_night_daylight,day_night_nighttime,placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population,crime_label
Temp (deg celsius),1.0,0.7993105195289758,-0.11049631703014628,-0.24928107635379193,-0.7338316266778517,-0.2025400643685291,-0.10904333311126309,0.07145268433843832,-0.07773059822684487,-0.13476670792183557,-0.14080381913751094,-0.24449116820220762,-0.059077528125142026,0.08795666173831398,-0.10981212271556265,-0.07120269109046748,-0.0402680934035485,-0.08015910385866802,-0.04551314554868935,0.053587539683183895,-0.11452481036840258,-0.147937810216291,-0.2074412384010665,-0.14080381913751094,-0.0026797414517359857,0.05136534350455478,-0.13957572961507042,,,,,0.1626089544741943,0.17827343723765443,,,0.1377248568955674,-0.16088431404795217,,-0.09949546132935858,,0.030503599046909635,-0.10283851546137034,0.05401757505180716,0.07927554356067457,-0.05237553477665747,,-0.002121027276401127,-0.09333989716166287,-0.16209241911557212,-0.13955516987956748,-0.13949893329094995,-0.13951388623879346,-0.1395276255408403,-0.13928097270047154,-0.13955735206108075,-0.1500744469836846,-0.14016307184097831,-0.13947459792576486,-0.1393661395320021,-0.13987973105882281,-0.13754501727097115,-0.13939065433564904,-0.1394728607597431,-0.13940756082881295,-0.1272571738798954,-0.13950471851248694,-0.1395029331510135,-0.13953731460438468,-0.1397765656199792,-0.13894292005961145,-0.13971431143268456,-0.13884360486715694,-0.13940471937813706,-0.14081892419525713,0.34893822170330324,0.3668505338857467,0.35406517768087736,0.338916869951349,0.35936198686631365,-0.2935852698009405,-0.21221442853376754,-0.07447819877402913,-0.5059766186915314,0.17224844316964266,0.44696177697036543,-0.12267713936763165,-0.07515886103155958,0.25711378879490826,-0.0038814435274514285,0.14469954051504996,0.18060487456438767,-0.036427708523354876,0.013023518283606324,-0.21419315510860232,-0.087945401244852,0.14276028466604088,-0.06958733559111546,-0.07905010983191299,0.636510825539851,-0.636510825539851,0.1692359793750185,-0.1692359793750185,-0.1395543693872274,-0.13956057670536734,-0.139506062879191,-0.13978885806039576,-0.13941318541725833,-0.13963590524851047,-0.13942228943334598,-0.13997019812773628,-0.1393272846126738,-0.1396128656246951,-0.13968798758110687,-0.13916309621858944,0.20293944134476158
Feels Like (deg celsius),0.7993105195289758,1.0,-0.049846094610041455,-0.03828365499321612,-0.7930967325630628,-0.05676712543391033,-0.3008955735139483,0.10206281039719213,-0.09365015357335489,-0.08274185001685318,-0.11351092030866393,-0.12017596233769884,-0.0664356512818245,0.1417198602133292,-0.007219733671117846,-0.12017596233769876,-0.0421415011576917,-0.09391330842631326,-0.07276955622415864,0.028628193185510235,-0.12017596233769873,-0.14830647535841363,-0.15787617745389665,-0.11351092030866393,0.011324229292754612,0.10997201466899136,-0.07194854878412339,,,,,0.045222966629871374,0.18211268931028543,,,0.029140151032628413,-0.11560518934255856,,-0.12561869785946828,,0.1458265622392853,-0.07247137016192112,0.002448100615352957,0.18472504979519058,-0.10829961806411786,,0.00024924344813391156,0.08721652773101515,-0.24939636806812013,-0.11790543299974665,-0.11834877092789617,-0.11806267420616041,-0.11807482653414644,-0.1174651581325203,-0.11817017380886191,-0.15576243226384592,-0.11797331854683947,-0.11800001338388096,-0.11392917799232287,-0.11818102105526265,-0.11737339644159014,-0.11800607590185083,-0.11817330235425144,-0.11852355457007793,-0.1349636308570339,-0.11805660620424731,-0.11803604838704142,-0.11809830751231691,-0.11824117166196639,-0.11787873103505259,-0.11852322284805027,-0.11770107058454647,-0.11797807520287387,-0.11764984414940864,0.13609552510520237,0.17629773367395757,0.14165641185362987,0.14295988086314257,0.16186854320681346,-0.017693095449500738,0.023726393579262234,0.09765938125301646,-0.41401160340143567,0.35086616403477106,0.5490281483111088,-0.29130304148772446,-0.11471197536664308,0.023169039923987025,-0.022577506086078884,0.11510229132078614,0.04770773986337578,0.04982645435132446,0.04069767687022441,-0.15129582626070398,-0.09105245467848709,-0.050129452546795884,0.0063086991198181026,0.05619987499592853,0.5233177935117344,-0.5233177935117344,0.16360180672356084,-0.1636018067235608,-0.11812202387765806,-0.1179601762293302,-0.118076238232916,-0.11845192922333429,-0.11795440451717752,-0.11813602720766493,-0.11804503840311632,-0.11833619920516567,-0.11798111332519172,-0.11823162268092174,-0.11812310047630889,-0.11778620477810497,0.07717908867778046
Wind (km/h),-0.11049631703014628,-0.049846094610041455,1.0,-0.23377808653035245,-0.04103693804264812,-0.1522444285464238,-0.17223313817078553,-0.05311375098407096,0.0970565937516638,-0.13445663871539237,0.035069627362085305,-0.044387298727714755,-0.05496921564771552,0.15775235677696064,0.009475269163544277,0.12359835641042877,-0.048944943527413354,-0.038416521259711504,-0.014186403027647742,-0.018617095084046797,0.03960552884135686,0.07162209205473773,-0.056312482010005424,0.035069627362085305,-0.08802336500909368,-0.02470338031924034,0.20623694379100083,,,,,-0.10759642199548937,-0.06839008926804975,,,-0.04728988136538698,-0.02316726511334622,,-0.023925776991235357,,0.12860670441878988,-0.10201867830330492,0.07136270043087249,-0.07833188567105326,-0.04193900620122322,,0.04215048993377785,-0.037441403983259756,0.1442729380014671,0.04364742429098633,0.043265449386979495,0.0434267971772606,0.04344624494742787,0.043075454144637496,0.04343566831067545,0.02112658665299434,0.042675868038039265,0.04348968638725401,0.037150346295644086,0.043162573744013014,0.04533367262783811,0.043555741436698325,0.04196133642061,0.04337549996474354,0.1001108409258935,0.04349007528037859,0.043459604964627294,0.04340285000857927,0.04346371735285173,0.04351563272307727,0.04315977634889399,0.04324212209014145,0.04343995736988517,0.04657451496443057,-0.1381467953939343,-0.14291898931188896,-0.14271165727849022,-0.15200579038472015,-0.1555137540381202,-0.003085475845878738,-0.02395297683026454,-0.03452206279405398,-0.10293957540102501,0.1706031881538144,0.10269188017222895,-0.16470219629088279,0.008038424948776171,-0.009045735959404215,0.15774696335648059,-0.03579415116505745,0.030632624579013303,-0.16773665376650124,0.11583748207006837,-0.1051739380164109,0.040658638342397045,0.11623446480574202,-0.06608430814345938,-0.049570734863055674,0.11323209758307431,-0.11323209758307431,0.08297775782071774,-0.0829777578207177,0.043572688942443094,0.04363182169316711,0.043398503723737825,0.04346423544553965,0.0435854224954044,0.04295717128884549,0.043258045896348865,0.04283071993322427,0.0436415635214101,0.043286553961840044,0.04342643350500836,0.04310703936899324,0.10525884980640567
Cloud,-0.24928107635379193,-0.03828365499321612,-0.23377808653035245,1.0,0.22787699164765157,0.39068947082188193,-0.05263726272252994,0.0666623348451215,0.03870558722890384,0.07728592430051748,0.017155747938082735,0.08692043163108687,-0.014790244398966028,0.09878888887163759,0.16857845064770283,0.03283203033648165,-0.01717990676411587,-0.055648056336974276,-0.027907612941971246,0.00535477613426989,-0.09614800351988491,-0.08718642000105527,0.058329786143283,0.017155747938082735,-0.06562724507425215,0.15019660811159613,-0.07535946411603768,,,,,-0.17365548633028702,-0.09652053670604012,,,-0.15692644574771267,0.12746724415605068,,-0.008925893601760722,,0.05781228050414916,0.02338252245297851,-0.018979885378840804,0.019034011885957925,0.12988282253017192,,-0.04820352913979904,0.20598672026480153,-0.25494907029001435,-0.07472032751816517,-0.07540730386190596,-0.0749578110493659,-0.07501268172583118,-0.0726939826328935,-0.07502256210394366,-0.09798709370054953,-0.07450968224640951,-0.07490282410004,-0.07037403962264958,-0.07459307145200865,-0.07802682119234428,-0.07497438574827817,-0.07471357753634827,-0.07513831357650265,-0.0520811192432657,-0.0749968517016865,-0.07492863044034064,-0.07499328809494184,-0.07479002600905042,-0.0754704075480467,-0.07519878639089489,-0.07518256969373814,-0.0749961201384448,-0.0699692633141287,-0.2944945294608479,-0.2496362313130137,-0.2875420748929259,-0.27489417711914055,-0.2716845834087678,0.38363926154670713,0.388000557168782,0.3111132536157475,-0.06627105930958313,0.17148084683761428,-0.22934325751935625,0.03500676726088047,0.20956616528681984,-0.18766792814217417,0.0715159224035606,-0.17392723182760822,-0.17350048255202308,0.15570563808151658,0.03503461321714216,0.08520456068042224,0.0033354641010162824,-0.4884979017870982,0.23119873780228023,0.28134516759901723,-0.2404277070076631,0.2404277070076631,-0.0683394419295078,0.0683394419295078,-0.07498939435515575,-0.07494129337102122,-0.07499484810849527,-0.07533960346361347,-0.07482420381273708,-0.07485036608707997,-0.0749152776548393,-0.07450604239676396,-0.07521454510152492,-0.07497333833737821,-0.07485807361270042,-0.07449548564491867,-0.09055502159047245
Humidity,-0.7338316266778517,-0.7930967325630628,-0.04103693804264812,0.22787699164765157,1.0,0.20176498247073507,0.23789923928805068,-0.13739357349374928,0.12260223229250508,0.10614311388313302,0.10864810953583723,0.17866254226311726,0.09249517689752332,-0.14893697129536318,0.1371760817471502,0.07906397568332112,0.04649809567467327,0.1004467201015178,0.046816229167526556,-0.012734613590180778,0.04977027963043988,0.05709205348371503,0.17683562662713515,0.10864810953583723,-0.06729476496624222,-0.039925388591107634,0.05042687105154265,,,,,-0.09509309084495894,-0.23514948188068566,,,-0.0749016356760574,0.133743401069259,,0.12704433988909553,,-0.0570980783491993,0.08457626591636515,-0.01634751607892919,-0.05026444453047582,0.0954303203886655,,0.000625834186645842,-0.12877476260798817,0.16396873097251066,0.05637387825674383,0.056631600254952,0.05651275737181156,0.056543406996874705,0.058972140481841726,0.05662895105395722,0.08123473740494486,0.05696077513399679,0.056446045727784944,0.053958177340452725,0.0570393971088347,0.058513122796349785,0.056477252824226415,0.05647416183722988,0.0567489541045073,0.07137189765305155,0.05651965975467286,0.05654912667291009,0.056592947062478825,0.056716286315537434,0.056327671947096154,0.05677788193309973,0.05631240697091424,0.05644356861876767,0.060087004806724305,-0.07827296899377939,-0.12752391524086448,-0.08405548769371983,-0.08071073177458114,-0.09638958421437206,-0.0011966952412169884,0.008490683947761694,-0.08003220623322482,0.4370038727878421,-0.35598339719476757,-0.5910198341382015,0.35458702451688867,0.15537439689040763,-0.1252126812969904,-0.027772696250066755,-0.047213792837547244,-0.061044114190586043,0.03436060070399555,-0.121544908439973,0.1392702918402986,0.07359541526901628,-0.03374824021936656,0.004371815941005092,0.03763937625802498,-0.6187822805521279,0.6187822805521279,-0.14950365555673442,0.14950365555673445,0.05657360814331913,0.05649605208442978,0.05654600742608617,0.05705951227445955,0.05644805267771365,0.056611318728741394,0.05649501210956643,0.057256946139699456,0.05644329600070417,0.056814802836816086,0.05671795538767917,0.05678251034117316,-0.048471181198878145
Precip (mm),-0.2025400643685291,-0.05676712543391033,-0.1522444285464238,0.39068947082188193,0.20176498247073507,1.0,-0.0023445427856840905,-0.027472429077495298,-0.03973468507336527,0.09665059308912215,-0.046808424456080855,0.3129772778521643,0.09262846292760527,-0.013982798407221273,0.11826676520529855,-0.05996964664110736,-0.04671457777921454,-0.0564764221453736,-0.10917065766420617,-0.10157704703154789,-0.08068892022406696,0.022379051079703297,0.14228261566177938,-0.046808424456080855,-0.15379385088871328,0.050817502231262975,-0.09696129995683067,,,,,-0.06952121679994852,-0.03973468507336525,,,-0.0695212167999485,-0.03778497771839007,,-0.08447221326407665,,-0.12041447850517577,0.1827102936396342,-0.06600397485370411,0.12191857379174374,-0.0770656828343178,,-0.08447221326407665,0.22951128297676293,-0.21624846914131007,0.00019567600283982746,-0.000606561134141575,-0.0002882662577668502,-0.00030140043716531605,-0.0004788084480652011,-0.001004980827273938,0.013583659687652162,-0.0004411281336991319,-0.00020232473055275047,-0.0022630305271988324,-4.7972210296209965e-05,0.00010173250678886934,-0.0003963878797119685,0.000430342622113101,-0.0004636679300973401,-0.037395457061395805,-0.00032463435877612195,-0.00026793379644397385,-0.00026674987132150143,-0.00041543001841243114,-0.000837255555014899,-0.0004420524541605602,-0.0006616920929841996,-0.00026957975953065304,0.0031232887306847632,-0.10484713514175753,-0.06182366273615185,-0.1057240775819222,-0.0816584426103914,-0.07158903017134223,0.35120890995524495,0.3435538845631662,0.318612388598958,-0.04602774447024898,-0.07765728438594757,-0.13026631093150493,0.06510324334126968,0.3150906973233565,-0.134589970939419,0.012075601587493563,-0.07408390327924456,-0.032057572079416265,-0.006391699573063187,0.13347694955124315,0.08764803506159655,-0.12269978211093606,-0.08032313401761819,-0.27913119393888364,0.5438895557157261,-0.2490040191299957,0.2490040191299957,-0.12832585207701394,0.1283258520770139,-0.00031329222754512484,-0.0003315096359759471,-0.00018375732698333485,-0.0005752147564320094,-0.0002607898686454938,0.00016380363578411268,-0.00034774411021248745,0.0004167348626881481,-0.0005846728938015498,-0.00018710503261758002,-0.00012686995429520785,-9.105832323122398e-05,-0.1743777609126746
Pressure (mb),-0.10904333311126309,-0.3008955735139483,-0.17223313817078553,-0.05263726272252994,0.23789923928805068,-0.0023445427856840905,1.0,-0.003148786062096581,0.029749218908082787,0.09544097632749457,0.042283698548154086,-0.06940896970375689,0.09544097632749458,-0.1343709624716426,0.16154450283778526,0.0604115106680848,0.040377598941466544,0.04228369854815397,0.14100232907556445,0.04037759894146642,0.09286663076104511,0.07993576975135457,0.10546012411553642,0.042283698548154086,0.027642422433820302,-0.004483196193463073,0.07693397570735554,,,,,0.05205029040797138,-0.03417995363907385,,,0.05205029040797139,0.16390304213573975,,0.06789299276715047,,-0.0821584556914667,-0.006497544657247485,0.05625998469562394,-0.018151815936289534,0.2622023460762685,,0.1554316174839444,0.1162019382974382,-0.13106439844221496,0.008086890712347142,0.007950950409428769,0.007938570458573265,0.007971216094529634,0.009657285034732508,0.007718032202743681,0.04977953110553719,0.007953060077511126,0.007964473798835378,0.007198865953875651,0.00793874331013563,0.0042108617850500326,0.007989293881055853,0.008604543059737332,0.007518189215726529,-0.021453960650618727,0.008031030797308611,0.007953132015050131,0.008045269316649846,0.008407954562095218,0.007865821593653823,0.008316484517709867,0.008094593051398343,0.007964472934352701,0.0049083992736732255,-0.026529044423364758,-0.0019624602762603693,-0.01684408584364986,-0.038490189285624074,-0.029426799914628644,0.001182829703203208,-0.16724758876169138,-0.13570489901167584,0.23306708534709397,-0.3516320214406185,-0.09917610122730688,0.017446891045559833,0.03524624453648456,0.1852762459033465,-0.018151815936289544,-0.06735087979516971,0.03873780803880665,-0.026946843972447246,-0.017904002047120355,-0.13684712011292197,0.28934852945714784,0.0009356958463479836,0.10630823265024276,-0.16803969113035058,-0.03655048805089323,0.03655048805089323,-0.04323954347189766,0.04323954347189767,0.007810974753550657,0.007925808934080238,0.008032183757487177,0.008018385062916918,0.007830827108326615,0.00810652288677183,0.008087881655562824,0.007820028753882807,0.00797746774073473,0.00786551977147243,0.00801808685036843,0.007619461627405317,0.09897560450933861
Bank,0.07145268433843832,0.10206281039719213,-0.05311375098407096,0.0666623348451215,-0.13739357349374928,-0.027472429077495298,-0.003148786062096581,1.0,-0.014213381090374023,-0.054629564779757465,-0.02020202020202018,-0.02886300396738788,0.36980013081681956,-0.02486823656509969,0.26174644017824106,0.33553242112088505,-0.04168702663204812,-0.02020202020202017,0.4287637855957336,-0.04168702663204811,-0.028863003967387946,0.1792094643595368,0.30521100868157836,-0.02020202020202018,0.27741679285882626,0.26174644017824106,0.1650734277573532,,,,,-0.024868236565099674,-0.014213381090374018,,,0.3937470789474115,0.3937470789474114,,-0.03243745600673012,,0.3543178312491847,0.4846116845975598,0.5208495668465808,0.34033059783821357,0.26492319477853854,,0.29518084966124425,0.20274975491518543,-0.10233309973154166,0.1839093809673435,0.18436529204853686,0.18424626481945952,0.18432933299921572,0.1841333807919728,0.18475502734308463,0.19158572008354033,0.18316788826026947,0.1843028771053658,0.18456361364139248,0.18422524286577,0.18347400934105165,0.18441065878665724,0.18450405175357998,0.18438270927266553,0.15751683774942465,0.18432967525040267,0.1842860069189567,0.18433152434187955,0.18436700154241056,0.1842958187076654,0.18445208610263472,0.18453199599137088,0.18439764806265868,0.1779304329538704,-0.09485211777224327,-0.061373896509231904,-0.09052324960370241,-0.07512330176752006,-0.06634891286495884,0.18701250603606517,0.21649210620211978,0.22178990824274597,0.0788580764322604,-0.07718164261666077,0.17843370729543767,-0.05935998799503729,-0.05935998799503731,-0.04969039949999532,-0.059359987995037326,-0.06841751165065935,-0.05462956477975744,0.13296797089307796,0.1784337072954377,-0.06394141137403901,-0.04711689951601468,-0.054629564779757465,0.07062685846263643,-0.03878666987155389,0.03943122959434392,-0.03943122959434392,-0.10229744236669225,0.10229744236669223,0.18421238152141417,0.18433600762612773,0.18430547143530604,0.18396811174281952,0.184144671141311,0.1842781086586957,0.18428383106151844,0.18332173515270772,0.1844749543606878,0.18395419421275014,0.18424847134978672,0.18384349070395062,0.05661710036252603
Bar,-0.07773059822684487,-0.09365015357335489,0.0970565937516638,0.03870558722890384,0.12260223229250508,-0.03973468507336527,0.029749218908082787,-0.014213381090374023,1.0,0.26017745423519767,-0.014213381090374008,-0.02030692330267236,0.26017745423519767,-0.017496355305594173,0.18415494421345532,-0.020306923302672367,0.3409545424246472,-0.014213381090374,0.30166206257996897,-0.029329423004270605,-0.02030692330267238,-0.07931155389125313,0.21473497877875164,-0.014213381090374008,0.19518001458970635,-0.054302098934736844,0.11613945106217427,,,,,-0.01749635530559417,-0.009999999999999992,,,-0.017496355305594173,-0.017496355305594166,,-0.02282177322938204,,-0.04011477785428777,-0.029329423004270612,-0.027288841145490773,-0.04176345347922791,-0.02513123449750179,,0.43817804600413435,-0.08741759036804184,0.05384304823229097,0.03599183015220182,0.03623153146562393,0.03621322540260475,0.03636405636531956,0.036216397225374834,0.03677930830568638,0.03541992756583649,0.03589950904477743,0.03624035187447962,0.03898559261250412,0.03631604926815637,0.03661997382686231,0.03628688919927404,0.03604976744668016,0.03570131248759967,-0.03454220843614066,0.03628047132078478,0.03627599889515166,0.03630128834958304,0.03644000757341718,0.036044279100658896,0.03625081896661819,0.036079718406978004,0.03633177001475974,0.03111518620576853,0.1370680339981504,0.1421000858179782,0.13373988037293222,0.1351173543944869,0.13423385908178492,-0.12579891349455774,-0.14252471268364797,-0.09954324547187064,-0.058878405775519164,-0.05430209893473682,-0.03496029493900502,0.23944379994757276,-0.04176345347922809,-0.03496029493900512,-0.041763453479228094,-0.04813598623412329,-0.038435305739290666,-0.04338609156373119,-0.034960294939005175,0.2222875720904846,-0.03314967720659,-0.03843530573929071,0.04969039949999556,-0.027288841145490777,0.1315191898442856,-0.1315191898442856,0.05123475382979805,-0.05123475382979805,0.03620065424367358,0.03637845886891062,0.036272159464768215,0.03619438106656143,0.03606581893151179,0.03646935142199829,0.03616977680453641,0.035767607289945505,0.03638317341419045,0.03598438452749327,0.03625275358370607,0.035731018728035836,0.12793292575072368
Beach,-0.13476670792183557,-0.08274185001685318,-0.13445663871539237,0.07728592430051748,0.10614311388313302,0.09665059308912215,0.09544097632749457,-0.054629564779757465,0.26017745423519767,1.0,0.3698001308168196,0.07354737977377687,0.20541958041958025,-0.06724777654937651,0.4257999473757533,-0.07805028057625345,0.32517846355561025,-0.05462956477975749,0.4665231983159815,-0.0032517846355560828,-0.0780502805762536,-0.0012025103836168065,0.5163158553790476,0.3698001308168196,0.0944938714499082,0.07329343356467881,0.08761944109751582,,,,,0.28106121993713795,0.2601774542351971,,,0.10690672169388081,0.10690672169388071,,0.048581270672347084,,0.10250586479707965,0.1062249647614992,0.12793725247193702,0.17204355926634612,0.02848245342935565,,0.3211761783338514,0.053970762434709794,-0.1137356570339639,0.08779782838404802,0.08779759830517665,0.0876366361960359,0.08768957644371637,0.08753261431304066,0.08736340114832239,0.09696408441997428,0.08734633945343329,0.08766982821861734,0.0893955717546623,0.08799857943921024,0.09063036151962556,0.0875887168097298,0.08831438721782499,0.08730333818184283,-0.0038297317562116656,0.087634438134098,0.08768555338652724,0.08774220536188226,0.08767413883108582,0.08689434254490164,0.08754694233263609,0.087604434809854,0.08767103147644904,0.08662936105182018,-0.03719382963845534,-0.003433019741523752,-0.03345754371018025,-0.04049248290426838,-0.030298905267151843,0.04661082515246287,-0.02631257822115521,0.004542237321394029,0.11181141747923665,-0.06770917195975092,-0.0394655973692935,0.005762224473035615,0.005762224473035484,-0.039465597369293476,0.0057622244730354735,0.041946071047111365,-0.05944055944055954,0.07616249083560642,-0.13437096247164254,-0.014865396072482053,0.07056653419905581,0.028846153846153764,-0.031586240374946555,0.011525878601075448,-0.04678287030807271,0.04678287030807271,-0.24020197857114023,0.2402019785711402,0.08748334742764872,0.08757802236737659,0.08766439403716134,0.08748420257823573,0.08749848916569608,0.0882079552890293,0.08770812938046213,0.08736787191996263,0.08755879034541451,0.0877935552894183,0.08761478193134983,0.08751347403597817,0.074960612807449
