,php-usd-rate,PSE-index-Close,Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates
php-usd-rate,1.0,-0.7706842271039162,-0.5488128928803474,-0.38989591642160193,-0.5390376157480554,-0.5088466620689315,-0.46465115531791595,0.8729045104578845,0.692940600694872,0.6765809473908918
PSE-index-Close,-0.7706842271039162,1.0,0.2798863596267048,0.09990748896935601,0.26219263477032373,0.24691977439553486,0.18809952087289594,-0.6950290308819516,-0.6362696347930603,-0.7241757465377423
Consumer Price Index  - all items,-0.5488128928803474,0.2798863596267048,1.0,0.971780106596022,0.999500882448239,0.9971932927755008,0.9939814708439733,-0.7434774962229462,-0.5988728477511729,-0.3313373866704586
Consumer Price Index -Alcoholic beverages and tobacco,-0.38989591642160193,0.09990748896935601,0.971780106596022,1.0,0.9753149826697567,0.9726530665582362,0.9834147721695731,-0.603965910522593,-0.48781356796373004,-0.16946218958923737
Consumer Price Index -transport,-0.5390376157480554,0.26219263477032373,0.999500882448239,0.9753149826697567,1.0,0.9971574198482869,0.9948668907066451,-0.7355160137134655,-0.5950506570017815,-0.3237371998585866
"Consumer Price Index -Housing, water, electricity, gas, and other fuels",-0.5088466620689315,0.24691977439553486,0.9971932927755008,0.9726530665582362,0.9971574198482869,1.0,0.99753395051221,-0.7049828596094068,-0.5565857216465486,-0.2899739690617042
Consumer Price Index -Restaurant and miscellaneous goods and services,-0.46465115531791595,0.18809952087289594,0.9939814708439733,0.9834147721695731,0.9948668907066451,0.99753395051221,1.0,-0.6737961693036266,-0.5268591772382615,-0.24603408673630933
inflation rate,0.8729045104578845,-0.6950290308819516,-0.7434774962229462,-0.603965910522593,-0.7355160137134655,-0.7049828596094068,-0.6737961693036266,1.0,0.876754458349288,0.7772623761026713
savings deposit interest rate,0.692940600694872,-0.6362696347930603,-0.5988728477511729,-0.48781356796373004,-0.5950506570017815,-0.5565857216465486,-0.5268591772382615,0.876754458349288,1.0,0.9224902825718446
bank lending rates,0.6765809473908918,-0.7241757465377423,-0.3313373866704586,-0.16946218958923737,-0.3237371998585866,-0.2899739690617042,-0.24603408673630933,0.7772623761026713,0.9224902825718446,1.0
