,Temp (deg celsius),Wind (km/h),Cloud,Humidity,Commercial Building,Highway,Highway Pedestrian,Highway Tertiary,php-usd-rate,PSE-index-Close,"Education,College undergraduate","Education,Postsecondary","Labor,Underemployed","Labor,Unemployed",Consumer Price Index -Alcoholic beverages and tobacco,savings deposit interest rate,time_epoch_After Work-Hours,time_epoch_Early Morning,day_Saturday,day_night_nighttime
Temp (deg celsius),1.0,-0.11049631703014628,-0.24928107635379193,-0.7338316266778517,-0.10981212271556265,-0.147937810216291,-0.2074412384010665,-0.13957572961507042,-0.09333989716166287,-0.16209241911557212,-0.13949893329094995,-0.14016307184097831,-0.1397765656199792,-0.13894292005961145,0.3668505338857467,-0.21221442853376754,0.17224844316964266,-0.12267713936763165,0.18060487456438767,-0.636510825539851
Wind (km/h),-0.11049631703014628,1.0,-0.23377808653035245,-0.04103693804264812,0.009475269163544277,0.07162209205473773,-0.056312482010005424,0.20623694379100083,-0.037441403983259756,0.1442729380014671,0.043265449386979495,0.042675868038039265,0.04346371735285173,0.04351563272307727,-0.14291898931188896,-0.02395297683026454,0.1706031881538144,-0.16470219629088279,0.030632624579013303,-0.11323209758307431
Cloud,-0.24928107635379193,-0.23377808653035245,1.0,0.22787699164765157,0.16857845064770283,-0.08718642000105527,0.058329786143283,-0.07535946411603768,0.20598672026480153,-0.25494907029001435,-0.07540730386190596,-0.07450968224640951,-0.07479002600905042,-0.0754704075480467,-0.2496362313130137,0.388000557168782,0.17148084683761428,0.03500676726088047,-0.17350048255202308,0.2404277070076631
Humidity,-0.7338316266778517,-0.04103693804264812,0.22787699164765157,1.0,0.1371760817471502,0.05709205348371503,0.17683562662713515,0.05042687105154265,-0.12877476260798817,0.16396873097251066,0.056631600254952,0.05696077513399679,0.056716286315537434,0.056327671947096154,-0.12752391524086448,0.008490683947761694,-0.35598339719476757,0.35458702451688867,-0.061044114190586043,0.6187822805521279
Commercial Building,-0.10981212271556265,0.009475269163544277,0.16857845064770283,0.1371760817471502,1.0,0.05425491355696451,0.5491274749130846,0.20092292232134937,0.19351408863868405,-0.14319783871226233,0.47423461250395355,0.4762481450656864,0.4743483074995848,0.4743167642316338,-0.1683016354838426,0.16118470754146177,-0.1259754738015608,0.17156726686401935,-0.1382104747219658,0.020862501802028307
Highway,-0.147937810216291,0.07162209205473773,-0.08718642000105527,0.05709205348371503,0.05425491355696451,1.0,0.05577022777958911,0.38644691047283364,0.0998627580552341,-0.05133112374652491,0.2759807408065949,0.2737785652661782,0.276172481845321,0.2751395501973284,-0.038966446496852325,0.09135790605455875,-0.23670506534144664,-0.04529674381268547,-0.12265605912891106,0.012119340868549792
Highway Pedestrian,-0.2074412384010665,-0.056312482010005424,0.058329786143283,0.17683562662713515,0.5491274749130846,0.05577022777958911,1.0,0.1745847790289666,0.2218109298773366,-0.17921062260283777,0.42851548778805626,0.4279661307636798,0.4285049766761559,0.427944870384698,-0.06044181451661372,0.187171497296456,-0.12949390954568846,0.24202995692000334,0.052778954105413715,0.03189959010566039
Highway Tertiary,-0.13957572961507042,0.20623694379100083,-0.07535946411603768,0.05042687105154265,0.20092292232134937,0.38644691047283364,0.1745847790289666,1.0,0.10230514494676471,-0.11103695979529549,0.34662640400242806,0.3443802174899437,0.3471187035928124,0.34658804967537377,-0.057325483497179176,0.1179098217915765,0.05767669770165803,-0.19067028966046695,-0.03196925553558012,-0.051847935899644856
php-usd-rate,-0.09333989716166287,-0.037441403983259756,0.20598672026480153,-0.12877476260798817,0.19351408863868405,0.0998627580552341,0.2218109298773366,0.10230514494676471,1.0,-0.7706842271039162,0.06425057199618156,0.06522932747326987,0.0652219192588039,0.06361087205480778,-0.38989591642160193,0.692940600694872,0.20991558531828683,-0.0728460834519778,-0.08728117399265581,0.02800495245138725
PSE-index-Close,-0.16209241911557212,0.1442729380014671,-0.25494907029001435,0.16396873097251066,-0.14319783871226233,-0.05133112374652491,-0.17921062260283777,-0.11103695979529549,-0.7706842271039162,1.0,0.026859427707643362,0.02706673573297253,0.026181417195877833,0.027934099219926744,0.09990748896935601,-0.6362696347930603,-0.1928369144700527,-0.002074437354058048,0.02834127493191489,0.10510550447171356
"Education,College undergraduate",-0.13949893329094995,0.043265449386979495,-0.07540730386190596,0.056631600254952,0.47423461250395355,0.2759807408065949,0.42851548778805626,0.34662640400242806,0.06425057199618156,0.026859427707643362,1.0,0.9999670400679784,0.9999958073924491,0.9999888371581102,-0.051564307877775335,0.11444097772601414,-0.2150870592785449,0.09420188606262592,0.06673317332479232,-0.031991570580165066
"Education,Postsecondary",-0.14016307184097831,0.042675868038039265,-0.07450968224640951,0.05696077513399679,0.4762481450656864,0.2737785652661782,0.4279661307636798,0.3443802174899437,0.06522932747326987,0.02706673573297253,0.9999670400679784,1.0,0.9999630785020848,0.9999668938357597,-0.053189958753012835,0.1146969038914425,-0.21402084810980887,0.09475254048214833,0.06564583038948588,-0.03062427270238452
"Labor,Underemployed",-0.1397765656199792,0.04346371735285173,-0.07479002600905042,0.056716286315537434,0.4743483074995848,0.276172481845321,0.4285049766761559,0.3471187035928124,0.0652219192588039,0.026181417195877833,0.9999958073924491,0.9999630785020848,1.0,0.9999846331236553,-0.05235038315420704,0.11496491063515467,-0.21514736764081824,0.09400975298593514,0.06635921111314536,-0.03207587106508341
"Labor,Unemployed",-0.13894292005961145,0.04351563272307727,-0.0754704075480467,0.056327671947096154,0.4743167642316338,0.2751395501973284,0.427944870384698,0.34658804967537377,0.06361087205480778,0.027934099219926744,0.9999888371581102,0.9999668938357597,0.9999846331236553,1.0,-0.05186464388912934,0.11348955833079513,-0.21488632101217983,0.09420329351141242,0.06720314723363002,-0.03235120842899618
Consumer Price Index -Alcoholic beverages and tobacco,0.3668505338857467,-0.14291898931188896,-0.2496362313130137,-0.12752391524086448,-0.1683016354838426,-0.038966446496852325,-0.06044181451661372,-0.057325483497179176,-0.38989591642160193,0.09990748896935601,-0.051564307877775335,-0.053189958753012835,-0.05235038315420704,-0.05186464388912934,1.0,-0.48781356796373004,-0.06094459468456246,0.17377673353309228,0.13381624867481387,-0.10277723030508079
savings deposit interest rate,-0.21221442853376754,-0.02395297683026454,0.388000557168782,0.008490683947761694,0.16118470754146177,0.09135790605455875,0.187171497296456,0.1179098217915765,0.692940600694872,-0.6362696347930603,0.11444097772601414,0.1146969038914425,0.11496491063515467,0.11348955833079513,-0.48781356796373004,1.0,0.10635860786725738,-0.0038912541797135286,0.0064731233795148405,0.12256160466771032
time_epoch_After Work-Hours,0.17224844316964266,0.1706031881538144,0.17148084683761428,-0.35598339719476757,-0.1259754738015608,-0.23670506534144664,-0.12949390954568846,0.05767669770165803,0.20991558531828683,-0.1928369144700527,-0.2150870592785449,-0.21402084810980887,-0.21514736764081824,-0.21488632101217983,-0.06094459468456246,0.10635860786725738,1.0,-0.22678431826853124,0.002792130802463843,-0.07714273922145332
time_epoch_Early Morning,-0.12267713936763165,-0.16470219629088279,0.03500676726088047,0.35458702451688867,0.17156726686401935,-0.04529674381268547,0.24202995692000334,-0.19067028966046695,-0.0728460834519778,-0.002074437354058048,0.09420188606262592,0.09475254048214833,0.09400975298593514,0.09420329351141242,0.17377673353309228,-0.0038912541797135286,-0.22678431826853124,1.0,0.005762224473035537,0.02860778940983106
day_Saturday,0.18060487456438767,0.030632624579013303,-0.17350048255202308,-0.061044114190586043,-0.1382104747219658,-0.12265605912891106,0.052778954105413715,-0.03196925553558012,-0.08728117399265581,0.02834127493191489,0.06673317332479232,0.06564583038948588,0.06635921111314536,0.06720314723363002,0.13381624867481387,0.0064731233795148405,0.002792130802463843,0.005762224473035537,1.0,-0.07594621803258557
