,Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal
Bank,1.0,-0.014213381090374023,-0.054629564779757465,-0.02020202020202018,-0.02886300396738788,0.36980013081681956,-0.02486823656509969,0.26174644017824106,0.33553242112088505,-0.04168702663204812,-0.02020202020202017,0.4287637855957336,-0.04168702663204811,-0.028863003967387946,0.1792094643595368,0.30521100868157836,-0.02020202020202018,0.27741679285882626,0.26174644017824106,0.1650734277573532,,,,,-0.024868236565099674,-0.014213381090374018,,,0.3937470789474115,0.3937470789474114,,-0.03243745600673012,,0.3543178312491847,0.4846116845975598,0.5208495668465808,0.34033059783821357,0.26492319477853854,,0.29518084966124425
Bar,-0.014213381090374023,1.0,0.26017745423519767,-0.014213381090374008,-0.02030692330267236,0.26017745423519767,-0.017496355305594173,0.18415494421345532,-0.020306923302672367,0.3409545424246472,-0.014213381090374,0.30166206257996897,-0.029329423004270605,-0.02030692330267238,-0.07931155389125313,0.21473497877875164,-0.014213381090374008,0.19518001458970635,-0.054302098934736844,0.11613945106217427,,,,,-0.01749635530559417,-0.009999999999999992,,,-0.017496355305594173,-0.017496355305594166,,-0.02282177322938204,,-0.04011477785428777,-0.029329423004270612,-0.027288841145490773,-0.04176345347922791,-0.02513123449750179,,0.43817804600413435
Beach,-0.054629564779757465,0.26017745423519767,1.0,0.3698001308168196,0.07354737977377687,0.20541958041958025,-0.06724777654937651,0.4257999473757533,-0.07805028057625345,0.32517846355561025,-0.05462956477975749,0.4665231983159815,-0.0032517846355560828,-0.0780502805762536,-0.0012025103836168065,0.5163158553790476,0.3698001308168196,0.0944938714499082,0.07329343356467881,0.08761944109751582,,,,,0.28106121993713795,0.2601774542351971,,,0.10690672169388081,0.10690672169388071,,0.048581270672347084,,0.10250586479707965,0.1062249647614992,0.12793725247193702,0.17204355926634612,0.02848245342935565,,0.3211761783338514
Bridge,-0.02020202020202018,-0.014213381090374008,0.3698001308168196,1.0,0.3355324211208847,0.3698001308168196,-0.024868236565099688,0.26174644017824095,-0.0288630039673879,-0.04168702663204807,-0.020202020202020145,0.4287637855957338,0.22146232898275592,-0.02886300396738792,0.03324046516346245,0.3052110086815783,1.0,0.10229744236669226,0.26174644017824095,0.021345701865174923,,,,,-0.024868236565099698,-0.014213381090374008,,,-0.024868236565099695,-0.024868236565099698,,0.29518084966124436,,0.35431783124918476,0.2214623289827562,-0.038786669871553894,0.34033059783821373,0.2649231947785385,,-0.03243745600673015
Cemetery,-0.02886300396738788,-0.02030692330267236,0.07354737977377687,0.3355324211208847,1.0,0.5283403608238683,-0.03552971452670047,0.3739620327950552,-0.04123711340206187,-0.05955903434593589,-0.02886300396738786,0.10265811276274113,-0.05955903434593587,-0.04123711340206185,-0.1610573641885445,0.43606067444611035,0.3355324211208847,-0.10404202164530071,0.373962032795055,-0.17484948582890392,,,,,-0.03552971452670049,-0.02030692330267236,,,-0.03552971452670048,-0.03552971452670048,,-0.046343999860004,,0.06545954870282908,0.6923737742715054,-0.05541524041602909,0.4862366880835795,-0.05103380514422417,,-0.046343999860004016
Church,0.36980013081681956,0.26017745423519767,0.20541958041958025,0.3698001308168196,0.5283403608238683,1.0,-0.06724777654937655,0.496301250137968,0.22514504012380754,0.21570171415855455,-0.05462956477975736,0.6645015303744439,0.10622496476149951,-0.0780502805762534,-0.0012025103836168624,0.6708281558035921,0.3698001308168196,0.31305603213175653,0.496301250137968,0.14741378941406405,,,,,0.28106121993713795,-0.03843530573929039,,,0.45521571818039513,0.28106121993713784,,0.0485812706723471,,0.2736313580946834,0.763085461143834,0.4771713740845229,0.754028231042934,0.40370781817260704,,0.3211761783338513
Clinic,-0.02486823656509969,-0.017496355305594173,-0.06724777654937651,-0.024868236565099688,-0.03552971452670047,-0.06724777654937655,1.0,0.04406209005457118,-0.035529714526700534,-0.05131580057907854,-0.024868236565099712,-0.05799985306722506,0.38059218762816605,-0.03552971452670059,-0.13876631267201414,-0.08147883221029004,-0.024868236565099688,-0.08964214570007943,0.3222040335240484,0.20320171007804688,,,,,-0.030612244897959152,-0.01749635530559415,,,-0.030612244897959166,-0.030612244897959145,,-0.039929785312496247,,0.26737615479756055,-0.05131580057907852,-0.04774552605594221,-0.0730708220861222,0.20275286481682714,,-0.03992978531249623
Commercial Building,0.26174644017824106,0.18415494421345532,0.4257999473757533,0.26174644017824095,0.3739620327950552,0.496301250137968,0.04406209005457118,1.0,0.373962032795055,0.19042545137438205,0.26174644017824045,0.5314199555873554,0.3652706385454055,0.13184558848543618,0.05425491355696451,0.5491274749130846,0.26174644017824095,0.3035601473722731,0.3807134894091415,0.20092292232134937,,,,,0.18313306178930913,0.18415494421345538,,,0.18313306178930944,0.32220403352404764,,0.42027423759089505,,0.39710306372914944,0.45269323213091794,0.3166170341513568,0.503526921141145,0.3629254442079677,,0.42027423759089544
Community Center,0.33553242112088505,-0.020306923302672367,-0.07805028057625345,-0.0288630039673879,-0.04123711340206187,0.22514504012380754,-0.035529714526700534,0.373962032795055,1.0,-0.05955903434593587,-0.028863003967387876,0.2726330207797394,0.31640736996278496,-0.04123711340206187,0.2560399122997379,0.30340366203931185,-0.0288630039673879,0.27125241357524865,0.13184558848543618,0.23584349251340564,,,,,-0.03552971452670054,-0.020306923302672374,,,-0.035529714526700534,0.5625538133394242,,0.4217303987260379,,0.3593001895466398,0.12842416780842436,0.34436613687103845,0.20071398170891963,0.3785007214863299,,-0.04634399986000412
Convenience Store,-0.04168702663204812,0.3409545424246472,0.32517846355561025,-0.04168702663204807,-0.05955903434593589,0.21570171415855455,-0.05131580057907854,0.19042545137438205,-0.05955903434593587,1.0,-0.041687026632048,0.5165136059125237,-0.08602150537634382,-0.05955903434593583,0.06859195974828097,0.3424092082132313,-0.04168702663204807,0.12075153489593216,0.1030028577888703,0.2664844872478734,,,,,0.5965461817317874,0.34095454242464673,,,0.3805921876281657,0.16463819352454398,,-0.06693494407520832,,0.09454365710443559,0.1854838709677417,0.20866684094081583,0.28989252506004426,0.08138642537797414,,0.4400972572944948
