,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,day_night_daylight,day_night_nighttime
time_epoch_After Midnight,1.0,-0.31972210155418107,-0.20584064314505646,-0.24589655605369878,-0.24589655605369876,-0.2058406431450563,0.0725079588363469,0.006310905147545075,-0.09105600465374976,0.2407128678866467,-0.060456692392254235,-0.14382349305932396,-0.04354015710078087,-0.44767920061877586,0.44767920061877586
time_epoch_After Work-Hours,-0.31972210155418107,1.0,-0.1898417394565429,-0.22678431826853124,-0.22678431826853096,-0.18984173945654276,0.10517533600859401,-0.08015116742152643,0.002792130802463843,0.08770813847784885,-0.03826849293392764,-0.05498033086866226,-0.02191422497267444,0.07714273922145332,-0.07714273922145332
time_epoch_Afternoon,-0.20584064314505646,-0.1898417394565429,1.0,-0.14600626513052262,-0.1460062651305225,-0.12222222222222179,-0.056632733141535815,0.1570121597154752,0.05543976773305534,-0.0646359612493772,0.08181818181818173,-0.15727507665059243,-0.009482093118615274,0.45979496670952363,-0.45979496670952363
time_epoch_Early Morning,-0.24589655605369878,-0.22678431826853124,-0.14600626513052262,1.0,-0.1744186046511631,-0.14600626513052234,-0.17441860465116318,0.15518298413628878,0.005762224473035537,-0.181195301666741,-0.0566327331415358,0.25861169311746185,-0.04522520339438194,-0.02860778940983106,0.02860778940983106
time_epoch_Evening,-0.24589655605369876,-0.22678431826853096,-0.1460062651305225,-0.1744186046511631,1.0,-0.1460062651305224,0.06046511627906986,-0.20103250217655674,0.005762224473035544,-0.028689256097234012,0.03274079884745054,0.18419636261927538,-0.045225203394382005,-0.31754646244912527,0.31754646244912527
time_epoch_Morning,-0.2058406431450563,-0.18984173945654276,-0.12222222222222179,-0.14600626513052234,-0.1460062651305224,1.0,-0.05663273314153573,-0.005636333938504319,0.05543976773305501,-0.15167905573187232,0.08181818181818198,-0.07232971439545945,0.20333821909919317,0.45979496670952297,-0.45979496670952297
day_Friday,0.0725079588363469,0.10517533600859401,-0.056632733141535815,-0.17441860465116318,0.06046511627906986,-0.05663273314153573,1.0,-0.20103250217655677,-0.16051911032027527,-0.18119530166674108,-0.14600626513052237,-0.18788028987166056,-0.13844450018688337,-0.14418325862554873,0.14418325862554873
day_Monday,0.006310905147545075,-0.08015116742152643,0.1570121597154752,0.15518298413628878,-0.20103250217655674,-0.005636333938504319,-0.20103250217655677,1.0,-0.1850121347970804,-0.20884323062641832,-0.1682848275924838,-0.21654825675332398,-0.1595692405682039,0.15983202425521026,-0.15983202425521026
day_Saturday,-0.09105600465374976,0.002792130802463843,0.05543976773305534,0.005762224473035537,0.005762224473035544,0.05543976773305501,-0.16051911032027527,-0.1850121347970804,1.0,-0.16675576940848566,-0.13437096247164246,-0.17290802800097566,-0.12741179785940662,0.07594621803258557,-0.07594621803258557
day_Sunday,0.2407128678866467,0.08770813847784885,-0.0646359612493772,-0.181195301666741,-0.028689256097234012,-0.15167905573187232,-0.18119530166674108,-0.20884323062641832,-0.16675576940848566,1.0,-0.15167905573187224,-0.19518001458970657,-0.14382349305932413,-0.16104140079578985,0.16104140079578985
day_Thursday,-0.060456692392254235,-0.03826849293392764,0.08181818181818173,-0.0566327331415358,0.03274079884745054,0.08181818181818198,-0.14600626513052237,-0.1682848275924838,-0.13437096247164246,-0.15167905573187224,1.0,-0.15727507665059226,-0.11589224922751921,0.0640055493430869,-0.0640055493430869
day_Tuesday,-0.14382349305932396,-0.05498033086866226,-0.15727507665059243,0.25861169311746185,0.18419636261927538,-0.07232971439545945,-0.18788028987166056,-0.21654825675332398,-0.17290802800097566,-0.19518001458970657,-0.15727507665059226,1.0,-0.14912969220382638,-0.1223566464584002,0.1223566464584002
day_Wednesday,-0.04354015710078087,-0.02191422497267444,-0.009482093118615274,-0.04522520339438194,-0.045225203394382005,0.20333821909919317,-0.13844450018688337,-0.1595692405682039,-0.12741179785940662,-0.14382349305932413,-0.11589224922751921,-0.14912969220382638,1.0,0.16076831418675408,-0.16076831418675408
day_night_daylight,-0.44767920061877586,0.07714273922145332,0.45979496670952363,-0.02860778940983106,-0.31754646244912527,0.45979496670952297,-0.14418325862554873,0.15983202425521026,0.07594621803258557,-0.16104140079578985,0.0640055493430869,-0.1223566464584002,0.16076831418675408,1.0,-1.0
day_night_nighttime,0.44767920061877586,-0.07714273922145332,-0.45979496670952363,0.02860778940983106,0.31754646244912527,-0.45979496670952297,0.14418325862554873,-0.15983202425521026,-0.07594621803258557,0.16104140079578985,-0.0640055493430869,0.1223566464584002,-0.16076831418675408,-1.0,1.0
