,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Weather_Clear,Weather_Cloudy,Weather_Rainy
Temp (deg celsius),1.0,0.7993105195289758,-0.11049631703014628,-0.24928107635379193,-0.7338316266778517,-0.2025400643685291,-0.10904333311126309,0.14276028466604088,-0.06958733559111546,-0.07905010983191299
Feels Like (deg celsius),0.7993105195289758,1.0,-0.049846094610041455,-0.03828365499321612,-0.7930967325630628,-0.05676712543391033,-0.3008955735139483,-0.050129452546795884,0.0063086991198181026,0.05619987499592853
Wind (km/h),-0.11049631703014628,-0.049846094610041455,1.0,-0.23377808653035245,-0.04103693804264812,-0.1522444285464238,-0.17223313817078553,0.11623446480574202,-0.06608430814345938,-0.049570734863055674
Cloud,-0.24928107635379193,-0.03828365499321612,-0.23377808653035245,1.0,0.22787699164765157,0.39068947082188193,-0.05263726272252994,-0.4884979017870982,0.23119873780228023,0.28134516759901723
Humidity,-0.7338316266778517,-0.7930967325630628,-0.04103693804264812,0.22787699164765157,1.0,0.20176498247073507,0.23789923928805068,-0.03374824021936656,0.004371815941005092,0.03763937625802498
Precip (mm),-0.2025400643685291,-0.05676712543391033,-0.1522444285464238,0.39068947082188193,0.20176498247073507,1.0,-0.0023445427856840905,-0.08032313401761819,-0.27913119393888364,0.5438895557157261
Pressure (mb),-0.10904333311126309,-0.3008955735139483,-0.17223313817078553,-0.05263726272252994,0.23789923928805068,-0.0023445427856840905,1.0,0.0009356958463479836,0.10630823265024276,-0.16803969113035058
Weather_Clear,0.14276028466604088,-0.050129452546795884,0.11623446480574202,-0.4884979017870982,-0.03374824021936656,-0.08032313401761819,0.0009356958463479836,1.0,-0.7734956073213713,-0.1048854952697866
Weather_Cloudy,-0.06958733559111546,0.0063086991198181026,-0.06608430814345938,0.23119873780228023,0.004371815941005092,-0.27913119393888364,0.10630823265024276,-0.7734956073213713,1.0,-0.5491773344565949
Weather_Rainy,-0.07905010983191299,0.05619987499592853,-0.049570734863055674,0.28134516759901723,0.03763937625802498,0.5438895557157261,-0.16803969113035058,-0.1048854952697866,-0.5491773344565949,1.0
