,php-usd-rate,PSE-index-Close,Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates
php-usd-rate,1.0,-0.7465916971428815,-0.6231286205972117,-0.47361657313887257,-0.6138098521444556,-0.58872860240956,-0.5484392119427444,0.8793401916769199,0.7246860580376296,0.7166896015218933
PSE-index-Close,-0.7465916971428815,1.0,0.2646587746909382,0.08541059214952974,0.2451162679350211,0.2374871193506879,0.17953256966852485,-0.6362770530916407,-0.5836710695855672,-0.7153530429412053
Consumer Price Index  - all items,-0.6231286205972117,0.2646587746909382,1.0,0.9724284128613051,0.9995066257334516,0.9975165382661381,0.9945070081663472,-0.7810020266883442,-0.6838446300634851,-0.45745411684615284
Consumer Price Index -Alcoholic beverages and tobacco,-0.47361657313887257,0.08541059214952974,0.9724284128613051,1.0,0.9757609724187537,0.9733934076219097,0.9836280106017155,-0.6508844028699398,-0.5861200592722327,-0.3056272926733603
Consumer Price Index -transport,-0.6138098521444556,0.2451162679350211,0.9995066257334516,0.9757609724187537,1.0,0.9973440168217204,0.9953721052710938,-0.7738777533426537,-0.6805906072263717,-0.4500224693950929
"Consumer Price Index -Housing, water, electricity, gas, and other fuels",-0.58872860240956,0.2374871193506879,0.9975165382661381,0.9733934076219097,0.9973440168217204,1.0,0.9976300703943508,-0.7470030032544969,-0.6483397316015819,-0.4216025376407114
Consumer Price Index -Restaurant and miscellaneous goods and services,-0.5484392119427444,0.17953256966852485,0.9945070081663472,0.9836280106017155,0.9953721052710938,0.9976300703943508,1.0,-0.719338695948231,-0.622890257272789,-0.38227007652120965
inflation rate,0.8793401916769199,-0.6362770530916407,-0.7810020266883442,-0.6508844028699398,-0.7738777533426537,-0.7470030032544969,-0.719338695948231,1.0,0.889834223873111,0.8166022177682063
savings deposit interest rate,0.7246860580376296,-0.5836710695855672,-0.6838446300634851,-0.5861200592722327,-0.6805906072263717,-0.6483397316015819,-0.622890257272789,0.889834223873111,1.0,0.9303621361403703
bank lending rates,0.7166896015218933,-0.7153530429412053,-0.45745411684615284,-0.3056272926733603,-0.4500224693950929,-0.4216025376407114,-0.38227007652120965,0.8166022177682063,0.9303621361403703,1.0
