,Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal
Bank,1.0,0.21909554648982463,,,-0.07499320707869969,0.40099470374755386,0.22783496604584866,0.4753747759741442,0.40958057215754456,0.39307512149378626,0.02456583795809656,0.3632257982400967,0.19108604982869748,0.4516809769222319,0.24011468105280512,0.46498273687551556,0.15708395774905984,0.05363330985475649,0.020209111507175304,0.39478409874024495,0.5211556043767814,0.4152001830506211,-0.04163253519950393,0.4862764096320073,0.5463175112819296,0.4622713604341515,0.2152281033634466,0.26232109671260134,0.536685845541952,0.35233238277040657,0.40465069907185747,0.3646268894093398,0.3136432884766232,-0.1937402678632057,0.5308822581858773,-0.0590626199362629,0.2557921856817156,0.20544962492682203,0.09956314045450378,0.3388758839849988
Bar,0.21909554648982463,1.0,,,-0.045428115453667636,0.36737806926722527,-0.014618337827574313,0.26445965218194933,0.2472056268348498,0.3412756011226625,0.27232929940158657,0.18018330112628875,0.028423531606004315,0.40351096979956125,-0.06247280381420619,0.14494898708977222,-0.0651276534436887,0.0009696713515271586,-0.15889318946470093,0.2913677549346037,0.12028324414225262,0.1701172880570942,-0.0252194523923639,0.050544587931547716,0.2670055704047278,0.30112177390563827,-0.005737305976598892,-0.043957665155912866,0.3478978514455129,0.3633450051354585,0.16923064753843953,0.32905913557440264,-0.009632750519953772,-0.1214526659354512,0.4256667579174699,-0.03577795405715804,0.3360556479006693,0.009852694789264607,-0.06699283927154522,-0.06902488060811854
Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cemetery,-0.07499320707869969,-0.045428115453667636,,,1.0,-0.07140326142621146,-0.02033036848792958,-0.11622891613348013,-0.05346922543496478,-0.0487357689793201,-0.01237140685463178,-0.04513386276630863,-0.043020070655452394,-0.07084810746694176,-0.04085266709933007,0.0964352127149634,-0.05810133527458368,0.04272966976012168,-0.023279733457690088,-0.13581985381290979,-0.05740406040903728,-0.06273873550700582,-0.011286419326011408,-0.04775804449244855,-0.05947275470940083,-0.056507505879544305,-0.03978400360301077,-0.019672300326879374,-0.050974541073389654,-0.03674177550047811,-0.03433033769505842,-0.03514824146005192,-0.026082474396393683,0.12936301151178067,-0.0426069624689269,-0.016011647907078392,-0.0669282618212145,-0.043716878091466654,-0.029981193250955433,-0.030890589309820957
Church,0.40099470374755386,0.36737806926722527,,,-0.07140326142621146,1.0,0.21795180302573455,0.3577198233090256,0.20956479464809727,0.29634054396865744,0.06490543921781981,0.3130517060683395,0.14134402213947617,0.44584906062176755,-0.011513328864650488,0.23718507564151892,0.14008332407945018,0.06090507859305755,-0.26768737822227096,0.2703642620832363,0.38196846894613196,0.28650581247353085,-9.848341410154858e-05,0.25572224541962546,0.16756830778578968,0.4008949192044624,0.22073861764956226,-0.046118571539549395,0.4293374898628157,0.32148426699716864,0.2484482429852618,0.26471011585181664,0.048975902396765233,-0.13598447774192984,0.5128893407280404,0.11205140691647128,0.39722896939378655,0.11282277283135736,-0.0898518010484119,-0.10849231903536001
Clinic,0.22783496604584866,-0.014618337827574313,,,-0.02033036848792958,0.21795180302573455,1.0,0.13379892067719898,0.08206040848004917,-0.01961759748349115,-0.012371406854631978,0.27579901846003263,0.11810454098786687,0.2422314617717958,0.01639810372224399,0.1520522650085606,0.23598925957317388,0.06608700455752127,-0.08430353965962475,0.13184214539790426,0.3027167248132786,0.20338465334208758,-0.011286419326011366,0.36651351120516706,-0.009308235768593213,0.15163711440152486,0.20119216477255392,-0.01967230032687949,0.3144947132295667,-0.03674177550047827,0.004827703738367778,-0.03514824146005198,-0.026082474396394405,-0.05485138509038291,0.20265031969987382,-0.016011647907078378,-0.02952854418555989,0.1470692801011854,-0.029981193250955464,-0.030890589309821057
Commercial Building,0.4753747759741442,0.26445965218194933,,,-0.11622891613348013,0.3577198233090256,0.13379892067719898,1.0,0.3215291730615052,0.2962776672190833,0.08141912850182517,0.35802521752104033,0.2470264854867172,0.34727544762430523,0.25549995923297186,0.39073725300731765,0.03822796037143186,0.2584416814742192,0.09909145743218352,0.35415447474887657,0.3777895776841427,0.3527022063702346,0.010825706659909153,0.29773291487794107,0.36330673909658984,0.1970148607908758,0.261827853511906,0.12946801985103823,0.3354754037874083,0.2004933843651991,0.19303707427450414,0.19910055599081494,0.17165487801660628,-0.059466292960910105,0.40632876437758547,0.10537640817983095,0.27288841215628146,0.08289546302246151,-0.03816925013390729,0.20329820933597498
Community Center,0.40958057215754456,0.2472056268348498,,,-0.05346922543496478,0.20956479464809727,0.08206040848004917,0.3215291730615052,1.0,0.4040254404747826,-0.032537016849976196,0.25947947497088086,0.13340805438766906,0.6121213306114914,0.1394518820764976,0.4028551485657613,0.14017103763056238,-0.07439284756432457,-0.03150505517785559,0.317830452272483,0.6471798538127473,0.26842851547619034,0.06662292320103372,0.3775026699755638,0.397973114050013,0.4375150159057344,-0.016837434187022677,0.3119639602620044,0.618756629570831,0.3579660733642233,0.5754808583115117,0.38025641608622196,0.44500341771500446,-0.17998490986334215,0.4927951969067783,-0.04211091461707448,0.289954641124305,0.10127529322816367,0.20331205641034283,-0.08124279127583742
Convenience Store,0.39307512149378626,0.3412756011226625,,,-0.0487357689793201,0.29634054396865744,-0.01961759748349115,0.2962776672190833,0.4040254404747826,1.0,-0.029656620674362567,0.10899938978548065,-0.01484241676562817,0.3611376402825595,-0.05218462713497524,0.24175491253683548,0.04056472215831674,-0.09754020814979322,0.02081988213360684,0.33438323756067545,0.3204574939732047,0.34266971063124146,-0.02705569872984909,0.11520866161187032,0.5560504522237673,0.47042357113170064,-0.07965104325318022,0.012949806297059418,0.5324720465468132,0.48446566257184587,0.4362197155355101,0.38851128321898115,0.1673622629400721,-0.19667735925616447,0.2758169987633963,-0.038382972440510164,0.17683095845708502,0.011354891276449317,-0.05166331063335635,0.10292156217070882
