,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population
"Education,Baccalauate graduate",1.0,0.9999999926168999,0.9999999915349549,0.9999999922452734,0.9999936788842486,0.9999999332679388,0.99999035567133,0.9999999490685401,0.9999999852475127,0.9999911505989962,0.9999999232542952,0.999993239866263,0.9999999845855844,0.9999992511801898,0.9999997631885399,0.9987527975749526,0.9999999944013829,0.9999999911058928,0.999999993662723,0.9999999881909243,0.9999997329249074,0.9999999699966048,0.9999999616856571,0.9999999898846228,0.9999943543927627,-0.23399562377301686,0.23399562377301686,0.9999999875176633,0.9999999763563285,0.9999999900198187,0.9999999694850319,0.9999999741222152,0.9999999828250837,0.9999999913712758,0.9999997505268783,0.9999999562668294,0.9999999752141908,0.9999999793319494,0.999999665567024
"Education,College undergraduate",0.9999999926168999,1.0,0.999999989949007,0.9999999860362099,0.9999936382104563,0.9999999181358535,0.9999903294406618,0.9999999404424446,0.9999999873795723,0.9999913514182109,0.9999999020186363,0.9999932386465465,0.9999999815452125,0.9999992938147155,0.9999997617008328,0.9987534744539575,0.9999999932016227,0.9999999916563779,0.999999993674517,0.9999999884095939,0.9999997183611877,0.9999999577533903,0.9999999586381935,0.9999999908684299,0.9999943442119654,-0.2340119553742999,0.23401195537430017,0.9999999849259922,0.9999999775337725,0.9999999854175634,0.9999999620339928,0.9999999763627628,0.9999999789794366,0.9999999836933158,0.9999997315679023,0.999999962590995,0.9999999788529138,0.9999999842941152,0.9999996459213576
"Education,Elementary",0.9999999915349549,0.999999989949007,1.0,0.9999999917909321,0.9999934212358892,0.999999902810098,0.9999907243498264,0.9999999356184647,0.9999999954224084,0.9999915230250295,0.9999999162835547,0.9999935389533484,0.9999999931827386,0.9999993022883871,0.9999997896042804,0.9987510442700144,0.9999999970161373,0.9999999961978278,0.9999999969081392,0.9999999815753009,0.9999997576581378,0.9999999680173622,0.9999999631172694,0.999999995998904,0.9999942926417279,-0.23398479294190916,0.23398479294190916,0.9999999931342409,0.9999999855250494,0.9999999914869478,0.9999999617467107,0.9999999679500663,0.9999999864337507,0.9999999750925693,0.9999997742601422,0.9999999763885232,0.9999999840128829,0.9999999869932813,0.9999996378506252
"Education,High school",0.9999999922452734,0.9999999860362099,0.9999999917909321,1.0,0.999993662889393,0.9999999371469274,0.9999905718006553,0.9999999431425909,0.9999999914138908,0.999991344482342,0.9999999390792383,0.999993333484814,0.999999994202829,0.9999992203899264,0.999999801021142,0.998751289328777,0.9999999957542283,0.9999999964434683,0.9999999949568821,0.9999999758217801,0.9999997971969705,0.9999999747439174,0.99999996549409,0.9999999936439389,0.9999943062802498,-0.23398577361683112,0.23398577361683107,0.9999999893696058,0.9999999931145699,0.9999999987963131,0.9999999586613446,0.999999975911158,0.9999999770632202,0.999999985593934,0.9999997742203884,0.9999999671000832,0.9999999681153923,0.9999999742279236,0.9999996837248414
"Education,No grade completed",0.9999936788842486,0.9999936382104563,0.9999934212358892,0.999993662889393,1.0,0.9999940654324332,0.9999765149248623,0.9999935738497774,0.9999934646702141,0.9999838293449133,0.9999935367470046,0.9999766979832768,0.9999935010642047,0.9999918282183861,0.9999929359058396,0.9988094403362545,0.999993545029357,0.9999935381998452,0.9999935235495608,0.9999935111230436,0.9999936099786018,0.9999934846876221,0.9999935889132813,0.9999934172131079,0.9999882595932428,-0.23471830619939904,0.23471830619939904,0.9999934244023919,0.9999935439503114,0.9999936086962871,0.9999938122051573,0.9999935389933897,0.9999933939143281,0.9999938055225931,0.9999920541370404,0.9999930546221381,0.9999932989941288,0.9999936086901641,0.9999927959781924
"Education,Out of school youth",0.9999999332679388,0.9999999181358535,0.999999902810098,0.9999999371469274,0.9999940654324332,1.0,0.999989912008024,0.999999911577831,0.9999998988992761,0.9999904575793803,0.999999920784417,0.9999928749445852,0.9999998997374345,0.9999989718211734,0.9999997100667133,0.9987573175193128,0.9999999152961758,0.9999999167984737,0.9999999146611891,0.9999999066684976,0.9999996966839717,0.9999999074229724,0.9999998749736219,0.9999999105875638,0.9999941025233889,-0.234103676715587,0.23410367671558707,0.9999999043984951,0.9999999144147395,0.9999999312371625,0.9999998594390157,0.9999999384053664,0.9999998853191417,0.9999999470647458,0.9999997146652514,0.9999998581858067,0.9999998724683057,0.9999998594814512,0.9999997449449542
"Education,Post baccalaureate",0.99999035567133,0.9999903294406618,0.9999907243498264,0.9999905718006553,0.9999765149248623,0.999989912008024,1.0,0.9999903170417076,0.9999907644130783,0.9999898780129314,0.9999902086463001,0.9999954959334534,0.9999908492994256,0.9999908793922101,0.9999913779426401,0.9986497428908571,0.9999905930928779,0.9999906120174514,0.9999905774442033,0.9999903818199687,0.9999905909704179,0.9999903224423495,0.9999902782616255,0.9999906150049462,0.9999878984242572,-0.23487069475496475,0.23487069475496475,0.9999905753927496,0.9999907211642537,0.9999905514759327,0.9999902724133213,0.9999901381037478,0.9999904769195527,0.9999901428797978,0.9999909833649149,0.9999909272081697,0.9999907989874021,0.9999905361220188,0.9999892347256734
"Education,Postsecondary",0.9999999490685401,0.9999999404424446,0.9999999356184647,0.9999999431425909,0.9999935738497774,0.999999911577831,0.9999903170417076,1.0,0.9999999288913001,0.9999908808975169,0.9999998992683533,0.999993262266334,0.9999999308894847,0.9999992554917042,0.9999998294689999,0.9987510604489425,0.9999999433393085,0.9999999375251499,0.9999999424121416,0.9999999336633746,0.9999996386107267,0.9999999186767272,0.999999944160646,0.9999999451885268,0.999994657646474,-0.23406959071627623,0.23406959071627625,0.9999999470514862,0.9999999318575243,0.9999999457272921,0.9999999099559842,0.9999999116554497,0.9999999593503396,0.9999999566756362,0.9999997073596925,0.9999999202170036,0.9999999190688083,0.999999932713848,0.9999996134529311
"Household,number of households",0.9999999852475127,0.9999999873795723,0.9999999954224084,0.9999999914138908,0.9999934646702141,0.9999998988992761,0.9999907644130783,0.9999999288913001,1.0,0.9999916566782701,0.9999999207187563,0.999993567028911,0.9999999951565401,0.999999285419034,0.9999997945771566,0.9987508947147654,0.9999999965056329,0.9999999978054073,0.9999999976140219,0.9999999717192289,0.9999997745696889,0.9999999656698864,0.9999999649214609,0.9999999965470349,0.9999943425595512,-0.23398848330501495,0.23398848330501495,0.9999999923097503,0.9999999922686231,0.9999999928594703,0.9999999603992952,0.999999966745444,0.9999999803830335,0.9999999721731602,0.9999997849268061,0.9999999794579858,0.9999999836312466,0.99999998542432,0.9999996400335263
"Housing,dwelling tenure status,Own house rent lot",0.9999911505989962,0.9999913514182109,0.9999915230250295,0.999991344482342,0.9999838293449133,0.9999904575793803,0.9999898780129314,0.9999908808975169,0.9999916566782701,1.0,0.9999907760835431,0.9999882903888534,0.9999915892505258,0.9999909464741735,0.9999916665228321,0.9987593544060028,0.9999914818464627,0.9999915218683657,0.9999914786292436,0.9999912237164768,0.9999921657413998,0.9999915712732454,0.999991616500077,0.9999914794407925,0.9999817303066659,-0.23497683922830806,0.2349768392283081,0.9999913679330459,0.9999915519052072,0.9999913863304652,0.9999912172942479,0.9999912382164234,0.9999914343702567,0.9999909897220254,0.9999917051730827,0.9999919813580106,0.9999914812532998,0.9999917043855575,0.9999901708971908
