,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Weather_Clear,Weather_Cloudy,Weather_Rainy
Temp (deg celsius),1.0,0.7837398973632576,0.1449753647915128,-0.24260252642567937,-0.7108765133254695,-0.1600841306506393,-0.14969688475390103,0.22870669249466913,-0.02988156907221406,-0.1700151784725481
Feels Like (deg celsius),0.7837398973632576,1.0,0.3603528927153202,-0.03626634492074435,-0.9008212165615261,-0.08453575324241992,-0.2719296596646268,-0.030281493433648787,0.095251176199299,-0.092367904341928
Wind (km/h),0.1449753647915128,0.3603528927153202,1.0,0.06136418101758599,-0.39700741451957205,0.06971221313358202,-0.1512936120892862,-0.10934696572031999,0.054987564559349375,0.030071032364592375
Cloud,-0.24260252642567937,-0.03626634492074435,0.06136418101758599,1.0,0.1201155265952185,0.3260123949743242,-0.1332766225818695,-0.4507706169761312,0.07458550885528942,0.3153488140835901
Humidity,-0.7108765133254695,-0.9008212165615261,-0.39700741451957205,0.1201155265952185,1.0,0.17838464205607066,0.22928329528849375,0.04082901394012056,-0.19761191102585354,0.21159609404304375
Precip (mm),-0.1600841306506393,-0.08453575324241992,0.06971221313358202,0.3260123949743242,0.17838464205607066,1.0,-0.11735740637003647,-0.07433561940119765,-0.23583350506234596,0.36423569024742447
Pressure (mb),-0.14969688475390103,-0.2719296596646268,-0.1512936120892862,-0.1332766225818695,0.22928329528849375,-0.11735740637003647,1.0,0.06663986351300559,0.020345006188091305,-0.08609511502706928
Weather_Clear,0.22870669249466913,-0.030281493433648787,-0.10934696572031999,-0.4507706169761312,0.04082901394012056,-0.07433561940119765,0.06663986351300559,1.0,-0.6160677591393826,-0.13256904754499144
Weather_Cloudy,-0.02988156907221406,0.095251176199299,0.054987564559349375,0.07458550885528942,-0.19761191102585354,-0.23583350506234596,0.020345006188091305,-0.6160677591393826,1.0,-0.6990692862094381
Weather_Rainy,-0.1700151784725481,-0.092367904341928,0.030071032364592375,0.3153488140835901,0.21159609404304375,0.36423569024742447,-0.08609511502706928,-0.13256904754499144,-0.6990692862094381,1.0
