,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Marital Status,Common law/livein","Marital Status,Common law/livein,female","Marital Status,Common law/livein,male","Marital Status,Divorced/Separated","Marital Status,Divorced/Separated,female","Marital Status,Divorced/Separated,male","Marital Status,Married","Marital Status,Married,female","Marital Status,Married,male","Marital Status,Single","Marital Status,Single,female","Marital Status,Single,male","Marital Status,Unknown","Marital Status,Unknown,female","Marital Status,Unknown,male","Marital Status,Widowed","Marital Status,Widowed,female","Marital Status,Widowed,male"
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,urban,2.43,281,141,140,41,25,15,1039,521,517,1115,521,594,0,0,0,113,87,26
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,281,141,140,41,25,15,1039,521,517,1115,521,594,0,0,0,113,87,26
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,281,141,140,41,25,15,1039,521,517,1115,521,594,0,0,0,113,87,26
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,urban,7.19,829,416,413,120,74,45,3066,1539,"1,528","3,291","1,539","1,753",0,0,0,334,257,77
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,urban,7.19,829,416,413,120,74,45,3066,1539,"1,528","3,291","1,539","1,753",0,0,0,334,257,77
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,urban,22.54,1455,725,730,185,112,73,5540,2774,"2,765","5,537","2,518","3,019",1,1,1,555,422,134
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),rural,5.24,173,87,86,21,11,10,632,317,316,584,250,334,0,0,0,68,50,18
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,281,141,140,41,25,15,1039,521,517,1115,521,594,0,0,0,113,87,26
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),urban,8.33,961,483,479,139,86,53,3554,1784,"1,771","3,816","1,784","2,032",1,0,0,387,298,89
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,3576,1796,1781,517,321,196,13223,6635,"6,588","14,195","6,636","7,559",2,2,0,1439,1107,332
10,125.675,7.297810000000001,01/08/2017,"Tue - Aug 1, 2017",0:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,urban,22.51,1453,724,729,185,111,73,5532,2770,"2,761","5,529","2,515","3,014",1,1,1,555,421,134
11,125.779,7.3913199999999994,01/08/2017,"Tue - Aug 1, 2017",17:18:00,MURDER,San Isidro,Tagum City,Shooting,rural,3.69,426,214,212,61,38,23,1574,790,784,"1,689",790,900,0,0,0,171,132,40
12,125.804,7.444839999999999,01/08/2017,"Tue - Aug 1, 2017",22:30:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Mauling,urban,8.33,961,483,479,139,86,53,3554,1784,"1,771","3,816","1,784","2,032",1,0,0,387,298,89
13,125.802,7.445010000000001,01/08/2017,"Tue - Aug 1, 2017",16:45:00,THEFT,Magugpo South,Tagum City,Salisi,urban,8.33,961,483,479,139,86,53,3554,1784,"1,771","3,816","1,784","2,032",1,0,0,387,298,89
14,125.806,7.446219999999999,01/08/2017,"Tue - Aug 1, 2017",9:40:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,urban,2.43,281,141,140,41,25,15,1039,521,517,1115,521,594,0,0,0,113,87,26
15,125.68,7.28751,02/08/2017,"Wed - Aug 2, 2017",11:30:00,Drug Related Incident (RA 9165),Cagangohan,Panabo City,Not Indicated,urban,18.74,1210,603,607,154,93,61,4607,2307,"2,300","4,604","2,094","2,510",1,1,0,462,351,111
16,125.671,7.2965100000000005,02/08/2017,"Wed - Aug 2, 2017",15:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,urban,22.51,1453,724,729,185,111,73,5532,2770,"2,761","5,529","2,515","3,014",1,1,1,555,421,134
17,125.82799999999999,7.4228,02/08/2017,"Wed - Aug 2, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,2640,1325,1314,381,237,145,9760,4897,"4,862","10,477","4,898","5,579",1,1,0,1062,817,245
18,125.803,7.46735,02/08/2017,"Wed - Aug 2, 2017",20:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,La Filipina,Tagum City,Swpu (Stolen While Parked),urban,11.84,1366,686,680,197,122,75,5050,2534,"2,516","5,421","2,535","2,887",1,1,0,549,423,127
