,lng,lat,date,customdate,time,crime,barangay,city,modus,time_bin,day,1_nearest_feature,1_nearest_feature_distance,2_nearest_feature,2_nearest_feature_distance,3_nearest_feature,3_nearest_feature_distance,4_nearest_feature,4_nearest_feature_distance,5_nearest_feature,5_nearest_feature_distance
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,16:00 - 16:59,Sunday,Highway Primary,10,Highway Tertiary,10,Clinic,30,Commercial Building,40,Gas Station,50
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,00:00 - 00:59,Sunday,Highway Tertiary,10,Private Office,20,Church,70,Park,70,Restaurant,70
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,00:00 - 00:59,Sunday,Highway Tertiary,30,Highway Pedestrian,40,Greenfield,60,School,60,Commercial Building,70
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,20:00 - 20:59,Sunday,Highway Residential,40,Highway Tertiary,40,Gas Station,90,Highway Pedestrian,120,Highway,130
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,20:00 - 20:59,Sunday,Highway Residential,20,Highway Tertiary,60,Gas Station,130,Highway Pedestrian,140,Highway,150
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,12:00 - 12:59,Monday,Commercial Building,10,Highway Residential,50,Highway Tertiary,60,Highway,70,Residential Building,160
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),15:00 - 15:59,Monday,Highway Secondary,30,Commercial Building,110,School,110,Residential Building,150,,
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),12:00 - 12:59,Monday,Park,0,Commercial Building,40,Highway Tertiary,40,Police Station,50,Church,70
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),16:00 - 16:59,Monday,Greenfield,60,Highway Residential,60,Highway Tertiary,80,Church,120,Commercial Building,120
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),00:00 - 00:59,Tuesday,Highway Residential,50,Residential Building,180,School,190,Commercial Building,200,,
10,125.675,7.297810000000001,01/08/2017,"Tue - Aug 1, 2017",0:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,00:00 - 00:59,Tuesday,Commercial Building,10,Highway Residential,10,Highway Tertiary,40,School,50,Road,150
11,125.779,7.3913199999999994,01/08/2017,"Tue - Aug 1, 2017",17:18:00,MURDER,San Isidro,Tagum City,Shooting,17:00 - 17:59,Tuesday,Highway Residential,500,Bridge,600,Highway Pedestrian,600,Highway Primary,600,Residential Building,700
12,125.804,7.444839999999999,01/08/2017,"Tue - Aug 1, 2017",22:30:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Mauling,22:00 - 22:59,Tuesday,Highway Tertiary,50,School,50,Bar,60,Commercial Building,60,Highway Residential,60
