,lng,lat,date,customdate,time,crime,barangay,city,modus,time_bin,day,Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,16:00 - 16:59,Sunday,160,,,,,70,30,40,190,,,50,,60,190,190,10,90,,10,120,70,,60,,,,,150,,,,,,150,,,,,
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,00:00 - 00:59,Sunday,120,130,,,,70,,110,,190,,,,100,,160,,100,,10,160,,,,170,70,,,190,160,,20,,,70,,100,,,
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,00:00 - 00:59,Sunday,120,,,,,,,70,80,,,140,,60,160,40,,110,,30,70,,,180,100,200,,,190,,180,90,130,,130,,60,,90,
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,20:00 - 20:59,Sunday,,,,,,170,,,,,,90,,160,130,120,,40,,40,,,,,,,,,,,,,,,160,,180,,,
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,20:00 - 20:59,Sunday,,,,,,190,,,,,,130,,200,150,140,,20,180,60,,,,,,,,,,,,,,,160,,160,,,
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,12:00 - 12:59,Monday,,,,,,,,10,,,,,,,70,,,50,,60,,,,,,,,,,,,,,160,,,,,,
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),15:00 - 15:59,Monday,,,,,,,,110,,,,,,,,,,,30,,,,,,,,,,,,,,,150,,,110,,,
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),12:00 - 12:59,Monday,110,150,,,,70,,40,200,80,,,,170,,90,,200,,40,180,170,,,150,0,,,80,50,170,120,,,160,,180,,,
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),16:00 - 16:59,Monday,,150,,,,120,,120,,,,,,60,,,,60,,80,,170,,,,,,,,,,,,,180,,140,,,
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),00:00 - 00:59,Tuesday,,,,,,,,200,,,,,,,,,,50,,,,,,,,,,,,,,,,180,,,190,,,
