,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,Population,"Population,00-01","Population,01-04","Population,05-09","Population,10-14","Population,15-19","Population,20-24","Population,25-29","Population,30-34","Population,35-39","Population,40-44","Population,45-49","Population,50-54","Population,55-59","Population,60-64","Population,65-69","Population,70-74","Population,75-79","Population,80 years and over ","Population,female","Population,female,00-01","Population,female,01-04","Population,female,05-09","Population,female,10-14","Population,female,15-19","Population,female,20-24","Population,female,25-29","Population,female,30-34","Population,female,35-39","Population,female,40-44","Population,female,45-49","Population,female,50-54","Population,female,55-59","Population,female,60-64","Population,female,65-69","Population,female,70-74","Population,female,75-79","Population,female,80 years and over ","Population,male","Population,male,00-01","Population,male,01-04","Population,male,05-09","Population,male,10-14","Population,male,15-19","Population,male,20-24","Population,male,25-29","Population,male,30-34","Population,male,35-39","Population,male,40-44","Population,male,45-49","Population,male,50-54","Population,male,55-59","Population,male,60-64","Population,male,65-69","Population,male,70-74","Population,male,75-79","Population,male,80 years and over "
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,urban,2.43,3246,64,266,328,303,328,326,293,254,227,196,170,143,118,94,60,35,23,19,1614,31,130,158,147,166,165,146,125,110,95,84,72,61,49,31,19,13,12,1632,33,136,170,155,161,161,147,130,117,101,86,70,57,46,29,16,9,7
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,3246,64,266,328,303,328,326,293,254,227,196,170,143,118,94,60,35,23,19,1614,31,130,158,147,166,165,146,125,110,95,84,72,61,49,31,19,13,12,1632,33,136,170,155,161,161,147,130,117,101,86,70,57,46,29,16,9,7
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,urban,2.43,3246,64,266,328,303,328,326,293,254,227,196,170,143,118,94,60,35,23,19,1614,31,130,158,147,166,165,146,125,110,95,84,72,61,49,31,19,13,12,1632,33,136,170,155,161,161,147,130,117,101,86,70,57,46,29,16,9,7
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,urban,7.19,9584,190,784,969,894,967,963,864,750,671,578,502,421,348,278,177,103,67,57,4766,92,383,467,435,491,488,431,368,326,280,249,213,179,143,93,56,39,35,4819,99,402,503,458,477,475,433,382,346,297,254,208,170,134,85,47,27,22
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,urban,7.19,9584,190,784,969,894,967,963,864,750,671,578,502,421,348,278,177,103,67,57,4766,92,383,467,435,491,488,431,368,326,280,249,213,179,143,93,56,39,35,4819,99,402,503,458,477,475,433,382,346,297,254,208,170,134,85,47,27,22
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,urban,22.54,"16,931",370,"1,481","1,806","1,711","1,608","1,547","1,501","1,330",1160,970,864,735,652,513,302,175,112,93,8337,179,732,875,840,802,765,733,637,554,473,424,367,327,264,150,95,63,56,"8,594",191,749,932,871,806,782,768,692,606,497,440,368,325,249,152,80,49,37
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),rural,5.24,1892,40,169,203,196,175,159,148,125,119,112,101,89,76,63,45,30,22,19,916,19,82,99,93,83,78,71,59,56,54,49,43,37,32,22,16,12,11,976,21,87,105,103,92,82,77,66,63,58,52,46,39,32,23,14,10,8
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,3246,64,266,328,303,328,326,293,254,227,196,170,143,118,94,60,35,23,19,1614,31,130,158,147,166,165,146,125,110,95,84,72,61,49,31,19,13,12,1632,33,136,170,155,161,161,147,130,117,101,86,70,57,46,29,16,9,7
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),urban,8.33,11111,220,909,"1,124","1,036","1,121","1,117","1,002",870,778,670,582,488,404,322,205,119,77,66,5525,106,444,541,505,569,566,500,426,377,325,288,247,207,166,107,65,45,41,5586,114,466,583,531,553,551,502,443,401,345,294,241,197,156,98,55,32,25
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"41,334",820,"3,383","4,180","3,853","4,172","4,155","3,728","3,235","2,895",2491,"2,166",1816,1503,1198,764,444,287,245,20553,395,1650,2012,1878,2116,2105,1860,1585,1404,1208,1072,919,771,618,399,241,169,152,"20,780",425,"1,733",2167,1976,"2,056",2050,1868,1649,"1,491",1283,1095,896,732,580,365,204,118,93
10,125.675,7.297810000000001,01/08/2017,"Tue - Aug 1, 2017",0:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,urban,22.51,"16,908",369,"1,479","1,804","1,709","1,606","1,545","1,499","1,328",1158,969,863,734,651,512,302,175,111,93,8326,179,731,873,839,801,764,732,637,553,472,424,366,326,264,150,95,63,56,"8,582",191,748,931,870,805,781,767,691,605,496,439,367,325,248,152,80,49,37
11,125.779,7.3913199999999994,01/08/2017,"Tue - Aug 1, 2017",17:18:00,MURDER,San Isidro,Tagum City,Shooting,rural,3.69,4919,98,403,497,459,497,495,444,385,345,296,258,216,179,143,91,53,34,29,2446,47,196,240,223,252,250,221,189,167,144,128,109,92,74,48,29,20,18,2473,51,206,258,235,245,244,222,196,177,153,130,107,87,69,43,24,14,11
12,125.804,7.444839999999999,01/08/2017,"Tue - Aug 1, 2017",22:30:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Mauling,urban,8.33,11111,220,909,"1,124","1,036","1,121","1,117","1,002",870,778,670,582,488,404,322,205,119,77,66,5525,106,444,541,505,569,566,500,426,377,325,288,247,207,166,107,65,45,41,5586,114,466,583,531,553,551,502,443,401,345,294,241,197,156,98,55,32,25
13,125.802,7.445010000000001,01/08/2017,"Tue - Aug 1, 2017",16:45:00,THEFT,Magugpo South,Tagum City,Salisi,urban,8.33,11111,220,909,"1,124","1,036","1,121","1,117","1,002",870,778,670,582,488,404,322,205,119,77,66,5525,106,444,541,505,569,566,500,426,377,325,288,247,207,166,107,65,45,41,5586,114,466,583,531,553,551,502,443,401,345,294,241,197,156,98,55,32,25
14,125.806,7.446219999999999,01/08/2017,"Tue - Aug 1, 2017",9:40:00,THEFT,Magugpo Poblacion,Tagum City,Salisi,urban,2.43,3246,64,266,328,303,328,326,293,254,227,196,170,143,118,94,60,35,23,19,1614,31,130,158,147,166,165,146,125,110,95,84,72,61,49,31,19,13,12,1632,33,136,170,155,161,161,147,130,117,101,86,70,57,46,29,16,9,7
