,lng,lat,date,customdate,time,crime,barangay,city,modus,weathertime,time_bin,day,Region_x,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb),Sunrise,Sunset,day or night
0,125.80799999999999,7.44808,30/07/2017,"Sun - Jul 30, 2017",16:11:00,Vehicular Traffic Accident,Magugpo Poblacion,Tagum City,Not Indicated,15:00,16:00 - 16:59,Sunday,Tagum City,30/07/2017,15:00,Sunny,30,32,15,NNE,57%,58%,0.1,"1,012",5:31 AM,5:57 PM,day
1,125.803,7.44675,30/07/2017,"Sun - Jul 30, 2017",0:20:00,MURDER,Magugpo Poblacion,Tagum City,Stabbing/Hacking,0:00,00:00 - 00:59,Sunday,Tagum City,30/07/2017,0:00,Partly cloudy,23,25,8,ESE,18%,89%,0.0,"1,013",5:31 AM,5:57 PM,night
2,125.803,7.44897,30/07/2017,"Sun - Jul 30, 2017",0:20:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Stabbing/Hacking,0:00,00:00 - 00:59,Sunday,Tagum City,30/07/2017,0:00,Partly cloudy,23,25,8,ESE,18%,89%,0.0,"1,013",5:31 AM,5:57 PM,night
3,125.818,7.45982,30/07/2017,"Sun - Jul 30, 2017",20:50:00,MURDER,Magugpo North,Tagum City,Shooting,18:00,20:00 - 20:59,Sunday,Tagum City,30/07/2017,18:00,Partly cloudy,27,29,13,NNE,1%,66%,0.0,"1,013",5:31 AM,5:57 PM,night
4,125.818,7.460160000000001,30/07/2017,"Sun - Jul 30, 2017",20:50:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Shooting,18:00,20:00 - 20:59,Sunday,Tagum City,30/07/2017,18:00,Partly cloudy,27,29,13,NNE,1%,66%,0.0,"1,013",5:31 AM,5:57 PM,night
5,125.665,7.30998,31/07/2017,"Mon - Jul 31, 2017",12:40:00,Drug Related Incident (RA 9165),New Visayas,Panabo City,Not Indicated,12:00,12:00 - 12:59,Monday,Panabo City,31/07/2017,12:00,Partly cloudy,39,51,9,S,9%,52%,0.0,"1,009",5:31 AM,5:57 PM,day
6,125.708,7.099530000000001,31/07/2017,"Mon - Jul 31, 2017",15:00:00,THEFT,Mambago-A,Samal City,Salisi (Cellphone),15:00,15:00 - 15:59,Monday,Samal City,31/07/2017,15:00,Patchy rain possible,37,51,13,SSE,28%,63%,0.1,"1,008",5:31 AM,5:57 PM,day
7,125.804,7.44707,31/07/2017,"Mon - Jul 31, 2017",12:45:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),12:00,12:00 - 12:59,Monday,Tagum City,31/07/2017,12:00,Patchy rain possible,37,46,6,SSW,10%,47%,0.1,"1,009",5:31 AM,5:57 PM,day
8,125.801,7.4462399999999995,31/07/2017,"Mon - Jul 31, 2017",16:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo South,Tagum City,Swpu (Stolen While Parked),15:00,16:00 - 16:59,Monday,Tagum City,31/07/2017,15:00,Patchy rain possible,36,45,8,S,30%,51%,0.2,"1,008",5:31 AM,5:57 PM,day
9,125.8,7.431539999999999,01/08/2017,"Tue - Aug 1, 2017",0:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),0:00,00:00 - 00:59,Tuesday,Tagum City,01/08/2017,0:00,Light rain shower,29,28,1,E,38%,80%,0.5,"1,011",5:31 AM,5:57 PM,night
10,125.675,7.297810000000001,01/08/2017,"Tue - Aug 1, 2017",0:35:00,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,Not Indicated,0:00,00:00 - 00:59,Tuesday,Panabo City,01/08/2017,0:00,Partly cloudy,29,29,1,SSE,41%,79%,0.3,"1,011",5:31 AM,5:57 PM,night
11,125.779,7.3913199999999994,01/08/2017,"Tue - Aug 1, 2017",17:18:00,MURDER,San Isidro,Tagum City,Shooting,15:00,17:00 - 17:59,Tuesday,Tagum City,01/08/2017,15:00,Light rain shower,34,40,8,S,72%,62%,0.7,"1,010",5:31 AM,5:57 PM,day
12,125.804,7.444839999999999,01/08/2017,"Tue - Aug 1, 2017",22:30:00,PHYSICAL INJURIES,Magugpo South,Tagum City,Mauling,21:00,22:00 - 22:59,Tuesday,Tagum City,01/08/2017,21:00,Patchy light drizzle,31,28,3,SE,73%,93%,0.9,"1,011",5:31 AM,5:57 PM,night
13,125.802,7.445010000000001,01/08/2017,"Tue - Aug 1, 2017",16:45:00,THEFT,Magugpo South,Tagum City,Salisi,15:00,16:00 - 16:59,Tuesday,Tagum City,01/08/2017,15:00,Light rain shower,34,40,8,S,72%,62%,0.7,"1,010",5:31 AM,5:57 PM,day
