,crime,barangay,city,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal,php-usd-rate,PSE-index-Close,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,Weather_Clear,Weather_Cloudy,Weather_Rainy,day_night_daylight,day_night_nighttime,placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population
0,Murder/Homicide,Magugpo Poblacion,Tagum City,23.0,25.0,8.0,18.0,89.0,0.0,1013.0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,50.54600000000001,8071.470215,395.5,304.0,353.5,810.5,11.0,118.0,7.0,88.5,760.0,11.0,120.0,10.5,517.0,41.5,59.0,1.0,1334.5,1406.5,893.0,221.5,72.0,220.0,126.0,718.5,13.0,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,662.0,635.0,1738.0,232.0,320.5,315.0,863.0,124.5,341.5,318.5,874.5,107.0
1,Physical Injuries,Magugpo Poblacion,Tagum City,23.0,25.0,8.0,18.0,89.0,0.0,1013.0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,50.54600000000001,8071.470215,395.5,304.0,353.5,810.5,11.0,118.0,7.0,88.5,760.0,11.0,120.0,10.5,517.0,41.5,59.0,1.0,1334.5,1406.5,893.0,221.5,72.0,220.0,126.0,718.5,13.0,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,662.0,635.0,1738.0,232.0,320.5,315.0,863.0,124.5,341.5,318.5,874.5,107.0
2,Murder/Homicide,Magugpo North,Tagum City,27.0,29.0,13.0,1.0,66.0,0.0,1013.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50.54600000000001,8071.470215,1168.0,897.5,1044.0,2392.5,31.5,348.0,20.5,261.5,2243.0,32.0,354.5,31.0,1526.0,122.0,174.5,3.0,3941.0,4152.5,2637.5,655.0,212.0,650.5,372.5,2122.5,38.5,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1955.5,1873.0,5131.0,685.0,947.5,932.0,2550.0,369.0,1010.0,941.0,2581.5,317.5
3,Physical Injuries,Magugpo North,Tagum City,27.0,29.0,13.0,1.0,66.0,0.0,1013.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50.54600000000001,8071.470215,1168.0,897.5,1044.0,2392.5,31.5,348.0,20.5,261.5,2243.0,32.0,354.5,31.0,1526.0,122.0,174.5,3.0,3941.0,4152.5,2637.5,655.0,212.0,650.5,372.5,2122.5,38.5,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1955.5,1873.0,5131.0,685.0,947.5,932.0,2550.0,369.0,1010.0,941.0,2581.5,317.5
4,Drug Related Incident (RA 9165),New Visayas,Panabo City,39.0,51.0,9.0,9.0,52.0,0.0,1009.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50.582,8018.049805,1522.0,1329.5,2094.5,4698.5,49.5,611.5,14.0,293.5,3959.0,56.0,625.5,54.5,2693.5,216.0,308.0,6.0,6747.0,7110.0,4515.5,1121.0,363.5,1113.5,657.5,3745.5,66.0,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3677.0,3337.5,8807.0,1201.5,1795.5,1651.0,4304.0,632.0,1882.0,1686.5,4502.5,569.5
5,Theft,Mambago-A,Samal City,37.0,51.0,13.0,28.0,63.0,0.1,1008.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,50.582,8018.049805,99.0,106.0,383.0,493.0,13.0,67.5,1.0,21.0,476.5,7.0,75.5,7.0,324.5,26.0,37.0,1.0,750.5,791.0,502.5,124.5,40.5,123.5,79.5,419.5,7.5,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,416.0,374.0,936.5,180.0,202.0,177.0,451.5,93.5,214.0,196.5,487.0,87.0
6,Carnapping (R.A. 6539),Magugpo Poblacion,Tagum City,37.0,46.0,6.0,10.0,47.0,0.1,1009.0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,50.582,8018.049805,395.5,304.0,353.5,810.5,11.0,118.0,7.0,88.5,760.0,11.0,120.0,10.5,517.0,41.5,59.0,1.0,1334.5,1406.5,893.0,221.5,72.0,220.0,126.0,718.5,13.0,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,662.0,635.0,1738.0,232.0,320.5,315.0,863.0,124.5,341.5,318.5,874.5,107.0
7,Carnapping (R.A. 6539),Magugpo South,Tagum City,36.0,45.0,8.0,30.0,51.0,0.2,1008.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50.582,8018.049805,1354.0,1040.5,1210.5,2773.5,36.5,403.5,24.0,303.0,2600.5,37.0,410.5,36.0,1769.0,142.0,202.5,4.0,4568.5,4814.5,3057.5,759.5,245.5,753.5,431.5,2460.0,44.5,159.2,183.6,140.2,143.6,137.4,2.2,0.7070000000000001,5.672999999999999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2267.5,2171.0,5948.5,794.5,1097.5,1080.5,2955.0,427.0,1170.5,1091.0,2993.0,367.5
8,Carnapping (R.A. 6539),Visayan Village,Tagum City,29.0,28.0,1.0,38.0,80.0,0.5,1011.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,50.501999999999995,7906.600098000001,5037.0,3869.5,4502.5,10318.5,136.5,1500.5,88.5,1126.5,9673.5,137.0,1528.5,133.0,6581.5,527.0,752.5,14.0,16995.0,17909.5,11374.5,2824.5,914.5,2804.0,1606.0,9151.5,166.0,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,8436.0,8076.5,22129.5,2957.0,4083.0,4019.5,10994.0,1588.5,4352.5,4057.5,11134.0,1368.0
9,Drug Related Incident (RA 9165),Gredu (Pob.),Panabo City,29.0,29.0,1.0,41.0,79.0,0.3,1011.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,50.501999999999995,7906.600098000001,1520.0,1328.0,2091.5,4692.0,49.5,610.5,14.0,293.0,3953.5,56.0,624.5,54.5,2689.5,215.5,307.5,6.0,6737.5,7100.0,4509.0,1120.0,362.5,1111.5,656.5,3740.0,66.0,159.6,183.7,140.6,143.7,137.5,2.4,0.713,5.687,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,3672.5,3333.5,8795.0,1200.0,1793.0,1649.0,4298.0,631.5,1880.0,1684.5,4496.0,569.0
