,city,barangay,placetype,land area sq km,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Not started","Education,Out of school youth","Education,Out of school youth,female","Education,Out of school youth,male","Education,Post baccalaureate","Education,Postsecondary","Education,Preschool","Education,Special education","Household,number of households","Household,total annual household expenditure","Household,total annual household income","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Housing,occupied housing,Commercial/industrial/agricultural,household","Housing,occupied housing,Commercial/industrial/agricultural,population","Housing,occupied housing,Duplex,household","Housing,occupied housing,Duplex,population","Housing,occupied housing,Institutional living quarter,household","Housing,occupied housing,Institutional living quarter,population","Housing,occupied housing,Multiunit residential,household","Housing,occupied housing,Multiunit residential,population","Housing,occupied housing,Not Reported,household","Housing,occupied housing,Not Reported,population","Housing,occupied housing,Others,household","Housing,occupied housing,Others,population","Housing,occupied housing,Single house,household","Housing,occupied housing,Single house,population","Labor,Employed","Labor,Employed,female","Labor,Employed,male","Labor,In the Labor Force","Labor,In the Labor Force,female","Labor,In the Labor Force,male","Labor,Not in the Labor Force","Labor,Not in the Labor Force,female","Labor,Not in the Labor Force,male","Labor,Underemployed","Labor,Unemployed","Labor,Unemployed,female","Labor,Unemployed,male","Marital Status,Common law/livein","Marital Status,Common law/livein,female","Marital Status,Common law/livein,male","Marital Status,Divorced/Separated","Marital Status,Divorced/Separated,female","Marital Status,Divorced/Separated,male","Marital Status,Married","Marital Status,Married,female","Marital Status,Married,male","Marital Status,Single","Marital Status,Single,female","Marital Status,Single,male","Marital Status,Unknown","Marital Status,Unknown,female","Marital Status,Unknown,male","Marital Status,Widowed","Marital Status,Widowed,female","Marital Status,Widowed,male",Population,"Population,00-01","Population,01-04","Population,05-09","Population,10-14","Population,15-19","Population,20-24","Population,25-29","Population,30-34","Population,35-39","Population,40-44","Population,45-49","Population,50-54","Population,55-59","Population,60-64","Population,65-69","Population,70-74","Population,75-79","Population,80 years and over ","Population,female","Population,female,00-01","Population,female,01-04","Population,female,05-09","Population,female,10-14","Population,female,15-19","Population,female,20-24","Population,female,25-29","Population,female,30-34","Population,female,35-39","Population,female,40-44","Population,female,45-49","Population,female,50-54","Population,female,55-59","Population,female,60-64","Population,female,65-69","Population,female,70-74","Population,female,75-79","Population,female,80 years and over ","Population,male","Population,male,00-01","Population,male,01-04","Population,male,05-09","Population,male,10-14","Population,male,15-19","Population,male,20-24","Population,male,25-29","Population,male,30-34","Population,male,35-39","Population,male,40-44","Population,male,45-49","Population,male,50-54","Population,male,55-59","Population,male,60-64","Population,male,65-69","Population,male,70-74","Population,male,75-79","Population,male,80 years and over ","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed"
0,Panabo City,A. O. Floirendo,urban,6.6,445.5,389.0,613.0,1375.5,14.5,1.0,179.0,114.5,65.5,4.0,85.5,0.0,1.0,1158.5,220134814.0,286175258.0,16.5,183.0,16.0,788.5,63.0,90.5,2.0,1.0,3.0,82.5,333.5,0.0,0.0,89.5,347.0,1.0,3.0,0.0,0.0,984.5,4296.5,1974.5,692.0,1282.0,2081.0,732.0,1349.0,1321.5,922.5,398.5,328.0,106.0,40.0,66.0,428.5,213.5,215.0,54.5,33.0,21.5,1630.0,816.5,813.5,1629.0,741.0,888.0,0.0,0.0,0.0,163.5,124.0,39.5,4982.0,108.5,435.5,531.5,503.5,473.5,455.5,441.5,391.0,341.0,285.5,254.5,216.0,192.0,151.0,88.5,51.5,33.0,27.0,2453.5,52.5,215.5,257.5,247.5,236.0,225.0,216.0,188.0,163.0,139.0,125.0,108.0,96.5,77.5,44.0,28.0,18.5,16.5,2528.5,56.0,220.5,274.5,256.5,237.0,230.0,226.0,204.0,178.0,146.0,129.5,108.5,95.5,73.5,45.0,23.5,14.0,11.0,325.5,192.0,1096.0,19.5
1,Panabo City,Datu Abdul Dadia,urban,7.88,532.0,465.0,732.0,1643.0,17.0,1.0,214.0,136.5,77.5,5.0,102.5,0.0,1.0,1384.5,263044756.0,341958182.5,20.0,219.0,19.0,942.0,75.5,107.5,2.0,1.0,3.0,99.5,398.5,0.0,0.0,107.0,414.0,1.0,3.0,0.0,0.0,1176.5,5134.0,2359.5,827.0,1532.5,2486.5,875.0,1611.5,1579.0,1102.5,476.0,392.0,127.0,48.0,79.0,512.0,255.0,256.5,65.0,39.0,26.0,1947.5,975.5,972.5,1946.5,885.5,1061.5,0.0,0.0,0.0,195.0,148.0,47.0,5953.5,130.0,521.0,635.5,601.5,565.5,544.0,528.0,467.5,408.0,341.0,304.0,258.5,229.0,180.0,106.5,61.5,39.0,32.5,2932.0,63.0,257.5,307.5,295.5,282.5,269.5,257.5,224.0,195.0,166.0,149.0,129.0,114.5,92.5,52.5,33.5,22.0,20.0,3021.5,67.0,263.5,327.5,306.5,283.5,275.5,270.0,243.5,213.0,175.0,155.0,129.5,114.5,87.5,53.5,28.0,17.0,13.0,389.0,230.0,1310.0,23.0
2,Panabo City,Buenavista,rural,1.09,73.5,64.5,101.5,227.0,2.0,0.0,29.5,19.0,11.0,1.0,14.0,0.0,0.0,191.0,36325877.0,47223640.0,3.0,30.0,3.0,130.0,10.0,15.0,0.0,0.0,0.0,14.0,55.0,0.0,0.0,15.0,57.5,0.0,0.0,0.0,0.0,162.5,709.0,325.5,114.5,212.0,343.0,120.5,222.5,218.0,152.5,65.5,54.0,17.5,7.0,10.5,70.5,35.0,35.5,9.0,5.0,4.0,269.0,134.5,134.5,268.5,122.5,146.5,0.0,0.0,0.0,27.0,20.5,6.5,822.5,18.0,72.0,87.5,83.5,78.5,75.5,73.0,64.5,56.5,47.0,42.0,35.5,31.5,25.0,15.0,8.5,5.0,4.5,405.0,9.0,35.5,42.5,41.0,39.0,37.0,35.5,31.0,27.0,23.0,20.5,18.0,16.0,13.0,7.0,5.0,3.0,3.0,417.5,9.0,36.5,45.0,42.5,39.0,38.0,37.0,33.5,29.5,24.0,21.0,18.0,16.0,12.0,7.0,4.0,2.0,2.0,54.0,32.0,181.0,3.0
3,Panabo City,Cacao,rural,1.63,109.5,96.0,151.0,339.0,4.0,0.0,44.0,28.0,16.0,1.0,21.0,0.0,0.0,285.5,54307186.0,70599341.5,4.0,45.0,4.0,194.5,15.5,22.0,0.0,0.0,1.0,20.5,82.5,0.0,0.0,22.0,85.5,0.0,1.0,0.0,0.0,243.0,1060.0,487.0,170.5,316.5,513.5,180.5,333.0,326.0,227.5,98.5,81.0,26.0,10.0,16.5,105.5,52.5,53.0,13.5,8.0,5.0,402.0,201.0,201.0,402.0,183.0,219.0,0.0,0.0,0.0,40.5,30.5,10.0,1229.0,27.0,107.5,131.0,124.5,116.5,112.5,109.0,96.5,84.5,70.5,62.5,53.5,47.5,37.0,22.0,13.0,8.0,7.0,605.5,13.0,53.0,63.5,61.0,58.5,55.5,53.5,46.5,40.0,34.5,31.0,26.5,24.0,19.0,11.0,7.0,5.0,4.0,623.5,14.0,54.5,67.5,63.5,58.5,56.5,55.5,50.5,44.0,36.0,32.0,27.0,23.5,18.0,11.0,6.0,4.0,3.0,80.5,47.5,270.5,5.0
4,Panabo City,Cagangohan,urban,18.74,1266.0,1106.0,1741.5,3907.5,41.0,2.0,508.5,324.5,185.0,12.0,244.0,1.0,2.0,3292.0,625531600.5,813191080.5,46.5,520.0,45.5,2240.0,179.0,256.0,5.0,2.0,7.0,235.5,948.0,0.0,0.0,254.5,985.0,2.0,8.0,0.0,1.0,2798.5,12208.0,5610.5,1966.5,3644.0,5913.0,2080.5,3832.0,3755.0,2622.5,1133.0,932.5,302.0,114.0,188.0,1217.0,606.5,610.5,155.0,93.5,61.5,4632.0,2319.5,2312.5,4629.5,2105.5,2524.0,1.0,1.0,0.0,464.5,352.5,112.0,14157.0,309.5,1238.5,1510.5,1431.0,1344.5,1294.0,1255.0,1112.0,969.5,811.0,723.0,614.5,545.0,428.5,252.5,147.0,93.5,77.5,6971.0,150.0,612.0,731.0,702.5,671.0,639.5,613.5,533.0,463.5,395.5,355.0,307.0,273.5,221.0,125.5,79.5,52.5,47.0,7185.5,159.5,626.5,779.0,729.0,674.0,654.0,642.5,579.0,506.5,415.5,368.0,307.5,271.5,208.0,127.5,67.0,40.5,30.5,926.0,546.5,3114.5,54.5
5,Panabo City,Consolacion,rural,2.38,160.5,140.0,221.0,495.5,5.0,0.0,64.5,41.0,23.5,1.5,31.0,0.0,0.0,417.5,79326634.0,103124623.5,6.0,66.0,6.0,284.5,23.0,32.5,1.0,0.0,1.0,30.0,120.5,0.0,0.0,32.0,125.0,0.0,1.0,0.0,0.0,355.0,1548.5,711.5,249.5,462.0,750.0,264.0,486.0,476.0,332.5,143.5,118.0,38.0,14.0,24.0,154.0,77.0,77.5,20.0,12.0,8.0,587.5,294.5,293.5,587.0,267.0,320.0,0.0,0.0,0.0,59.0,44.5,14.0,1795.5,39.0,157.0,192.0,181.0,170.5,164.0,159.0,141.0,123.0,102.5,91.5,77.5,69.0,54.5,32.0,19.0,12.0,10.0,884.0,19.0,77.5,92.5,89.5,85.5,81.5,77.5,67.5,58.5,50.0,45.0,39.0,34.5,28.0,16.0,10.0,7.0,6.0,911.0,20.0,79.5,98.5,92.5,85.5,82.5,81.5,73.5,64.5,52.5,46.5,39.0,34.5,26.5,16.0,8.5,5.0,4.0,117.5,69.5,395.0,7.0
6,Panabo City,Dapco,rural,5.53,374.0,326.5,514.5,1154.0,12.0,1.0,150.0,95.5,54.5,3.5,72.0,0.0,1.0,972.0,184717084.0,240132209.5,14.0,153.5,13.0,661.5,53.0,75.5,1.0,1.0,2.0,69.5,279.5,0.0,0.0,75.5,290.5,1.0,2.0,0.0,0.0,826.5,3605.0,1657.0,581.0,1076.0,1746.0,614.0,1131.5,1109.0,774.0,334.5,275.5,89.5,34.0,55.5,359.0,179.0,180.0,45.5,27.5,18.0,1367.5,685.0,682.5,1367.5,621.5,745.0,0.0,0.0,0.0,137.0,104.5,33.0,4180.5,91.5,366.0,446.0,422.5,397.0,382.0,371.0,328.0,286.5,239.5,213.5,181.0,161.0,126.5,74.5,43.5,27.5,23.0,2058.5,44.0,181.0,216.0,207.5,198.0,189.0,181.0,157.5,136.5,116.5,104.5,90.5,80.5,65.5,37.0,23.5,15.5,14.0,2121.5,47.0,185.0,230.0,215.0,199.0,193.0,190.0,171.0,149.5,122.5,108.5,90.5,80.5,61.5,37.5,20.0,12.0,9.0,273.5,161.5,920.0,16.5
7,Panabo City,Gredu (Pob.),urban,22.51,1520.0,1328.0,2091.5,4692.0,49.5,3.0,610.5,390.0,222.5,14.0,293.0,1.0,3.0,3953.5,751173726.5,976525845.0,56.0,624.5,54.5,2689.5,215.5,307.5,6.0,2.0,9.0,282.5,1138.0,0.0,0.0,305.5,1182.5,2.0,9.0,0.0,1.0,3360.5,14660.0,6737.5,2361.5,4376.0,7100.0,2498.5,4601.5,4509.0,3149.0,1360.5,1120.0,362.5,137.0,225.5,1461.0,728.0,733.0,186.0,112.0,73.5,5562.0,2785.5,2776.5,5559.5,2528.5,3030.5,1.0,1.0,1.0,558.0,423.5,134.5,17000.5,371.5,1487.0,1814.0,1718.5,1615.0,1553.5,1507.5,1335.0,1164.5,974.0,868.0,738.0,654.5,515.0,303.5,176.0,112.0,93.5,8371.5,180.0,735.0,878.0,843.5,805.5,768.5,736.0,640.5,556.0,475.0,426.0,368.0,328.0,265.5,150.5,95.5,63.5,56.5,8629.0,192.0,752.0,936.0,875.0,809.5,785.5,771.0,695.0,608.5,499.0,441.5,369.0,326.5,249.5,153.0,80.5,49.0,37.0,1111.5,656.5,3740.0,66.0
8,Panabo City,J.P. Laurel,urban,8.93,602.5,527.0,829.5,1861.0,20.0,1.0,242.0,154.5,88.5,6.0,116.5,0.0,1.0,1568.0,297917598.0,387292877.0,22.0,247.5,21.5,1067.0,85.5,122.0,2.0,1.0,3.0,112.5,451.5,0.0,0.0,121.0,469.5,1.0,4.0,0.0,0.0,1332.5,5814.5,2672.0,936.5,1736.0,2816.0,991.0,1825.0,1788.5,1249.0,539.5,444.5,144.0,54.0,89.5,579.5,288.5,290.5,73.5,44.5,29.0,2206.0,1105.0,1101.0,2205.0,1002.5,1202.5,1.0,0.0,0.0,221.0,168.0,53.5,6742.5,147.5,590.0,719.0,681.5,640.5,616.5,598.0,529.5,461.5,386.0,344.0,292.5,259.5,204.0,120.5,69.5,44.5,37.0,3320.0,71.5,291.5,348.0,334.5,319.5,304.5,292.0,253.5,220.5,188.0,169.0,146.0,130.0,105.5,59.5,38.0,25.0,22.0,3422.5,76.0,298.5,371.0,347.0,321.0,311.5,305.5,275.5,241.5,198.0,175.0,146.5,129.5,99.5,60.5,32.0,19.0,14.5,441.0,260.5,1483.0,26.0
9,Panabo City,Kasilak,urban,3.79,256.0,223.5,352.0,790.5,8.0,0.0,102.5,65.5,37.5,2.0,49.5,0.0,0.0,666.0,126550273.5,164515356.0,9.5,105.5,9.0,453.5,36.0,52.0,1.0,0.0,1.0,47.5,192.0,0.0,0.0,51.5,199.0,0.0,2.0,0.0,0.0,566.0,2469.5,1135.0,398.0,737.0,1196.0,421.0,775.0,760.0,530.5,229.0,188.5,61.0,23.0,38.0,246.5,122.5,123.5,31.0,19.0,12.0,937.0,469.5,467.5,936.5,426.0,510.5,0.0,0.0,0.0,93.5,71.5,23.0,2864.0,62.5,250.5,305.5,289.5,272.5,261.5,254.0,225.0,196.0,164.0,146.0,124.5,110.5,86.5,51.0,30.0,19.0,16.0,1410.5,30.0,124.0,148.0,142.0,135.5,129.5,124.0,107.5,93.5,80.0,71.5,62.0,55.5,44.5,25.5,16.0,11.0,9.5,1454.0,32.0,126.5,158.0,147.5,136.5,132.5,130.0,117.0,102.5,84.5,74.5,62.5,55.0,42.0,26.0,14.0,8.0,6.0,187.5,110.5,630.5,11.0
