,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Cloud,Humidity,Precip (mm),Pressure (mb),Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal,php-usd-rate,PSE-index-Close,"Education,Baccalauate graduate","Education,College undergraduate","Education,Elementary","Education,High school","Education,No grade completed","Education,Out of school youth","Education,Post baccalaureate","Education,Postsecondary","Household,number of households","Housing,dwelling tenure status,Own house rent lot","Housing,dwelling tenure status,Own house rent,free lot with consent of owner","Housing,dwelling tenure status,Own house rent,free lot without consent of owner","Housing,dwelling tenure status,Own or owner,like possession of house and lot","Housing,dwelling tenure status,Rent house/ room including lot","Housing,dwelling tenure status,Rent,free house and lot with consent of owner","Housing,dwelling tenure status,Rent,free house and lot without consent of owner","Labor,Employed","Labor,In the Labor Force","Labor,Not in the Labor Force","Labor,Underemployed","Labor,Unemployed","Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed",Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,Weather_Clear,Weather_Cloudy,Weather_Rainy,day_night_daylight,day_night_nighttime,placetype_rural,placetype_urban,Children Population,Teenage Population,Adult Population,Retiree Population,Female Children Population,Female Teenage Population,Female Adult Population,Female Retiree Population,Male Children Population,Male Teenage Population,Male Adult Population,Male Retiree Population,crime_label
Temp (deg celsius),1.0,0.7837398973632576,0.1449753647915128,-0.24260252642567937,-0.7108765133254695,-0.1600841306506393,-0.14969688475390103,-0.012425234374515107,0.02702389819912336,,,0.014137492338126124,0.0409346231859688,0.04924245963539049,0.0272014135374101,0.04550344919937367,0.05115247941908026,0.002029996021265149,0.029610958671180652,0.05754820793477658,0.03814015113474911,-0.038853149855638223,0.005077822352601468,0.07880536881546936,-0.02765828135444929,-0.04473899738979946,0.03286496340351731,0.05298899820836745,0.010186300174691312,0.011446325442126737,0.06672891903792925,-0.021042550736779894,0.03351049474922685,0.005070325437008019,0.07290729415049436,0.0595537320735951,0.03257731454114118,0.023872901586478208,0.022005888021758534,0.05331448095528457,-0.032635258591267625,0.04312407278059017,0.036655280439527704,-0.012971344990455552,0.050260772617911995,-0.026938480799029173,-0.027755584643609672,-0.16159407382021673,-0.05734488873180325,-0.05998704282380685,-0.059991455031958484,-0.05998223357997741,-0.05997906925592172,-0.060045893216341274,-0.05998607972132724,-0.05967063358974325,-0.059987117661953616,-0.059980370053613716,-0.05980264065134594,-0.059986738533838894,-0.05985147938195474,-0.05997336660158274,-0.05995466063530728,-0.05995127012468853,-0.06088279157452735,-0.059982308238006425,-0.059980585656012324,-0.05998361188240305,-0.059986781161934746,-0.059929300333768185,-0.0599724071731019,-0.05998184200641074,-0.05998496571503267,-0.06008646986729392,0.2634818166569937,0.2643652029223834,0.26744530293759256,0.2459543463988376,0.25693767950324276,-0.26841036872909113,-0.21783737088493896,-0.11789756377229799,-0.4410700740020155,0.2073537053288327,0.4574540191956437,-0.15706763804595678,-0.10299389624381912,0.22858521892830014,-0.03392558101297257,-0.037399708193976984,0.025829389785682937,-0.03791707287272499,0.06372799054536574,-0.01909887757160612,0.03828733931140314,0.22870669249466913,-0.02988156907221406,-0.1700151784725481,0.5946761963660724,-0.5946761963660724,-0.0172793071125066,0.017279307112506602,-0.05998074817339964,-0.059975073773347654,-0.05997934966704454,-0.05998270094875394,-0.059998579487809095,-0.059988458044528965,-0.05999316190518624,-0.059981257318917666,-0.05997896825453012,-0.059997563500608905,-0.05998410405549838,-0.059962236221596854,-0.030438179055658213
Feels Like (deg celsius),0.7837398973632576,1.0,0.3603528927153202,-0.03626634492074435,-0.9008212165615261,-0.08453575324241992,-0.2719296596646268,0.011384651379019214,0.05254445842742027,,,0.013666034418329453,0.06545346764616357,0.056870072362890454,0.020007346232505854,0.047020205022219666,0.05892020249689394,0.01365033193415619,0.05933753460036118,0.05347911385968141,0.06895009534312481,-0.03790833518635192,0.017034127541792187,0.07552915628484987,-0.04081146928377594,-0.03740180402646533,0.05700119762621707,0.05525624238598486,0.012819136809513274,-0.022029247963824,0.0718710373352678,0.0033132171816813833,0.043444778188408036,0.01888398114785431,0.06435978083113686,0.08136321702711245,0.03583262266969034,0.004044955417809153,0.0018821644786208545,0.02383541909253355,-0.06245044849971206,0.07184519844949949,0.018455908363104127,0.024410553632848695,0.050109493434493925,-0.021235702489534335,-0.019193565566674675,0.0810342021847786,-0.1751981816530765,-0.06343515220456768,-0.06344515842344133,-0.06343462372957828,-0.06342508750802686,-0.06340264482719837,-0.06341832503664145,-0.06321264507290296,-0.06343097590522147,-0.06343143888331483,-0.06335402738073329,-0.0634107282518499,-0.06332297387735071,-0.06342393213044624,-0.06345304511002403,-0.06339682915200771,-0.06514273251002559,-0.06343260802852248,-0.06343114103227178,-0.06343380043277115,-0.06344451451222159,-0.0633730036480871,-0.06341656932222647,-0.06343021835100467,-0.0634342829115803,-0.06350944195639815,0.02681391094971428,0.048870997664429164,0.030991889273105238,0.02493297345759109,0.04023933209423179,0.00999656330487528,0.045819590462952,0.08107624802800725,-0.4698254911402423,0.35560394861083466,0.5607075013705937,-0.3469888906977255,-0.07072136727772929,0.1712580649508935,-0.010554195295163514,-0.019846905087969168,0.02358011876491245,-0.018418673383665093,0.022651213761469533,-0.002923287113553062,0.006379446260744579,-0.030281493433648787,0.095251176199299,-0.092367904341928,0.615023219842667,-0.615023219842667,-0.022989847576713775,0.022989847576713875,-0.06343191931740218,-0.06342149709631029,-0.06342552051402474,-0.06343719097838324,-0.06344239844833517,-0.06343949642967923,-0.06343544312456002,-0.063411400220451,-0.06343195855102701,-0.06344992788451138,-0.06344096418427245,-0.06339419889110717,0.011412540279609147
Wind (km/h),0.1449753647915128,0.3603528927153202,1.0,0.06136418101758599,-0.39700741451957205,0.06971221313358202,-0.1512936120892862,0.023434648803611912,0.055518370825444585,,,-0.0044735559475167705,0.07994019382027581,0.0312542195356803,0.003972583272442719,0.05743526826254062,0.024127770161305576,0.08819472998321348,0.07244533127081072,-0.03880425917709003,0.08307520407831258,0.005385169845628762,0.017066746879494235,0.02311556233438669,-0.01311715708143204,-0.02994668848090795,0.033051027911418826,0.035843248028723185,0.005149550465966743,-0.05513455250570967,0.06691976947205482,0.017094247669406967,-0.0019984636928208565,-0.010945879810108616,0.02793780602505519,0.06198714856773529,0.04216128045528313,0.03731996793829381,0.010332436766934697,0.029519422507999937,-0.01906984875193886,0.08559576961168938,-0.008639293184363203,0.05704705536980661,-0.013061088386702745,-0.007160658032177132,-0.04956795599518354,0.06275981554357062,0.07974711805088533,-0.028410252142076323,-0.02841714920051726,-0.02840730200414766,-0.02839946545961433,-0.028510889830997005,-0.02839578233905477,-0.028380189435176485,-0.02838970039958296,-0.028406097740975782,-0.02842004104077255,-0.02836698146269639,-0.028331314724410476,-0.028402942655701428,-0.028424003791165654,-0.028339018810318795,-0.030272276812705515,-0.028405518171841372,-0.028403721186208854,-0.02840601983423594,-0.028419762875567498,-0.02837427156085951,-0.028389228560941004,-0.02839746314041176,-0.028401900186494293,-0.028512517147539978,-0.15433838552035625,-0.16200888346219255,-0.15949756439375806,-0.1528951776789224,-0.15520237798623923,0.10997323460869837,0.10324526187555745,0.03880806838447496,-0.3140650175471756,0.2776753670414471,0.2573370761910863,-0.2339021504052279,0.0060147153798472365,0.12222601834602505,-0.017397703224088835,0.01647120885499515,-0.03350381853619115,0.0558339863265322,-0.08660714130365306,0.07776501876044824,-0.022447028295360615,-0.10934696572031999,0.054987564559349375,0.030071032364592375,0.29309636501832986,-0.2930963650183298,0.03031803715423093,-0.030318037154230894,-0.028400597250255746,-0.02839430633224538,-0.028395847174592384,-0.028417675807350083,-0.028401926858504786,-0.02839753683126753,-0.028401671602379736,-0.028361315780651996,-0.02839195564145891,-0.028418880430901697,-0.02841298788345767,-0.028356670418671886,0.053721874550914074
Cloud,-0.24260252642567937,-0.03626634492074435,0.06136418101758599,1.0,0.1201155265952185,0.3260123949743242,-0.1332766225818695,0.029213501185336957,0.015584595201952002,,,0.011815716529854406,0.0241252029518756,0.07588672253718826,-0.010715995849034455,-0.03415331084829883,-0.04748764123546412,0.027313126724717186,-0.020563696858799628,-0.0090277057952703,-0.025081000164951593,-0.051221048943279696,-0.02439888102312555,-0.0010569803689061783,-0.04850229520590838,-0.043630100808427205,0.02197119551952472,-0.013184699891343634,0.00965812695258239,-0.04147785980728257,-0.016599250719415825,-0.014955427360004532,-0.03286156106691406,0.02777072007232914,0.018010727888222475,0.002215450296274169,-0.056139316613767566,-0.016640435432893813,-0.06677931959744618,-0.043583755930784465,0.009965641506921225,0.04702881841788552,-0.005018558017684762,0.05487632196055846,-0.010747974222696539,-0.028712500051602117,0.03679538316110236,0.036102173061941446,0.06545518746649642,0.01646860614675355,0.016466813661113036,0.016469157697772487,0.016471030034733877,0.016346894359737872,0.01646694263218638,0.016444896253204614,0.01646727554749126,0.016472409093611966,0.01636060547933114,0.016482103209457432,0.016546131351945513,0.01647087288495726,0.016448007742941143,0.016477944278484764,0.015817914552180956,0.016470332525710042,0.01647179503356704,0.016471677727141035,0.01646858017272782,0.01647066392619398,0.016472429182565744,0.01646610231826754,0.016471831441333754,0.016495811377722193,-0.19780571861514967,-0.19390946526524755,-0.19999890604484186,-0.20292009208899933,-0.21003464080610723,0.09533402799688581,0.05876610688149198,0.007950887578222104,-0.0023519120249905143,0.19004189648697098,-0.011299986211854185,-0.1622975569688526,0.07127683339371352,-0.11061566932901593,-0.010997137970318026,-0.01087032441459867,0.004658742940588641,0.021485403503483123,-0.04114803011138913,0.00298477654920329,0.030112829860812707,-0.4507706169761312,0.07458550885528942,0.3153488140835901,-0.0818926935893755,0.0818926935893755,0.06277636432745211,-0.06277636432745202,0.016473403485324476,0.01647290780033781,0.016473211823344044,0.016468258241018933,0.016473983957992544,0.016472719963762653,0.016471243728223957,0.0164937393626333,0.016476181915792847,0.01647393688382865,0.016466086377941835,0.016493337930638403,0.06414951653588115
Humidity,-0.7108765133254695,-0.9008212165615261,-0.39700741451957205,0.1201155265952185,1.0,0.17838464205607066,0.22928329528849375,-0.005857064681224481,-0.011930881414395895,,,0.003932963145185694,-0.049066753873691735,-0.04304704758575731,-0.00017591935756453784,-0.0320411193615932,-0.06755719173555749,-0.008264603869388595,-0.05709430060593538,-0.053624708448143515,-0.06510481649455677,0.01678165925784737,-0.045393404187110305,-0.0707662665390662,0.004451009570770892,0.010787779020230908,-0.06265418248066684,-0.04225463997362973,0.012872577980824843,0.03931447856642123,-0.0823877010906027,-0.021819366539208705,-0.052797555016311046,-0.0014386868099922092,-0.08141064273670989,-0.06475612821469078,-0.003214742459523724,0.004648515777698279,0.0071247776293938475,-0.025883404151646024,0.06786363029143883,-0.054713545129189,0.00202643733327473,-0.012354775402589922,-0.05201364411025989,0.02043912584159011,0.008584888906162352,-0.2664019449576664,0.29103507415678287,0.03935578300866002,0.039364129686594654,0.03935661114766461,0.03934735532446697,0.039289712691529255,0.03934045739369914,0.039242972224377025,0.039349337752196935,0.039353298370077845,0.03929571613109061,0.03932731997073218,0.039316322023195405,0.039347208391623735,0.039355651184403644,0.03932167679523249,0.04143427711089164,0.03935414825649127,0.03935280874085205,0.03935487934551149,0.039366453769431924,0.03930729192798843,0.03933896788457866,0.039352020597981444,0.03935475962146277,0.03941891344766801,0.06631010967150756,0.011525041681718815,0.06050388643804967,0.056451441411475074,0.03531408835582002,-0.19680172848490288,-0.19113010819661452,-0.2387333398648141,0.4661244767390372,-0.29541445669823985,-0.5805867565120855,0.3043374807274261,0.09456160214235441,-0.19729612552379508,0.008934114874100743,0.01012129148852618,-0.02218122535014892,-0.01648797211327115,-0.01975000662422656,0.03598385542711764,0.003402424509301237,0.04082901394012056,-0.19761191102585354,0.21159609404304375,-0.6302083572722448,0.6302083572722449,0.03316306223049456,-0.03316306223049458,0.03935343290091541,0.03934298250761813,0.03934731132967707,0.03935805932693419,0.03936213539192575,0.039358863586174395,0.03935406892498332,0.039338621580800225,0.039355092730366616,0.03937108582275895,0.03936048431509852,0.03931169047268241,-0.041388776076745
Precip (mm),-0.1600841306506393,-0.08453575324241992,0.06971221313358202,0.3260123949743242,0.17838464205607066,1.0,-0.11735740637003647,-0.03551385201042388,-0.019242521534925262,,,0.005357329589694108,-0.01478445461174089,0.043285333769451095,-0.046419768529442934,-0.02150022378444825,-0.039699178834605,0.0016952959189163801,-0.012280356033992973,-0.029350726603295522,-0.026473135477475502,-0.0017541285259296893,-0.04628760526539379,0.010522774199232655,-0.058737419702449466,-0.05180883908657201,-0.03391307099597958,-0.014693075060449657,-0.036473148826878354,-0.008160445841136931,-0.025820430265982405,-0.038247243430506825,-0.030942632977064993,-0.002182855694750936,-0.01953177806248613,-0.01866217816897127,-0.018386578994731347,0.07378342136075094,-0.01219261008728834,0.0030666442609483878,0.04015896054513726,-0.004321215560077427,0.004624319219556501,-0.020200204135681486,-0.03231390422635077,-0.029796774382956717,-0.0031469399638568915,-0.12137446410626142,0.1566934318369254,-0.007656504485417358,-0.007655481688096365,-0.007653735074366832,-0.007659064421003812,-0.007778443796031915,-0.007665450915775158,-0.007461037792916775,-0.007660792214158534,-0.007656354227329822,-0.007569666918651855,-0.0076787472067793355,-0.007605191382323,-0.007656931745532922,-0.007636281842782752,-0.007637455510390011,-0.005868545536853342,-0.007655343163724151,-0.007655820391445982,-0.0076561505426134355,-0.007644720724365992,-0.007678446016382856,-0.007657844900038025,-0.007665149521702053,-0.007658716369945921,-0.007710358354597533,-0.028400303749633232,-0.05949002289151326,-0.032326185855191404,-0.031756133494019186,-0.04240397472378045,-0.04057465853217866,-0.005507532399614641,-0.05730845096934262,-0.05791715189470488,0.08108043543785043,-0.04261243176579737,0.00689297756602546,0.05991798527082276,-0.056662211574855015,-0.001246859222540869,0.020673107030865782,-0.00013694198310106428,-0.019681779631516187,0.011911305428412178,0.020655213734578185,-0.03102176499029127,-0.07433561940119765,-0.23583350506234596,0.36423569024742447,-0.07120182876472658,0.07120182876472661,0.010007317533549172,-0.010007317533549148,-0.007656135324368911,-0.007663339406738998,-0.007658757248166548,-0.007652794862581692,-0.007659919427067965,-0.007651861279165837,-0.0076587249938096045,-0.007661293230379702,-0.0076482010182221125,-0.007652223005866281,-0.0076545608198335165,-0.007657005697841604,0.040577617157765235
Pressure (mb),-0.14969688475390103,-0.2719296596646268,-0.1512936120892862,-0.1332766225818695,0.22928329528849375,-0.11735740637003647,1.0,-0.025947004839726222,0.012641189796524156,,,-0.032919512166971136,0.023459798470539396,-0.07732569836580883,-0.029405396913194652,0.030547207549689464,0.0029146373128997372,-0.06249526040111818,-0.02796399252686419,0.021501427218227603,0.036970415382085946,-9.929295464526704e-05,-0.01280385197351895,-0.06213840595538983,-0.021655395745771282,-0.019143847406380362,0.0168290789667797,0.001727143805687971,-0.004914762383844928,0.027507230795939662,-0.06905225686751118,0.03765672109537527,0.023838623036690605,-0.029746051577172816,-0.010983382423581533,-0.018392159406795047,0.06753485247535826,0.029135021943126903,0.0437009633891043,0.058559775555928825,0.013653740069609087,0.024549481960841647,-0.02492728497747562,0.006859394725059225,0.011652063485274677,-0.0325876782847126,-0.036096102311200105,0.04738978183855618,-0.10887463554853827,-0.017631108024554868,-0.017628522793307774,-0.017626381717395497,-0.017626993007299318,-0.017648154710736406,-0.01763650155803949,-0.017406902525378652,-0.017637896158634883,-0.017624897313088746,-0.017437207885647506,-0.017638252316099275,-0.017561831625612128,-0.017624652520032043,-0.017678785485385345,-0.017609945854418888,-0.017092254376013485,-0.01762601777535265,-0.017626714447030588,-0.01762724140337506,-0.01762882191970067,-0.017614236233899676,-0.01763191385023269,-0.017625002177949687,-0.017627051694012567,-0.01758218849677027,-0.022020630425915188,-0.020353899813257498,-0.016221180462657542,-0.025490664956522528,-0.021197948722290794,0.009282072282918255,-0.11272217047276156,-0.11420450153719444,0.17784607654385662,-0.33402999926237487,-0.1477623761925953,0.07136509848304225,0.0331596255722917,0.1762270116680157,-0.008671767450755907,0.010341742569228563,0.03973870542648659,0.011622178656677262,-0.10155800117261722,-0.04151745121964591,0.08781330270321734,0.06663986351300559,0.020345006188091305,-0.08609511502706928,-0.03971703136675097,0.03971703136675096,0.007690059341974296,-0.007690059341974286,-0.0176303831197755,-0.01762545966432469,-0.017627622062165227,-0.017627801379277712,-0.017622298329691595,-0.017632082736989643,-0.01762858665862078,-0.017624898822384244,-0.017618585547143188,-0.017622449916507847,-0.017627800403945553,-0.01765839154000961,-0.03729266234315285
Bank,-0.012425234374515107,0.011384651379019214,0.023434648803611912,0.029213501185336957,-0.005857064681224481,-0.03551385201042388,-0.025947004839726222,1.0,0.21909554648982463,,,-0.07499320707869969,0.40099470374755386,0.22783496604584866,0.4753747759741442,0.40958057215754456,0.39307512149378626,0.02456583795809656,0.3632257982400967,0.19108604982869748,0.4516809769222319,0.24011468105280512,0.46498273687551556,0.15708395774905984,0.05363330985475649,0.020209111507175304,0.39478409874024495,0.5211556043767814,0.4152001830506211,-0.04163253519950393,0.4862764096320073,0.5463175112819296,0.4622713604341515,0.2152281033634466,0.26232109671260134,0.536685845541952,0.35233238277040657,0.40465069907185747,0.3646268894093398,0.3136432884766232,-0.1937402678632057,0.5308822581858773,-0.0590626199362629,0.2557921856817156,0.20544962492682203,0.09956314045450378,0.3388758839849988,-0.0934154082838943,0.06903609799385955,-0.31214147451122726,-0.3121254503245339,-0.3121548937691741,-0.31213299679170725,-0.3108303159609499,-0.31214333922044146,-0.3121757166141038,-0.3121649808352427,-0.3121289071161218,-0.31187834342813797,-0.3121581011050055,-0.31282242303294067,-0.3121267964057194,-0.3120405990079471,-0.3121631361374223,-0.3159781630839208,-0.31213758793452234,-0.31213731765550845,-0.31213873193159114,-0.31216967275511937,-0.3121586940156764,-0.31220555631420044,-0.31215516795305503,-0.3121466601248976,-0.3113323656654535,0.03954631935876287,0.031069713388010303,0.03872728860383631,0.03527955706432732,0.030817287050405665,-0.07543050239729984,-0.06860833942698324,-0.06606133601103911,-0.008870625127363608,-0.0310563639290378,0.05755728505414722,-0.05544983660756782,0.021911589620077016,0.029935708979417584,-0.0612527099642988,0.01411578089406272,-0.037228201591213705,-0.0020433415941359155,0.030548739522861666,0.01595894092826738,0.03001347014429916,-0.02174594201142123,0.021047457932597467,-0.006743954490292665,0.016752490911878082,-0.016752490911878092,-0.08767526315428942,0.08767526315428945,-0.3121547633308696,-0.31211706962461055,-0.3121388597987996,-0.3120965474340065,-0.3121674627421274,-0.31217909971842706,-0.31212728833207365,-0.3123572484894812,-0.31219502143698513,-0.31213919040916716,-0.31211455436765934,-0.31234532474968874,0.04072355130098713
Bar,0.02702389819912336,0.05254445842742027,0.055518370825444585,0.015584595201952002,-0.011930881414395895,-0.019242521534925262,0.012641189796524156,0.21909554648982463,1.0,,,-0.045428115453667636,0.36737806926722527,-0.014618337827574313,0.26445965218194933,0.2472056268348498,0.3412756011226625,0.27232929940158657,0.18018330112628875,0.028423531606004315,0.40351096979956125,-0.06247280381420619,0.14494898708977222,-0.0651276534436887,0.0009696713515271586,-0.15889318946470093,0.2913677549346037,0.12028324414225262,0.1701172880570942,-0.0252194523923639,0.050544587931547716,0.2670055704047278,0.30112177390563827,-0.005737305976598892,-0.043957665155912866,0.3478978514455129,0.3633450051354585,0.16923064753843953,0.32905913557440264,-0.009632750519953772,-0.1214526659354512,0.4256667579174699,-0.03577795405715804,0.3360556479006693,0.009852694789264607,-0.06699283927154522,-0.06902488060811854,-0.0397533225712687,0.0030401030277232444,-0.24473427377569815,-0.2447219242950073,-0.24471829144404,-0.24470364667472255,-0.24454682041303308,-0.24471208695162897,-0.2437099748550543,-0.2447192074762616,-0.24469881343738692,-0.2441036299327319,-0.2447247864546178,-0.24449368769271673,-0.2446935761279766,-0.24464768084940516,-0.24457356787172885,-0.24768812646129515,-0.24471201290222047,-0.24470492362850255,-0.24471350157626373,-0.24473905906382162,-0.24467063442927603,-0.2447448098335583,-0.24473055837622704,-0.24471394467136068,-0.24439794232483425,0.04153449150158237,0.03291707327388848,0.04189065247579488,0.04186798764449057,0.04115348718438386,-0.043973710879774426,-0.03410788968401186,-0.03438868888896327,0.007258392605155527,-0.014552858960207407,0.020571353530294524,-0.04929799001584733,0.009870889257454137,0.03325194638149144,-0.010423972416221203,0.02706632589688052,-0.010901892987617647,-0.005075379515554751,-0.01750058113582269,-0.006167179336154243,0.021076278003548974,0.0036440105253343893,-0.026212837811413262,0.029676293289231714,0.07037478151143256,-0.07037478151143259,-0.06276578662907636,0.06276578662907642,-0.2447182097605968,-0.2446815354448602,-0.24470187630629345,-0.24472321124776816,-0.2447387940722324,-0.24473461441612196,-0.24472484765868152,-0.24475842325945954,-0.24469929500094031,-0.24471958676963138,-0.24471687291319605,-0.24477883431511538,0.00857554473203231
Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
