lat,lng,1_nearest_feature,1_nearest_feature_distance,2_nearest_feature,2_nearest_feature_distance,3_nearest_feature,3_nearest_feature_distance,4_nearest_feature,4_nearest_feature_distance,5_nearest_feature,5_nearest_feature_distance,Bank,Bar,Beach,Bridge,Cemetery,Church,Clinic,Commercial Building,Community Center,Convenience Store,Fire Station,Gas Station,Government Office,Greenfield,Highway,Highway Pedestrian,Highway Primary,Highway Residential,Highway Secondary,Highway Tertiary,Hospital,Hotel,Industrial Building,Mall,Marketplace,Park,Parking Area,Pawnshop,Pharmacy,Police Station,Post Office,Private Office,Recreational Area,Residential Building,Restaurant,Road,School,Sports Center,Tourist Attraction,Transport Terminal
7.44808,125.808,Highway Primary,10,Highway Tertiary,10,Clinic,30,Commercial Building,40,Gas Station,50,160,-,-,-,-,70,30,40,190,-,-,50,-,60,190,190,10,90,-,10,120,70,-,60,-,-,-,-,150,-,-,-,-,-,150,-,-,-,-,-
7.44675,125.803,Highway Tertiary,10,Private Office,20,Church,70,Park,70,Restaurant,70,120,130,-,-,-,70,-,110,-,190,-,-,-,100,-,160,-,100,-,10,160,-,-,-,170,70,-,-,190,160,-,20,-,-,70,-,100,-,-,-
7.44897,125.803,Highway Tertiary,30,Highway Pedestrian,40,Greenfield,60,School,60,Commercial Building,70,120,-,-,-,-,-,-,70,80,-,-,140,-,60,160,40,-,110,-,30,70,-,-,180,100,200,-,-,190,-,180,90,130,-,130,-,60,-,90,-
7.45982,125.818,Highway Residential,40,Highway Tertiary,40,Gas Station,90,Highway Pedestrian,120,Highway,130,-,-,-,-,-,170,-,-,-,-,-,90,-,160,130,120,-,40,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,180,-,-,-
7.46016,125.818,Highway Residential,20,Highway Tertiary,60,Gas Station,130,Highway Pedestrian,140,Highway,150,-,-,-,-,-,190,-,-,-,-,-,130,-,200,150,140,-,20,180,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,160,-,-,-
7.30998,125.665,Commercial Building,10,Highway Residential,50,Highway Tertiary,60,Highway,70,Residential Building,160,-,-,-,-,-,-,-,10,-,-,-,-,-,-,70,-,-,50,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-
7.09953,125.708,Highway Secondary,30,Commercial Building,110,School,110,Residential Building,150,-,-,-,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,-,110,-,-,-
7.44707,125.804,Park,0,Commercial Building,40,Highway Tertiary,40,Police Station,50,Church,70,110,150,-,-,-,70,-,40,200,80,-,-,-,170,-,90,-,200,-,40,180,170,-,-,150,0,-,-,80,50,170,120,-,-,160,-,180,-,-,-
7.44624,125.801,Greenfield,60,Highway Residential,60,Highway Tertiary,80,Church,120,Commercial Building,120,-,150,-,-,-,120,-,120,-,-,-,-,-,60,-,-,-,60,-,80,-,170,-,-,-,-,-,-,-,-,-,-,-,-,180,-,140,-,-,-
7.43154,125.8,Highway Residential,50,Residential Building,180,School,190,Commercial Building,200,-,-,-,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-,-,190,-,-,-
7.29781,125.675,Commercial Building,10,Highway Residential,10,Highway Tertiary,40,School,50,Road,150,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,10,-,40,-,200,-,-,-,-,-,-,-,-,-,-,-,160,-,150,50,-,-,-
7.44484,125.804,Highway Tertiary,50,School,50,Bar,60,Commercial Building,60,Highway Residential,60,-,60,-,-,-,180,-,60,-,-,-,150,-,140,-,-,-,60,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-,50,-,-,-
7.44501,125.802,Highway Residential,30,Highway Tertiary,60,Bar,80,Church,80,Commercial Building,80,-,80,-,-,-,80,-,80,-,-,-,80,-,90,-,-,-,30,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,90,-,-,-
7.44622,125.806,Greenfield,10,Highway Tertiary,20,Commercial Building,60,Hotel,60,Community Center,90,200,150,-,-,-,-,-,60,90,170,-,180,-,10,-,-,-,180,-,20,-,60,-,-,120,180,-,-,170,-,-,-,-,-,120,-,170,-,-,-
7.28751,125.68,Commercial Building,10,Residential Building,60,Highway Residential,70,Highway,120,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,120,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-
7.29651,125.671,Commercial Building,40,Highway Residential,60,Residential Building,80,Road,150,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,150,-,-,-,-
7.4228,125.828,Highway Residential,10,Highway Pedestrian,40,Highway Primary,40,Hospital,60,Highway,70,-,-,-,-,-,110,-,80,-,-,-,180,-,-,70,40,40,10,-,-,60,-,-,-,-,-,110,-,200,-,-,-,-,160,-,90,160,-,-,-
7.46735,125.803,Highway Secondary,30,Cemetery,70,Highway Residential,120,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,120,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.44395,125.765,Highway,100,Highway Secondary,300,Highway Residential,400,Hotel,400,Tourist Attraction,800,-,-,-,-,-,-,-,1300,-,-,-,1200,-,-,100,-,-,400,300,1400,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1100,-,800,-
7.31493,125.685,Commercial Building,30,Highway Residential,70,Highway Tertiary,70,Residential Building,120,Gas Station,130,-,-,-,-,-,-,-,30,-,-,-,130,-,-,180,-,-,70,-,70,200,-,-,-,-,-,-,-,-,-,-,-,-,120,-,-,-,-,-,-
7.45952,125.802,Highway Residential,40,Highway Secondary,80,Highway,110,Highway Pedestrian,110,Marketplace,120,-,-,-,-,-,-,-,150,-,-,-,-,-,-,110,110,-,40,80,-,-,150,-,-,120,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-
7.38113,125.809,Highway Residential,30,Highway Tertiary,150,Commercial Building,170,Highway Primary,190,Residential Building,200,-,-,-,-,-,-,-,170,-,-,-,-,-,-,-,-,190,30,-,150,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,-,-,-
7.28525,125.639,Commercial Building,100,Greenfield,160,Highway,400,Highway Pedestrian,400,Highway Tertiary,400,-,-,-,800,-,-,-,100,-,-,-,-,800,160,400,400,-,500,500,400,-,-,1100,-,-,-,-,-,-,-,-,-,-,1000,-,400,800,-,-,-
7.44712,125.797,Highway Residential,30,Highway Tertiary,30,Commercial Building,300,Fire Station,300,Highway Pedestrian,300,700,600,-,-,-,500,1300,300,1400,800,300,700,1300,400,400,300,800,30,800,30,700,1000,-,900,1000,800,1200,900,1300,1300,500,700,900,900,1000,-,500,1500,500,-
7.44351,125.804,Highway Tertiary,40,School,80,Government Office,120,Restaurant,140,Bar,160,-,160,-,-,-,-,-,160,-,-,-,-,120,-,-,-,-,170,-,40,-,170,-,-,-,-,-,-,-,-,-,-,-,-,140,-,80,-,-,-
