Region,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb)
Panabo City,01/08/2017,0:00,Partly cloudy,29,29,1,SSE,41%,79%,0.3000,"1,011"
Panabo City,01/08/2017,3:00,Partly cloudy,30,27,2,NNW,48%,80%,0.0000,"1,011"
Panabo City,01/08/2017,6:00,Partly cloudy,32,29,1,W,42%,77%,0.0000,"1,011"
Panabo City,01/08/2017,9:00,Partly cloudy,34,37,4,E,49%,68%,0.0000,"1,011"
Panabo City,01/08/2017,12:00,Light rain shower,35,44,10,SSE,62%,58%,0.1000,"1,010"
Panabo City,01/08/2017,15:00,Light rain shower,35,41,11,S,70%,66%,1.0000,"1,010"
Panabo City,01/08/2017,18:00,Patchy light rain,33,32,6,SE,54%,84%,1.9000,"1,010"
Panabo City,01/08/2017,21:00,Patchy light drizzle,31,27,1,ENE,63%,89%,0.9000,"1,011"
Panabo City,02/08/2017,0:00,Partly cloudy,30,26,2,NE,52%,88%,0.1000,"1,011"
Panabo City,02/08/2017,3:00,Partly cloudy,31,26,1,NE,43%,86%,0.0000,"1,010"
Panabo City,02/08/2017,6:00,Partly cloudy,33,29,1,ESE,31%,79%,0.0000,"1,010"
Panabo City,02/08/2017,9:00,Partly cloudy,35,38,4,SSE,28%,63%,0.0000,"1,010"
Panabo City,02/08/2017,12:00,Light rain shower,37,45,8,S,36%,55%,0.1000,"1,009"
Panabo City,02/08/2017,15:00,Light rain shower,36,47,7,S,54%,58%,0.3000,"1,008"
Panabo City,02/08/2017,18:00,Partly cloudy,35,41,4,SSW,55%,69%,0.4000,"1,008"
Panabo City,02/08/2017,21:00,Partly cloudy,33,32,2,SSW,45%,76%,0.1000,"1,009"
Panabo City,03/08/2017,0:00,Partly cloudy,32,28,1,SSW,35%,78%,0.0000,"1,009"
Panabo City,03/08/2017,3:00,Clear,33,27,1,S,20%,79%,0.0000,"1,008"
Panabo City,03/08/2017,6:00,Sunny,35,31,2,SSE,0%,74%,0.0000,"1,009"
Panabo City,03/08/2017,9:00,Patchy rain possible,37,41,5,S,10%,59%,0.0000,"1,009"
Panabo City,03/08/2017,12:00,Patchy rain possible,39,49,7,SSW,33%,51%,0.2000,"1,008"
Panabo City,03/08/2017,15:00,Patchy rain possible,37,49,7,SSW,37%,54%,0.4000,"1,007"
Panabo City,03/08/2017,18:00,Patchy rain possible,34,43,5,SW,33%,65%,0.5000,"1,008"
Panabo City,03/08/2017,21:00,Clear,32,35,1,SSE,18%,75%,0.5000,"1,009"
Panabo City,04/08/2017,0:00,Clear,30,32,1,ESE,0%,77%,0.0000,"1,009"
Panabo City,04/08/2017,3:00,Clear,31,28,1,WSW,0%,77%,0.0000,"1,009"
Panabo City,04/08/2017,6:00,Sunny,33,30,1,ENE,0%,74%,0.0000,"1,009"
Panabo City,04/08/2017,9:00,Partly cloudy,35,39,3,SE,9%,63%,0.0000,"1,010"
Panabo City,04/08/2017,12:00,Sunny,37,46,7,SSE,17%,55%,0.0000,"1,009"
Panabo City,04/08/2017,15:00,Sunny,36,47,7,SSE,0%,57%,0.0000,"1,008"
Panabo City,04/08/2017,18:00,Partly cloudy,34,41,6,S,16%,66%,0.0000,"1,009"
Panabo City,04/08/2017,21:00,Cloudy,32,33,4,ESE,55%,76%,0.0000,"1,010"
Panabo City,05/08/2017,0:00,Cloudy,31,30,1,SE,76%,79%,0.0000,"1,011"
Panabo City,05/08/2017,3:00,Partly cloudy,32,27,2,N,64%,81%,0.0000,"1,010"
Panabo City,05/08/2017,6:00,Sunny,34,31,1,WNW,18%,76%,0.0000,"1,011"
Panabo City,05/08/2017,9:00,Sunny,36,41,4,S,0%,60%,0.0000,"1,011"
Panabo City,05/08/2017,12:00,Partly cloudy,38,48,8,SSE,15%,51%,0.0000,"1,010"
Panabo City,05/08/2017,15:00,Light rain shower,37,43,12,S,47%,58%,0.1000,"1,009"
Panabo City,05/08/2017,18:00,Light rain shower,35,35,10,S,56%,71%,0.3000,"1,010"
Panabo City,05/08/2017,21:00,Partly cloudy,32,29,5,SSW,58%,77%,0.1000,"1,011"
Panabo City,06/08/2017,0:00,Clear,31,28,2,SE,32%,78%,0.0000,"1,012"
Panabo City,06/08/2017,3:00,Clear,32,28,5,SE,0%,80%,0.0000,"1,011"
Panabo City,06/08/2017,6:00,Sunny,34,30,5,WSW,0%,76%,0.0000,"1,011"
Panabo City,06/08/2017,9:00,Sunny,36,40,4,ENE,0%,60%,0.0000,"1,011"
Panabo City,06/08/2017,12:00,Partly cloudy,38,48,6,SSE,9%,50%,0.0000,"1,010"
Panabo City,06/08/2017,15:00,Sunny,37,47,9,S,18%,55%,0.0000,"1,009"
Panabo City,06/08/2017,18:00,Patchy rain possible,34,40,10,S,9%,68%,0.1000,"1,010"
Panabo City,06/08/2017,21:00,Patchy rain possible,32,31,8,S,26%,79%,0.4000,"1,011"
Panabo City,07/08/2017,0:00,Partly cloudy,31,28,3,S,28%,83%,0.5000,"1,011"
Panabo City,07/08/2017,3:00,Clear,31,27,1,SSW,23%,86%,0.0000,"1,011"
Panabo City,07/08/2017,6:00,Sunny,33,29,2,WNW,0%,81%,0.0000,"1,011"
Panabo City,07/08/2017,9:00,Sunny,35,39,5,S,0%,63%,0.0000,"1,012"
Panabo City,07/08/2017,12:00,Sunny,37,46,11,S,0%,53%,0.0000,"1,011"
Panabo City,07/08/2017,15:00,Sunny,36,46,13,S,0%,57%,0.0000,"1,009"
Panabo City,07/08/2017,18:00,Clear,34,40,12,S,0%,68%,0.0000,"1,010"
Panabo City,07/08/2017,21:00,Clear,32,34,8,SSW,0%,78%,0.0000,"1,011"
Panabo City,08/08/2017,0:00,Clear,31,30,4,WSW,0%,82%,0.0000,"1,012"
Panabo City,08/08/2017,3:00,Clear,31,26,2,NW,0%,85%,0.0000,"1,011"
Panabo City,08/08/2017,6:00,Sunny,33,29,3,NNW,0%,78%,0.0000,"1,012"
Panabo City,08/08/2017,9:00,Sunny,35,39,4,W,0%,60%,0.0000,"1,012"
Panabo City,08/08/2017,12:00,Sunny,37,45,9,S,0%,52%,0.0000,"1,011"
Panabo City,08/08/2017,15:00,Sunny,36,44,13,S,0%,56%,0.0000,"1,010"
Panabo City,08/08/2017,18:00,Clear,34,38,12,S,0%,69%,0.0000,"1,010"
Panabo City,08/08/2017,21:00,Clear,32,31,7,SSW,0%,80%,0.0000,"1,012"
Panabo City,09/08/2017,0:00,Clear,31,28,3,WSW,0%,84%,0.1000,"1,012"
Panabo City,09/08/2017,3:00,Clear,32,26,2,SW,0%,85%,0.1000,"1,011"
Panabo City,09/08/2017,6:00,Sunny,34,29,3,ESE,0%,79%,0.0000,"1,012"
Panabo City,09/08/2017,9:00,Sunny,36,39,2,WNW,0%,58%,0.0000,"1,012"
Panabo City,09/08/2017,12:00,Sunny,38,46,5,S,0%,46%,0.0000,"1,010"
Panabo City,09/08/2017,15:00,Sunny,37,45,10,S,0%,50%,0.0000,"1,009"
Panabo City,09/08/2017,18:00,Patchy rain possible,35,40,12,S,7%,65%,0.1000,"1,010"
Panabo City,09/08/2017,21:00,Clear,33,34,7,SSW,15%,77%,0.1000,"1,012"
Panabo City,10/08/2017,0:00,Partly cloudy,32,30,3,SSE,10%,79%,0.0000,"1,012"
Panabo City,10/08/2017,3:00,Partly cloudy,32,27,2,SE,32%,81%,0.0000,"1,011"
Panabo City,10/08/2017,6:00,Partly cloudy,34,30,3,SW,39%,77%,0.0000,"1,011"
Panabo City,10/08/2017,9:00,Sunny,36,40,2,ENE,31%,57%,0.0000,"1,012"
Panabo City,10/08/2017,12:00,Partly cloudy,38,45,4,S,10%,45%,0.0000,"1,010"
Panabo City,10/08/2017,15:00,Partly cloudy,37,44,11,SSE,29%,51%,0.0000,"1,009"
Panabo City,10/08/2017,18:00,Patchy rain possible,35,37,10,S,28%,65%,0.1000,"1,010"
Panabo City,10/08/2017,21:00,Clear,33,30,5,SSW,17%,77%,0.2000,"1,012"
Panabo City,11/08/2017,0:00,Clear,32,28,2,SE,0%,80%,0.1000,"1,012"
Panabo City,11/08/2017,3:00,Clear,32,27,3,N,0%,83%,0.0000,"1,011"
Panabo City,11/08/2017,6:00,Sunny,35,30,3,ESE,0%,77%,0.0000,"1,011"
Panabo City,11/08/2017,9:00,Sunny,37,40,3,WNW,0%,57%,0.0000,"1,012"
Panabo City,11/08/2017,12:00,Sunny,38,46,4,SSE,0%,46%,0.0000,"1,010"
Panabo City,11/08/2017,15:00,Sunny,37,46,9,S,0%,51%,0.0000,"1,009"
Panabo City,11/08/2017,18:00,Partly cloudy,35,40,10,S,11%,63%,0.0000,"1,009"
Panabo City,11/08/2017,21:00,Partly cloudy,32,33,6,SSW,35%,75%,0.0000,"1,011"
